captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785903172870|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785903172870|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785903173045|1001|raw_mask1_f2r_10s_00000_1048576_active|fixed|1350565379|8193|8193
1785903173045|1001|raw_mask1_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785903177162|1001|raw_mask1_f2r_10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785903177162|1001|raw_mask1_f2r_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785903183055|1002|raw_mask1_r2f_10s_00000_1048576_active|fixed|1350557187|8193|8193
1785903183055|1002|raw_mask1_r2f_10s_00000_1048576_active|rotating|1346371075|8193|8193
1785903187180|1002|raw_mask1_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785903187180|1002|raw_mask1_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785903193059|1003|raw_mask3_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785903193059|1003|raw_mask3_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785903195391|1003|raw_mask3_f2r_10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785903195391|1003|raw_mask3_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785903195668|1004|raw_mask3_f2r_10s_00001_1048576_active|fixed|1350565379|8193|8193
1785903195668|1004|raw_mask3_f2r_10s_00001_1048576_active|rotating|1346362883|8193|8193
1785903197927|1004|raw_mask3_f2r_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785903197927|1004|raw_mask3_f2r_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785903203069|1005|raw_mask3_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785903203069|1005|raw_mask3_r2f_10s_00000_1048576_active|rotating|1350565379|8193|8193
1785903205303|1005|raw_mask3_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785903205303|1005|raw_mask3_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785903205601|1006|raw_mask3_r2f_10s_00001_1048576_active|fixed|1346362883|8193|8193
1785903205601|1006|raw_mask3_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785903207866|1006|raw_mask3_r2f_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785903207866|1006|raw_mask3_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785903213056|1007|raw_mask7_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785903213056|1007|raw_mask7_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785903214784|1007|raw_mask7_f2r_10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785903214784|1007|raw_mask7_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785903215103|1008|raw_mask7_f2r_10s_00001_1048576_active|fixed|1350565379|8193|8193
1785903215103|1008|raw_mask7_f2r_10s_00001_1048576_active|rotating|1346362883|8193|8193
1785903216853|1008|raw_mask7_f2r_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785903216853|1008|raw_mask7_f2r_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785903223097|1009|raw_mask7_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785903223097|1009|raw_mask7_r2f_10s_00000_1048576_active|rotating|1346371075|8193|8193
1785903224925|1009|raw_mask7_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785903224925|1009|raw_mask7_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785903225340|1010|raw_mask7_r2f_10s_00001_1048576_active|fixed|1346362883|8193|8193
1785903225340|1010|raw_mask7_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785903227151|1010|raw_mask7_r2f_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785903227151|1010|raw_mask7_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785903233080|1011|raw_maskF_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785903233080|1011|raw_maskF_f2r_10s_00000_1048576_active|rotating|1346362883|8193|8193
1785903234520|1011|raw_maskF_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785903234520|1011|raw_maskF_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785903234853|1012|raw_maskF_f2r_10s_00001_1048576_active|fixed|1350565379|8193|8193
1785903234853|1012|raw_maskF_f2r_10s_00001_1048576_active|rotating|1350557187|8193|8193
1785903236207|1012|raw_maskF_f2r_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785903236207|1012|raw_maskF_f2r_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785903236522|1013|raw_maskF_f2r_10s_00002_1048576_active|fixed|1346371075|8193|8193
1785903236522|1013|raw_maskF_f2r_10s_00002_1048576_active|rotating|1346362883|8193|8193
1785903237934|1013|raw_maskF_f2r_10s_00002_1048576_terminal|fixed|1350565379|8193|8193
1785903237934|1013|raw_maskF_f2r_10s_00002_1048576_terminal|rotating|1350565379|8193|8193
1785903243088|1014|raw_maskF_r2f_10s_00000_1048576_active|fixed|1350557187|8193|8193
1785903243088|1014|raw_maskF_r2f_10s_00000_1048576_active|rotating|1350565379|8193|8193
1785903244498|1014|raw_maskF_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785903244498|1014|raw_maskF_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785903244798|1015|raw_maskF_r2f_10s_00001_1048576_active|fixed|1346362883|8193|8193
1785903244798|1015|raw_maskF_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785903246138|1015|raw_maskF_r2f_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785903246138|1015|raw_maskF_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785903246455|1016|raw_maskF_r2f_10s_00002_1048576_active|fixed|1350557187|8193|8193
1785903246455|1016|raw_maskF_r2f_10s_00002_1048576_active|rotating|1346371075|8193|8193
1785903247849|1016|raw_maskF_r2f_10s_00002_1048576_terminal|fixed|1346371075|8193|8193
1785903247849|1016|raw_maskF_r2f_10s_00002_1048576_terminal|rotating|1350565379|8193|8193
1785903253289|1017|P10_3F-FOUR_LANE_RAW_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785903253289|1017|P10_3F-FOUR_LANE_RAW_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
