captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785902753365|1002|phy_lane0_f2r_prbs_10000f|fixed|4,1378943233,16780817,5172059,0,5157860,0,5157860,0,4930,0,4928,0,0,0,154,0,152134298,0,4096,0,0,0,4929,0,466360135,0,466360143,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1229512657,0,1257724,0,0,0,0,0,1301238,0,1,0,272009414,0,272009414,0,2080,272492796,0,956968859,0,0,0,0,0
1785902753365|1002|phy_lane0_f2r_prbs_10000f|rotating|4,1378943233,33558272,5251238,0,14380,0,14380,0,312,0,156,0,0,0,5004,0,996544,0,4096,0,0,0,156,0,443989062,0,443989070,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,500946435,0,0,0,24700,0,24700,0,3617,0,0,1,0,0,0,0,0,0,0,164469065,0,0,0,0,0
1785902764980|1004|phy_lane0_r2f_prbs_10000f|fixed|10,1378943233,16781056,5156008,0,14112,0,14112,0,306,0,153,0,0,0,4913,0,977360,0,4096,0,0,0,153,0,1208739654,0,1208739662,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1972814355,0,2494700,0,24700,0,24700,0,3550,0,2,1,540871569,0,540871569,0,2048,542474991,0,1098763161,0,0,0,0,0
1785902764980|1004|phy_lane0_r2f_prbs_10000f|rotating|10,1378943233,33558033,5219273,0,5204978,0,5204978,0,4976,0,4974,0,0,0,155,0,153536908,0,4096,0,0,0,4974,0,1187144594,0,1187144602,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1243034229,0,1265628,0,2494700,0,2494700,0,1310386,0,1,2,273917128,0,273917128,0,2080,274402207,0,366025669,0,0,0,0,0
1785902776636|1006|phy_lane1_f2r_prbs_10000f|fixed|16,1378943233,16780578,0,5177519,0,5163318,0,5163318,0,4939,0,4937,0,0,0,154,0,152412928,0,4096,0,0,0,4938,0,1955523799,0,1955523775,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2719042157,0,3752424,0,2494700,0,2494700,0,1304319,0,3,2,813730948,0,813730948,0,2080,815817752,0,1300738324,0,0,0,0,0
1785902776636|1006|phy_lane1_f2r_prbs_10000f|rotating|16,1378943233,33558272,0,5272848,0,14474,0,14474,0,314,0,157,0,0,0,5028,0,1002920,0,4096,0,0,0,157,0,1934387961,0,1934387977,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1991173924,0,2494700,0,2519400,0,2519400,0,3641,0,2,3,540871568,0,540871568,0,2048,542474991,0,507571249,0,0,0,0,0
1785902788319|1008|phy_lane1_r2f_prbs_10000f|fixed|22,1378943233,16781056,0,5156591,0,14109,0,14109,0,306,0,153,0,0,0,4918,0,977384,0,4096,0,0,0,153,0,2702104285,0,2702104293,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,3466466417,0,4989400,0,2519400,0,2519400,0,3573,0,4,3,1081743138,0,1081743138,0,2048,1084949983,0,1446060655,0,0,0,0,0
1785902788319|1008|phy_lane1_r2f_prbs_10000f|rotating|22,1378943233,33557794,0,5232334,0,5218042,0,5218042,0,4992,0,4990,0,0,0,155,0,154044519,0,4096,0,0,0,4991,0,2681404788,0,2681404796,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2737113346,0,3760328,0,4989400,0,4989400,0,1312827,0,3,4,815502852,0,815502852,0,2080,817591354,0,713813262,0,0,0,0,0
1785902799977|1010|phy_lane2_f2r_prbs_10000f|fixed|28,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,4213805739,0,6247124,0,4989400,0,4989400,0,1304776,0,5,4,1354469239,0,1354469239,0,2080,1358159466,0,1649568066,0,0,0,0,0
1785902799977|1010|phy_lane2_f2r_prbs_10000f|rotating|28,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3485560757,0,4989400,0,5014100,0,5014100,0,3643,0,4,5,1081743137,0,1081743137,0,2048,1084949982,0,856670522,0,0,0,0,0
