captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785902153188|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785902153188|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785902153659|1001|p10_3_identity_terminal|fixed|1350565379|8193|8193
1785902153659|1001|p10_3_identity_terminal|rotating|1350565379|8193|8193
1785902153921|1002|p10_3_receive_only_5000ms_active|fixed|1346371075|8193|8193
1785902153921|1002|p10_3_receive_only_5000ms_active|rotating|1346371075|8193|8193
1785902159028|1002|p10_3_receive_only_5000ms|fixed|1350565379|8193|8193
1785902159028|1002|p10_3_receive_only_5000ms|rotating|1346371075|8193|8193
1785902159393|1002|p10_3_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785902159393|1002|p10_3_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785902159995|1003|p10_3_ring32_terminal|fixed|1350565379|8193|8193
1785902159995|1003|p10_3_ring32_terminal|rotating|1346371075|8193|8193
1785902160707|1004|p10_3_dma_reset_idle_terminal|fixed|1350565379|8193|8193
1785902160707|1004|p10_3_dma_reset_idle_terminal|rotating|1350565379|8193|8193
1785902161461|1005|p10_3_pl_soft_reset_terminal|fixed|1350565379|8193|8193
1785902161461|1005|p10_3_pl_soft_reset_terminal|rotating|1350565379|8193|8193
1785902162231|1006|p10_3_identity_after_reset_terminal|fixed|1350565379|8193|8193
1785902162231|1006|p10_3_identity_after_reset_terminal|rotating|1350565379|8193|8193
1785902162766|1007|P10_3F-PREFLIGHT_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785902162766|1007|P10_3F-PREFLIGHT_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
