captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785902603941|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785902603941|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785902603977|1001|matrix_F0_raw64_active|fixed|1350565379|8193|8193
1785902603977|1001|matrix_F0_raw64_active|rotating|1350565379|8193|8193
1785902604359|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1785902604359|1001|matrix_F0_raw64_terminal|rotating|1350565379|8193|8193
1785902604567|1002|matrix_F0_raw1024_active|fixed|1346371075|8193|8193
1785902604567|1002|matrix_F0_raw1024_active|rotating|1346371075|8193|8193
1785902604911|1002|matrix_F0_raw1024_terminal|fixed|1346371075|8193|8193
1785902604911|1002|matrix_F0_raw1024_terminal|rotating|1346371075|8193|8193
1785902605295|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785902605295|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785902609441|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785902609441|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785902615594|1004|matrix_R0_raw64_terminal|fixed|1346371075|8193|8193
1785902615594|1004|matrix_R0_raw64_terminal|rotating|1350565379|8193|8193
1785902615877|1005|matrix_R0_raw1024_active|fixed|1350565379|8193|8193
1785902615877|1005|matrix_R0_raw1024_active|rotating|1350565379|8193|8193
1785902616238|1005|matrix_R0_raw1024_terminal|fixed|1346371075|8193|8193
1785902616238|1005|matrix_R0_raw1024_terminal|rotating|1350565379|8193|8193
1785902616635|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1350557187|8193|8193
1785902616635|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785902620781|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785902620781|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785902626521|1007|matrix_F1_raw64_active|fixed|1346371075|8193|8193
1785902626521|1007|matrix_F1_raw64_active|rotating|1346371075|8193|8193
1785902626816|1007|matrix_F1_raw64_terminal|fixed|1346371075|8193|8193
1785902626816|1007|matrix_F1_raw64_terminal|rotating|1350565379|8193|8193
1785902627053|1008|matrix_F1_raw1024_active|fixed|1346371075|8193|8193
1785902627053|1008|matrix_F1_raw1024_active|rotating|1350565379|8193|8193
1785902627424|1008|matrix_F1_raw1024_terminal|fixed|1350565379|8193|8193
1785902627424|1008|matrix_F1_raw1024_terminal|rotating|1346371075|8193|8193
1785902627767|1009|matrix_F1_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785902627767|1009|matrix_F1_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785902631809|1009|matrix_F1_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785902631809|1009|matrix_F1_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785902637674|1010|matrix_R1_raw64_active|fixed|1350565379|8193|8193
1785902637674|1010|matrix_R1_raw64_active|rotating|1350565379|8193|8193
1785902638062|1010|matrix_R1_raw64_terminal|fixed|1350565379|8193|8193
1785902638062|1010|matrix_R1_raw64_terminal|rotating|1346371075|8193|8193
1785902638302|1011|matrix_R1_raw1024_active|fixed|1346371075|8193|8193
1785902638302|1011|matrix_R1_raw1024_active|rotating|1350565379|8193|8193
1785902638675|1011|matrix_R1_raw1024_terminal|fixed|1346371075|8193|8193
1785902638675|1011|matrix_R1_raw1024_terminal|rotating|1350565379|8193|8193
1785902639018|1012|matrix_R1_frame10s_00000_1048576_active|fixed|1350557187|8193|8193
1785902639018|1012|matrix_R1_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785902643093|1012|matrix_R1_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785902643093|1012|matrix_R1_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785902648909|1013|matrix_F2_raw64_active|fixed|1350565379|8193|8193
1785902648909|1013|matrix_F2_raw64_active|rotating|1346371075|8193|8193
1785902649274|1013|matrix_F2_raw64_terminal|fixed|1346371075|8193|8193
1785902649274|1013|matrix_F2_raw64_terminal|rotating|1350565379|8193|8193
1785902649487|1014|matrix_F2_raw1024_active|fixed|1350565379|8193|8193
1785902649487|1014|matrix_F2_raw1024_active|rotating|1350565379|8193|8193
1785902649878|1014|matrix_F2_raw1024_terminal|fixed|1350565379|8193|8193
1785902649878|1014|matrix_F2_raw1024_terminal|rotating|1350565379|8193|8193
1785902650199|1015|matrix_F2_frame10s_00000_1048576_active|fixed|1346371075|8193|8193
