captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785902339792|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785902339792|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785902339884|1001|staircase_4096B_f2r_active|fixed|1350565378|8193|8193
1785902339884|1001|staircase_4096B_f2r_active|rotating|1346362883|8193|8193
1785902340331|1001|staircase_4096B_f2r_terminal|fixed|1350565379|8193|8193
1785902340331|1001|staircase_4096B_f2r_terminal|rotating|1346371075|8193|8193
1785902340704|1002|staircase_4096B_r2f_active|fixed|1350557187|8193|8193
1785902340704|1002|staircase_4096B_r2f_active|rotating|1346371075|8193|8193
1785902341210|1002|staircase_4096B_r2f_terminal|fixed|1346371075|8193|8193
1785902341210|1002|staircase_4096B_r2f_terminal|rotating|1346371075|8193|8193
1785902341975|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785902341975|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
