captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785904755083|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785904755083|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785904755360|1001|stream_clean_after_dma_reset_active|fixed|1350565379|8193|8193
1785904755360|1001|stream_clean_after_dma_reset_active|rotating|1350557187|8193|8193
1785904760491|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904760491|1001|stream_clean_after_dma_reset|rotating|1350557187|8193|8193
1785904765505|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904765505|1001|stream_clean_after_dma_reset|rotating|1350557187|8193|8193
1785904770506|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904770506|1001|stream_clean_after_dma_reset|rotating|1350557187|8193|8193
1785904775497|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904775497|1001|stream_clean_after_dma_reset|rotating|1350557187|8193|8193
1785904780559|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904780559|1001|stream_clean_after_dma_reset|rotating|1350557187|8193|8193
1785904785568|1001|stream_clean_after_dma_reset|fixed|1350565378|8193|8193
1785904785568|1001|stream_clean_after_dma_reset|rotating|1346362883|8193|8193
1785904790542|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904790542|1001|stream_clean_after_dma_reset|rotating|1346362883|8193|8193
1785904795542|1001|stream_clean_after_dma_reset|fixed|1350565378|8193|8193
1785904795542|1001|stream_clean_after_dma_reset|rotating|1346362883|8193|8193
1785904800605|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904800605|1001|stream_clean_after_dma_reset|rotating|1346362883|8193|8193
1785904805568|1001|stream_clean_after_dma_reset|fixed|1346371074|8193|8193
1785904805568|1001|stream_clean_after_dma_reset|rotating|1346362883|8193|8193
1785904810586|1001|stream_clean_after_dma_reset|fixed|1350565378|8193|8193
1785904810586|1001|stream_clean_after_dma_reset|rotating|1350557187|8193|8193
1785904813484|1001|stream_clean_after_dma_reset_terminal|fixed|1350565379|8193|8193
1785904813484|1001|stream_clean_after_dma_reset_terminal|rotating|1346371075|8193|8193
1785904814027|1002|P10_3F-STREAMING_64M_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785904814027|1002|P10_3F-STREAMING_64M_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
