captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785907371342|1001|degrade_static_unavailable_1|fixed|2,1378943233,16781056,0,4298877,0,35278,0,35278,0,764,0,382,0,0,0,4077,0,2440224,0,4096,0,0,0,382,0,456892191,0,456892199,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1229098025,0,0,0,0,0,0,0,8911,0,0,0,0,0,0,0,0,0,0,903901953,0,0,0,0,0
1785907371342|1001|degrade_static_unavailable_1|rotating|2,1378943233,33554926,0,4386730,0,4350721,0,4350721,0,4162,0,4160,0,0,0,390,0,128432303,0,4096,0,0,0,4161,0,437443687,0,437443695,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,489421133,0,3114176,0,0,0,0,0,3290535,0,0,0,230628679,0,230628679,0,2080,231297266,0,258012774,0,0,0,0,0
1785907380197|1002|degrade_static_unavailable_2|fixed|6,1378943233,16777949,4300611,0,4265332,0,4265332,0,4080,0,4078,0,0,0,382,0,125900701,0,4096,0,0,0,4079,0,1023926173,0,1023926181,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1796131034,0,3058848,0,4194304,0,4194304,0,3234564,0,0,1,226683037,0,226683037,0,2080,227339745,0,1158586985,0,0,0,0,0
1785907380197|1002|degrade_static_unavailable_2|rotating|6,1378943233,33558272,4366004,0,35829,0,35829,0,776,0,388,0,0,0,4140,0,2478512,0,4096,0,0,0,388,0,1003073951,0,1003073959,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1055078826,0,4194304,0,0,0,0,0,9025,0,1,0,310732281,0,310732281,0,2048,312001853,0,415089220,0,0,0,0,0
1785907389002|1003|degrade_static_unavailable_4|fixed|10,1378943233,16778427,4302797,4268520,4267518,4268520,4267518,4268520,4082,4081,4081,4080,0,0,382,0,125971869,125967984,4096,4096,0,0,4081,4081,1587442660,1587445983,1587442668,1587445975,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2359439808,0,7253152,0,4194304,0,4194304,0,3233579,0,1,1,537323488,0,537323488,0,2080,539249769,0,1409832402,0,0,0,0,0
1785907389002|1003|degrade_static_unavailable_4|rotating|10,1378943233,33558272,4371824,4336977,35829,0,35829,0,776,0,388,0,0,0,4146,4146,2478512,0,4096,0,0,0,388,0,1566474721,0,1566474729,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1618687565,0,4194304,0,4194304,0,4194304,0,9025,0,1,1,310732281,0,310732281,0,2048,312001853,0,569171286,0,0,0,0,0
1785907397782|1004|degrade_static_unavailable_8|fixed|14,1378943233,16779383,4287864,4252712,4252677,4252712,4252677,4252712,4068,4067,4066,4066,0,0,381,0,125531696,125528452,4096,4096,0,0,4067,4067,2149217615,2149217596,2149217607,2149217604,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2921582463,0,11439552,0,4194304,0,4194304,0,3227953,0,2,1,847666998,0,847666998,0,2080,850861155,0,1660210619,0,0,0,0,0
1785907397782|1004|degrade_static_unavailable_8|rotating|14,1378943233,33558272,4360562,4324836,35737,0,35737,0,774,0,387,0,0,0,4135,4135,2472112,0,4096,0,0,0,387,0,2128417912,0,2128417920,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2180896750,0,4194304,0,8388608,0,8388608,0,9025,0,1,2,310732281,0,310732281,0,2048,312001853,0,722676327,0,0,0,0,0
1785907406607|1005|degrade_static_unavailable_3|fixed|18,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3487316838,0,12582912,0,4194304,0,4194304,0,5858,0,3,1,932197012,0,932197012,0,2048,936005732,0,1817353914,0,0,0,0,0
1785907406607|1005|degrade_static_unavailable_3|rotating|18,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,2746216002,0,6032232,0,12582912,0,12582912,0,1946647,0,1,3,539355748,0,539355748,0,2049,541020770,0,976865324,0,0,0,0,0
1785907418295|1006|degrade_static_unavailable_7|fixed|22,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,4234465171,0,12582912,0,8388608,0,8388608,0,3009,0,3,2,932197012,0,932197012,0,2048,936005732,0,1973124129,0,0,0,0,0
1785907418295|1006|degrade_static_unavailable_7|rotating|22,1378943233,33556360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,3493402892,0,9455648,0,12582912,0,12582912,0,1122272,0,2,3,1032632826,0,1032632826,0,2080,1035074593,0,1229866445,0,0,0,0,0
1785907423306|1006|degrade_static_unavailable_7|fixed|24,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,259250184,1,12582912,0,8388608,0,8388608,0,7260,0,3,2,932197012,0,932197012,0,2048,936005732,0,1973124129,0,0,0,0,0
1785907423306|1006|degrade_static_unavailable_7|rotating|24,1378943233,33556360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,3812972745,0,10925792,0,12582912,0,12582912,0,2677776,0,2,3,1351835143,0,1351835143,0,2080,1354592552,0,1229866445,0,0,0,0,0
1785907428315|1006|degrade_static_unavailable_7|fixed|26,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|16,581945729,1,12582912,0,8388608,0,8388608,0,11528,0,3,2,932197012,0,932197012,0,2048,936005732,0,1973124129,0,0,0,0,0
1785907428315|1006|degrade_static_unavailable_7|rotating|26,1378943233,33556360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|16,4137925503,0,12419648,0,12582912,0,12582912,0,4257667,0,2,3,1676414437,0,1676414437,0,2080,1679492579,0,1229866445,0,0,0,0,0
1785907436585|1007|degrade_static_recovery_maskF|fixed|30,1378943233,16781056,4434515,4385959,4386240,4385959,4386240,4385959,4197,4196,4196,4196,0,0,524,0,129522784,129521608,4096,4096,0,0,4196,4196,338015725,338016082,338015733,338016090,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|18,1111054749,1,16777216,0,12582912,0,12582912,0,4437337,0,4,3,1158924340,0,1158924340,0,2048,1163947233,0,2232275365,0,0,0,0,0
1785907436585|1007|degrade_static_recovery_maskF|rotating|30,1378943233,33558272,4487448,4437184,48925,0,48925,0,1062,0,531,0,0,0,4246,4245,3391992,0,4096,0,0,0,531,0,316522200,0,316522208,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|18,372843738,1,12582912,0,16777216,0,16777216,0,12231,0,3,4,1712270473,0,1712270473,0,2048,1716504843,0,1397826545,0,0,0,0,0
1785907454786|1008|degrade_inflight_lane0|fixed|34,1378943233,16778666,50967,6041734,1031,6041734,1031,6041734,2,5781,0,5780,0,0,542,0,30864,178417381,4096,4096,0,0,1,5781,1180546241,1502722525,1180546249,1502722541,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|20,2275613116,1,21108608,0,12582912,0,12582912,0,4577398,0,4,3,1483282153,0,1483282153,0,2080,1489234940,0,3071392220,0,0,0,0,0
1785907454786|1008|degrade_inflight_lane0|rotating|34,1378943233,33558272,51706,6132731,50675,0,50675,0,1099,0,550,0,0,0,0,5867,3513376,0,4096,0,0,0,550,0,1482751924,0,1482751932,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|20,1535335843,1,12582912,0,16777216,0,16777216,0,12761,0,3,4,1712270473,0,1712270473,0,2048,1716504843,0,1838341990,0,0,0,0,0
1785907459791|1008|degrade_inflight_lane0|fixed|36,1378943233,16777710,101315,12120171,1031,12120171,1031,12120171,2,11592,0,11591,0,0,1087,0,30864,357814380,4096,4096,0,0,1,11592,1180546241,1823244697,1180546249,1823244705,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|22,2595376018,1,25400480,0,12582912,0,12582912,0,9125158,0,4,3,1801972087,0,1801972087,0,2080,1808846345,0,3071392220,0,0,0,0,0
