captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785907364783|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785907364783|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785907366335|1001|degrade_static_unavailable_1_active|fixed|1346362883|8193|8193
1785907366335|1001|degrade_static_unavailable_1_active|rotating|1346371075|8193|8193
1785907371474|1001|degrade_static_unavailable_1|fixed|1346362883|8193|8193
1785907371474|1001|degrade_static_unavailable_1|rotating|1346371074|8193|8193
1785907373443|1001|degrade_static_unavailable_1_terminal|fixed|1350565379|8193|8193
1785907373443|1001|degrade_static_unavailable_1_terminal|rotating|1350565379|8193|8193
1785907375192|1002|degrade_static_unavailable_2_active|fixed|1350565379|8193|8193
1785907375192|1002|degrade_static_unavailable_2_active|rotating|1346362883|8193|8193
1785907380303|1002|degrade_static_unavailable_2|fixed|1350565378|8193|8193
1785907380303|1002|degrade_static_unavailable_2|rotating|1350557187|8193|8193
1785907382258|1002|degrade_static_unavailable_2_terminal|fixed|1350565379|8193|8193
1785907382258|1002|degrade_static_unavailable_2_terminal|rotating|1346371075|8193|8193
1785907383995|1003|degrade_static_unavailable_4_active|fixed|1350565379|8193|8193
1785907383995|1003|degrade_static_unavailable_4_active|rotating|1346362883|8193|8193
1785907389106|1003|degrade_static_unavailable_4|fixed|1350565378|8193|8193
1785907389106|1003|degrade_static_unavailable_4|rotating|1350557187|8193|8193
1785907391066|1003|degrade_static_unavailable_4_terminal|fixed|1350565379|8193|8193
1785907391066|1003|degrade_static_unavailable_4_terminal|rotating|1346371075|8193|8193
1785907392784|1004|degrade_static_unavailable_8_active|fixed|1346371075|8193|8193
1785907392784|1004|degrade_static_unavailable_8_active|rotating|1346362883|8193|8193
1785907397917|1004|degrade_static_unavailable_8|fixed|1346371074|8193|8193
1785907397917|1004|degrade_static_unavailable_8|rotating|1346362883|8193|8193
1785907399897|1004|degrade_static_unavailable_8_terminal|fixed|1346371075|8193|8193
1785907399897|1004|degrade_static_unavailable_8_terminal|rotating|1350565379|8193|8193
1785907401605|1005|degrade_static_unavailable_3_active|fixed|1346362883|8193|8193
1785907401605|1005|degrade_static_unavailable_3_active|rotating|1346371075|8193|8193
1785907406714|1005|degrade_static_unavailable_3|fixed|1346362883|8193|8193
1785907406714|1005|degrade_static_unavailable_3|rotating|1346371074|8193|8193
1785907411537|1005|degrade_static_unavailable_3_terminal|fixed|1346371075|8193|8193
1785907411537|1005|degrade_static_unavailable_3_terminal|rotating|1346371075|8193|8193
1785907413282|1006|degrade_static_unavailable_7_active|fixed|1346362883|8193|8193
1785907413282|1006|degrade_static_unavailable_7_active|rotating|1350565379|8193|8193
1785907418400|1006|degrade_static_unavailable_7|fixed|1346362883|8193|8193
1785907418400|1006|degrade_static_unavailable_7|rotating|1346371074|8193|8193
1785907423396|1006|degrade_static_unavailable_7|fixed|1346362883|8193|8193
1785907423396|1006|degrade_static_unavailable_7|rotating|1350565378|8193|8193
1785907428479|1006|degrade_static_unavailable_7|fixed|1350557187|8193|8193
1785907428479|1006|degrade_static_unavailable_7|rotating|1350565378|8193|8193
1785907429872|1006|degrade_static_unavailable_7_terminal|fixed|1346371075|8193|8193
1785907429872|1006|degrade_static_unavailable_7_terminal|rotating|1346371075|8193|8193
1785907431573|1007|degrade_static_recovery_maskF_active|fixed|1346371075|8193|8193
1785907431573|1007|degrade_static_recovery_maskF_active|rotating|1350557187|8193|8193
1785907436764|1007|degrade_static_recovery_maskF|fixed|1350565379|8193|8193
1785907436764|1007|degrade_static_recovery_maskF|rotating|1346371075|8193|8193
1785907437400|1007|degrade_static_recovery_maskF_terminal|fixed|1346371075|8193|8193
1785907437400|1007|degrade_static_recovery_maskF_terminal|rotating|1350565379|8193|8193
1785907449779|1008|degrade_inflight_lane0_active|fixed|1350565378|8193|8193
1785907449779|1008|degrade_inflight_lane0_active|rotating|1346362883|8193|8193
1785907454922|1008|degrade_inflight_lane0|fixed|1346371074|8193|8193
1785907454922|1008|degrade_inflight_lane0|rotating|1346362883|8193|8193
1785907459898|1008|degrade_inflight_lane0|fixed|1350565378|8193|8193
1785907459898|1008|degrade_inflight_lane0|rotating|1350557187|8193|8193
1785907464923|1008|degrade_inflight_lane0|fixed|1346371074|8193|8193
1785907464923|1008|degrade_inflight_lane0|rotating|1346362883|8193|8193
1785907469920|1008|degrade_inflight_lane0|fixed|1350565379|8193|8193
1785907469920|1008|degrade_inflight_lane0|rotating|1350565379|8193|8193
1785907471195|1008|degrade_inflight_lane0_terminal|fixed|1350565379|8193|8193
1785907471195|1008|degrade_inflight_lane0_terminal|rotating|1346371075|8193|8193
1785907472923|1009|degrade_recovery_after_lane0_active|fixed|1346371075|8193|8193
1785907472923|1009|degrade_recovery_after_lane0_active|rotating|1350557187|8193|8193
1785907478037|1009|degrade_recovery_after_lane0|fixed|1346371075|8193|8193
1785907478037|1009|degrade_recovery_after_lane0|rotating|1350565379|8193|8193
1785907478694|1009|degrade_recovery_after_lane0_terminal|fixed|1346371075|8193|8193
1785907478694|1009|degrade_recovery_after_lane0_terminal|rotating|1346371075|8193|8193
1785907491104|1010|degrade_inflight_lane1_active|fixed|1350557187|8193|8193
1785907491104|1010|degrade_inflight_lane1_active|rotating|1346371074|8193|8193
1785907496212|1010|degrade_inflight_lane1|fixed|1346362883|8193|8193
1785907496212|1010|degrade_inflight_lane1|rotating|1350565378|8193|8193
1785907501244|1010|degrade_inflight_lane1|fixed|1350557187|8193|8193
1785907501244|1010|degrade_inflight_lane1|rotating|1346371074|8193|8193
1785907506349|1010|degrade_inflight_lane1|fixed|1346362883|8193|8193
1785907506349|1010|degrade_inflight_lane1|rotating|1346371074|8193|8193
1785907511231|1010|degrade_inflight_lane1|fixed|1346371075|8193|8193
1785907511231|1010|degrade_inflight_lane1|rotating|1350565379|8193|8193
1785907512629|1010|degrade_inflight_lane1_terminal|fixed|1346371075|8193|8193
1785907512629|1010|degrade_inflight_lane1_terminal|rotating|1346371075|8193|8193
1785907514378|1011|degrade_recovery_after_lane1_active|fixed|1346362883|8193|8193
1785907514378|1011|degrade_recovery_after_lane1_active|rotating|1346371075|8193|8193
1785907519508|1011|degrade_recovery_after_lane1|fixed|1346371075|8193|8193
1785907519508|1011|degrade_recovery_after_lane1|rotating|1350565379|8193|8193
1785907520194|1011|degrade_recovery_after_lane1_terminal|fixed|1346371075|8193|8193
1785907520194|1011|degrade_recovery_after_lane1_terminal|rotating|1350565379|8193|8193
1785907532592|1012|degrade_inflight_lane2_active|fixed|1346371074|8193|8193
1785907532592|1012|degrade_inflight_lane2_active|rotating|1346362883|8193|8193
1785907537701|1012|degrade_inflight_lane2|fixed|1346371074|8193|8193
1785907537701|1012|degrade_inflight_lane2|rotating|1346362883|8193|8193
1785907542718|1012|degrade_inflight_lane2|fixed|1350565378|8193|8193
1785907542718|1012|degrade_inflight_lane2|rotating|1350557187|8193|8193
1785907547736|1012|degrade_inflight_lane2|fixed|1346371074|8193|8193
1785907547736|1012|degrade_inflight_lane2|rotating|1350557187|8193|8193
1785907552719|1012|degrade_inflight_lane2|fixed|1350565379|8193|8193
1785907552719|1012|degrade_inflight_lane2|rotating|1350565379|8193|8193
1785907554028|1012|degrade_inflight_lane2_terminal|fixed|1346371075|8193|8193
1785907554028|1012|degrade_inflight_lane2_terminal|rotating|1350565379|8193|8193
1785907555752|1013|degrade_recovery_after_lane2_active|fixed|1346371075|8193|8193
1785907555752|1013|degrade_recovery_after_lane2_active|rotating|1346362883|8193|8193
1785907560876|1013|degrade_recovery_after_lane2|fixed|1350565379|8193|8193
1785907560876|1013|degrade_recovery_after_lane2|rotating|1346371075|8193|8193
1785907561519|1013|degrade_recovery_after_lane2_terminal|fixed|1346371075|8193|8193
1785907561519|1013|degrade_recovery_after_lane2_terminal|rotating|1346371075|8193|8193
1785907573923|1014|degrade_inflight_lane3_active|fixed|1350565378|8193|8193
1785907573923|1014|degrade_inflight_lane3_active|rotating|1346362883|8193|8193
1785907579113|1014|degrade_inflight_lane3|fixed|1346371074|8193|8193
1785907579113|1014|degrade_inflight_lane3|rotating|1350557187|8193|8193
1785907584046|1014|degrade_inflight_lane3|fixed|1350565378|8193|8193
1785907584046|1014|degrade_inflight_lane3|rotating|1346362883|8193|8193
1785907589046|1014|degrade_inflight_lane3|fixed|1350565378|8193|8193
1785907589046|1014|degrade_inflight_lane3|rotating|1350557187|8193|8193
1785907594121|1014|degrade_inflight_lane3|fixed|1346371075|8193|8193
1785907594121|1014|degrade_inflight_lane3|rotating|1350565379|8193|8193
1785907595332|1014|degrade_inflight_lane3_terminal|fixed|1346371075|8193|8193
1785907595332|1014|degrade_inflight_lane3_terminal|rotating|1346371075|8193|8193
1785907597070|1015|degrade_recovery_after_lane3_active|fixed|1350565379|8193|8193
1785907597070|1015|degrade_recovery_after_lane3_active|rotating|1350557187|8193|8193
1785907602214|1015|degrade_recovery_after_lane3|fixed|1350565379|8193|8193
1785907602214|1015|degrade_recovery_after_lane3|rotating|1350565379|8193|8193
1785907602849|1015|degrade_recovery_after_lane3_terminal|fixed|1346371075|8193|8193
1785907602849|1015|degrade_recovery_after_lane3_terminal|rotating|1346371075|8193|8193
1785907603409|1016|P10_3F-DEGRADE_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785907603409|1016|P10_3F-DEGRADE_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
