captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785907801784|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785907801784|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785907802155|1001|dma_ring8_terminal|fixed|1346371075|8193|8193
1785907802155|1001|dma_ring8_terminal|rotating|1346371075|8193|8193
1785907802764|1002|dma_ring32_terminal|fixed|1346371075|8193|8193
1785907802764|1002|dma_ring32_terminal|rotating|1350565379|8193|8193
1785907803034|1003|dma_size_1_active|fixed|1346371075|8193|8193
1785907803034|1003|dma_size_1_active|rotating|1350565379|8193|8193
1785907803358|1003|dma_size_1_terminal|fixed|1350565379|8193|8193
1785907803358|1003|dma_size_1_terminal|rotating|1346371075|8193|8193
1785907804010|1004|dma_size_2_terminal|fixed|1350565379|8193|8193
1785907804010|1004|dma_size_2_terminal|rotating|1350565379|8193|8193
1785907804233|1005|dma_size_3_active|fixed|1346371075|8193|8193
1785907804233|1005|dma_size_3_active|rotating|1350565379|8193|8193
1785907804590|1005|dma_size_3_terminal|fixed|1346371075|8193|8193
1785907804590|1005|dma_size_3_terminal|rotating|1346371075|8193|8193
1785907804808|1006|dma_size_4_active|fixed|1350565379|8193|8193
1785907804808|1006|dma_size_4_active|rotating|1346371075|8193|8193
1785907805165|1006|dma_size_4_terminal|fixed|1350565379|8193|8193
1785907805165|1006|dma_size_4_terminal|rotating|1346371075|8193|8193
1785907805398|1007|dma_size_31_active|fixed|1350565379|8193|8193
1785907805398|1007|dma_size_31_active|rotating|1350565379|8193|8193
1785907805742|1007|dma_size_31_terminal|fixed|1350565379|8193|8193
1785907805742|1007|dma_size_31_terminal|rotating|1350565379|8193|8193
1785907805978|1008|dma_size_32_active|fixed|1350565379|8193|8193
1785907805978|1008|dma_size_32_active|rotating|1350565379|8193|8193
1785907806329|1008|dma_size_32_terminal|fixed|1346371075|8193|8193
1785907806329|1008|dma_size_32_terminal|rotating|1346371075|8193|8193
1785907806559|1009|dma_size_63_active|fixed|1350565379|8193|8193
1785907806559|1009|dma_size_63_active|rotating|1350565379|8193|8193
1785907806910|1009|dma_size_63_terminal|fixed|1350565379|8193|8193
1785907806910|1009|dma_size_63_terminal|rotating|1350565379|8193|8193
1785907807110|1010|dma_size_64_active|fixed|1346371075|8193|8193
1785907807110|1010|dma_size_64_active|rotating|1346371075|8193|8193
1785907807472|1010|dma_size_64_terminal|fixed|1346371075|8193|8193
1785907807472|1010|dma_size_64_terminal|rotating|1350565379|8193|8193
1785907807726|1011|dma_size_247_active|fixed|1346371075|8193|8193
1785907807726|1011|dma_size_247_active|rotating|1350565379|8193|8193
1785907808095|1011|dma_size_247_terminal|fixed|1350565379|8193|8193
1785907808095|1011|dma_size_247_terminal|rotating|1350565379|8193|8193
1785907808319|1012|dma_size_256_active|fixed|1346371075|8193|8193
1785907808319|1012|dma_size_256_active|rotating|1346371075|8193|8193
1785907808653|1012|dma_size_256_terminal|fixed|1346371075|8193|8193
1785907808653|1012|dma_size_256_terminal|rotating|1350565379|8193|8193
1785907808845|1013|dma_size_1024_active|fixed|1350565379|8193|8193
1785907808845|1013|dma_size_1024_active|rotating|1350565379|8193|8193
1785907809174|1013|dma_size_1024_terminal|fixed|1350565379|8193|8193
1785907809174|1013|dma_size_1024_terminal|rotating|1346371075|8193|8193
1785907809400|1014|dma_size_4096_active|fixed|1350557187|8193|8193
1785907809400|1014|dma_size_4096_active|rotating|1350565379|8193|8193
1785907809753|1014|dma_size_4096_terminal|fixed|1346371075|8193|8193
1785907809753|1014|dma_size_4096_terminal|rotating|1346371075|8193|8193
1785907810008|1015|dma_size_65536_active|fixed|1346371075|8193|8193
1785907810008|1015|dma_size_65536_active|rotating|1346362883|8193|8193
1785907810457|1015|dma_size_65536_terminal|fixed|1346371075|8193|8193
1785907810457|1015|dma_size_65536_terminal|rotating|1350565379|8193|8193
1785907811034|1016|dma_size_1048576_active|fixed|1346362883|8193|8193
1785907811034|1016|dma_size_1048576_active|rotating|1346371075|8193|8193
1785907812729|1016|dma_size_1048576_terminal|fixed|1350565379|8193|8193
1785907812729|1016|dma_size_1048576_terminal|rotating|1350565379|8193|8193
1785907812954|1017|dma_cache_off_fixed_active|fixed|1346371075|8193|8193
1785907812954|1017|dma_cache_off_fixed_active|rotating|1350557187|8193|8193
1785907813384|1017|dma_cache_off_fixed_terminal|fixed|1346371075|8193|8193
1785907813384|1017|dma_cache_off_fixed_terminal|rotating|1350565379|8193|8193
1785907813659|1018|dma_cache_off_rotating_active|fixed|1350557187|8193|8193
1785907813659|1018|dma_cache_off_rotating_active|rotating|1350565379|8193|8193
1785907814119|1018|dma_cache_off_rotating_terminal|fixed|1350565379|8193|8193
1785907814119|1018|dma_cache_off_rotating_terminal|rotating|1350565379|8193|8193
1785907814338|1019|dma_misaligned_active|fixed|1350565379|8193|8193
1785907814338|1019|dma_misaligned_active|rotating|1350557187|8193|8193
1785907814684|1019|dma_misaligned_terminal|fixed|1350565379|8193|8193
1785907814684|1019|dma_misaligned_terminal|rotating|1350565379|8193|8193
1785907814897|1020|dma_ring32_wrap_00_active|fixed|1350565379|8193|8193
1785907814897|1020|dma_ring32_wrap_00_active|rotating|1350565379|8193|8193
1785907815285|1020|dma_ring32_wrap_00_terminal|fixed|1350565379|8193|8193
1785907815285|1020|dma_ring32_wrap_00_terminal|rotating|1346371075|8193|8193
1785907815512|1021|dma_ring32_wrap_01_active|fixed|1350565379|8193|8193
1785907815512|1021|dma_ring32_wrap_01_active|rotating|1346371075|8193|8193
1785907815869|1021|dma_ring32_wrap_01_terminal|fixed|1350565379|8193|8193
1785907815869|1021|dma_ring32_wrap_01_terminal|rotating|1350565379|8193|8193
1785907816091|1022|dma_ring32_wrap_02_active|fixed|1350565379|8193|8193
1785907816091|1022|dma_ring32_wrap_02_active|rotating|1346371075|8193|8193
1785907816437|1022|dma_ring32_wrap_02_terminal|fixed|1346371075|8193|8193
1785907816437|1022|dma_ring32_wrap_02_terminal|rotating|1346371075|8193|8193
1785907816683|1023|dma_ring32_wrap_03_active|fixed|1346371075|8193|8193
1785907816683|1023|dma_ring32_wrap_03_active|rotating|1350565379|8193|8193
1785907817040|1023|dma_ring32_wrap_03_terminal|fixed|1350565379|8193|8193
1785907817040|1023|dma_ring32_wrap_03_terminal|rotating|1346371075|8193|8193
1785907817240|1024|dma_ring32_wrap_04_active|fixed|1350565379|8193|8193
1785907817240|1024|dma_ring32_wrap_04_active|rotating|1350565379|8193|8193
1785907817571|1024|dma_ring32_wrap_04_terminal|fixed|1346371075|8193|8193
1785907817571|1024|dma_ring32_wrap_04_terminal|rotating|1346371075|8193|8193
1785907818146|1025|dma_ring32_wrap_05_terminal|fixed|1346371075|8193|8193
1785907818146|1025|dma_ring32_wrap_05_terminal|rotating|1350565379|8193|8193
1785907818379|1026|dma_ring32_wrap_06_active|fixed|1346371075|8193|8193
1785907818379|1026|dma_ring32_wrap_06_active|rotating|1350565379|8193|8193
1785907818716|1026|dma_ring32_wrap_06_terminal|fixed|1350565379|8193|8193
1785907818716|1026|dma_ring32_wrap_06_terminal|rotating|1346371075|8193|8193
1785907818941|1027|dma_ring32_wrap_07_active|fixed|1350565379|8193|8193
1785907818941|1027|dma_ring32_wrap_07_active|rotating|1346371075|8193|8193
1785907819253|1027|dma_ring32_wrap_07_terminal|fixed|1350565379|8193|8193
1785907819253|1027|dma_ring32_wrap_07_terminal|rotating|1350565379|8193|8193
1785907819472|1028|dma_ring32_wrap_08_active|fixed|1350565379|8193|8193
1785907819472|1028|dma_ring32_wrap_08_active|rotating|1350565379|8193|8193
1785907819806|1028|dma_ring32_wrap_08_terminal|fixed|1346371075|8193|8193
1785907819806|1028|dma_ring32_wrap_08_terminal|rotating|1346371075|8193|8193
1785907820025|1029|dma_ring32_wrap_09_active|fixed|1346371075|8193|8193
