captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785907209430|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785907209430|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785907209859|1001|mask_1_f2r_active|fixed|1350565379|8193|8193
1785907209859|1001|mask_1_f2r_active|rotating|1346362883|8193|8193
1785907214254|1001|mask_1_f2r_terminal|fixed|1346371075|8193|8193
1785907214254|1001|mask_1_f2r_terminal|rotating|1350565379|8193|8193
1785907214890|1002|mask_1_r2f_active|fixed|1346362883|8193|8193
1785907214890|1002|mask_1_r2f_active|rotating|1350565379|8193|8193
1785907219309|1002|mask_1_r2f_terminal|fixed|1346371075|8193|8193
1785907219309|1002|mask_1_r2f_terminal|rotating|1350565379|8193|8193
1785907219894|1003|mask_2_f2r_active|fixed|1350565379|8193|8193
1785907219894|1003|mask_2_f2r_active|rotating|1350557187|8193|8193
1785907224259|1003|mask_2_f2r_terminal|fixed|1346371075|8193|8193
1785907224259|1003|mask_2_f2r_terminal|rotating|1346371075|8193|8193
1785907224922|1004|mask_2_r2f_active|fixed|1350557187|8193|8193
1785907224922|1004|mask_2_r2f_active|rotating|1346371075|8193|8193
1785907229305|1004|mask_2_r2f_terminal|fixed|1350565379|8193|8193
1785907229305|1004|mask_2_r2f_terminal|rotating|1346371075|8193|8193
1785907229950|1005|mask_3_f2r_active|fixed|1346371075|8193|8193
1785907229950|1005|mask_3_f2r_active|rotating|1346362883|8193|8193
1785907232558|1005|mask_3_f2r_terminal|fixed|1350565379|8193|8193
1785907232558|1005|mask_3_f2r_terminal|rotating|1346371075|8193|8193
1785907233231|1006|mask_3_r2f_active|fixed|1350557187|8193|8193
1785907233231|1006|mask_3_r2f_active|rotating|1350565379|8193|8193
1785907235879|1006|mask_3_r2f_terminal|fixed|1350565379|8193|8193
1785907235879|1006|mask_3_r2f_terminal|rotating|1350565379|8193|8193
1785907236476|1007|mask_4_f2r_active|fixed|1346371075|8193|8193
1785907236476|1007|mask_4_f2r_active|rotating|1346362883|8193|8193
1785907240841|1007|mask_4_f2r_terminal|fixed|1346371075|8193|8193
1785907240841|1007|mask_4_f2r_terminal|rotating|1350565379|8193|8193
1785907241423|1008|mask_4_r2f_active|fixed|1346362883|8193|8193
1785907241423|1008|mask_4_r2f_active|rotating|1350565379|8193|8193
1785907245782|1008|mask_4_r2f_terminal|fixed|1350565379|8193|8193
1785907245782|1008|mask_4_r2f_terminal|rotating|1346371075|8193|8193
1785907246395|1009|mask_5_f2r_active|fixed|1346371075|8193|8193
1785907246395|1009|mask_5_f2r_active|rotating|1350557187|8193|8193
1785907249024|1009|mask_5_f2r_terminal|fixed|1350565379|8193|8193
1785907249024|1009|mask_5_f2r_terminal|rotating|1346371075|8193|8193
1785907249612|1010|mask_5_r2f_active|fixed|1346362883|8193|8193
1785907249612|1010|mask_5_r2f_active|rotating|1346371075|8193|8193
1785907252249|1010|mask_5_r2f_terminal|fixed|1346371075|8193|8193
1785907252249|1010|mask_5_r2f_terminal|rotating|1350565379|8193|8193
1785907252868|1011|mask_6_f2r_active|fixed|1350565379|8193|8193
1785907252868|1011|mask_6_f2r_active|rotating|1350557187|8193|8193
1785907255436|1011|mask_6_f2r_terminal|fixed|1350565379|8193|8193
1785907255436|1011|mask_6_f2r_terminal|rotating|1346371075|8193|8193
1785907256035|1012|mask_6_r2f_active|fixed|1350557187|8193|8193
1785907256035|1012|mask_6_r2f_active|rotating|1350565379|8193|8193
1785907258631|1012|mask_6_r2f_terminal|fixed|1346371075|8193|8193
1785907258631|1012|mask_6_r2f_terminal|rotating|1350565379|8193|8193
1785907259255|1013|mask_7_f2r_active|fixed|1346371075|8193|8193
1785907259255|1013|mask_7_f2r_active|rotating|1350557187|8193|8193
1785907261283|1013|mask_7_f2r_terminal|fixed|1350565379|8193|8193
1785907261283|1013|mask_7_f2r_terminal|rotating|1346371075|8193|8193
1785907261879|1014|mask_7_r2f_active|fixed|1350557187|8193|8193
1785907261879|1014|mask_7_r2f_active|rotating|1346371075|8193|8193
1785907263897|1014|mask_7_r2f_terminal|fixed|1350565379|8193|8193
1785907263897|1014|mask_7_r2f_terminal|rotating|1350565379|8193|8193
1785907264535|1015|mask_8_f2r_active|fixed|1350565379|8193|8193
