captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785906110282|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785906110282|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785906110320|1001|intake_receive_only_5000ms_active|fixed|1346371075|8193|8193
1785906110320|1001|intake_receive_only_5000ms_active|rotating|1350565379|8193|8193
1785906115431|1001|intake_receive_only_5000ms|fixed|1346371075|8193|8193
1785906115431|1001|intake_receive_only_5000ms|rotating|1346371075|8193|8193
1785906115789|1001|intake_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785906115789|1001|intake_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785906115992|1002|intake_F0_raw_64_active|fixed|1350565379|8193|8193
1785906115992|1002|intake_F0_raw_64_active|rotating|1350565379|8193|8193
1785906116338|1002|intake_F0_raw_64_terminal|fixed|1350565379|8193|8193
1785906116338|1002|intake_F0_raw_64_terminal|rotating|1350565379|8193|8193
1785906116561|1003|intake_F0_raw_1024_active|fixed|1346371075|8193|8193
1785906116561|1003|intake_F0_raw_1024_active|rotating|1350565379|8193|8193
1785906116914|1003|intake_F0_raw_1024_terminal|fixed|1350565379|8193|8193
1785906116914|1003|intake_F0_raw_1024_terminal|rotating|1350565379|8193|8193
1785906117150|1004|intake_R0_raw_64_active|fixed|1346371075|8193|8193
1785906117150|1004|intake_R0_raw_64_active|rotating|1350565379|8193|8193
1785906117505|1004|intake_R0_raw_64_terminal|fixed|1350565379|8193|8193
1785906117505|1004|intake_R0_raw_64_terminal|rotating|1346371075|8193|8193
1785906117696|1005|intake_R0_raw_1024_active|fixed|1346371075|8193|8193
1785906117696|1005|intake_R0_raw_1024_active|rotating|1350565379|8193|8193
1785906118040|1005|intake_R0_raw_1024_terminal|fixed|1350565379|8193|8193
1785906118040|1005|intake_R0_raw_1024_terminal|rotating|1346371075|8193|8193
1785906118262|1006|intake_F1_raw_64_active|fixed|1350565379|8193|8193
1785906118262|1006|intake_F1_raw_64_active|rotating|1350565379|8193|8193
1785906118617|1006|intake_F1_raw_64_terminal|fixed|1346371075|8193|8193
1785906118617|1006|intake_F1_raw_64_terminal|rotating|1346371075|8193|8193
1785906118854|1007|intake_F1_raw_1024_active|fixed|1350565379|8193|8193
1785906118854|1007|intake_F1_raw_1024_active|rotating|1346371075|8193|8193
1785906119200|1007|intake_F1_raw_1024_terminal|fixed|1346371075|8193|8193
1785906119200|1007|intake_F1_raw_1024_terminal|rotating|1346371075|8193|8193
1785906119413|1008|intake_R1_raw_64_active|fixed|1346371075|8193|8193
1785906119413|1008|intake_R1_raw_64_active|rotating|1350565379|8193|8193
1785906119768|1008|intake_R1_raw_64_terminal|fixed|1346371075|8193|8193
1785906119768|1008|intake_R1_raw_64_terminal|rotating|1350565379|8193|8193
1785906120358|1009|intake_R1_raw_1024_terminal|fixed|1350565379|8193|8193
1785906120358|1009|intake_R1_raw_1024_terminal|rotating|1346371075|8193|8193
1785906120646|1010|intake_F2_raw_64_active|fixed|1350565379|8193|8193
1785906120646|1010|intake_F2_raw_64_active|rotating|1346371075|8193|8193
1785906121013|1010|intake_F2_raw_64_terminal|fixed|1350565379|8193|8193
1785906121013|1010|intake_F2_raw_64_terminal|rotating|1346371075|8193|8193
1785906121262|1011|intake_F2_raw_1024_active|fixed|1346371075|8193|8193
1785906121262|1011|intake_F2_raw_1024_active|rotating|1346371075|8193|8193
1785906121590|1011|intake_F2_raw_1024_terminal|fixed|1346371075|8193|8193
1785906121590|1011|intake_F2_raw_1024_terminal|rotating|1346371075|8193|8193
1785906121783|1012|intake_R2_raw_64_active|fixed|1346371075|8193|8193
1785906121783|1012|intake_R2_raw_64_active|rotating|1346371075|8193|8193
1785906122098|1012|intake_R2_raw_64_terminal|fixed|1350565379|8193|8193
1785906122098|1012|intake_R2_raw_64_terminal|rotating|1346371075|8193|8193
1785906122316|1013|intake_R2_raw_1024_active|fixed|1350565379|8193|8193
1785906122316|1013|intake_R2_raw_1024_active|rotating|1346371075|8193|8193
1785906122664|1013|intake_R2_raw_1024_terminal|fixed|1350565379|8193|8193
1785906122664|1013|intake_R2_raw_1024_terminal|rotating|1350565379|8193|8193
1785906122908|1014|intake_F3_raw_64_active|fixed|1350565379|8193|8193
1785906122908|1014|intake_F3_raw_64_active|rotating|1350565379|8193|8193
1785906123236|1014|intake_F3_raw_64_terminal|fixed|1346371075|8193|8193
1785906123236|1014|intake_F3_raw_64_terminal|rotating|1346371075|8193|8193
1785906123464|1015|intake_F3_raw_1024_active|fixed|1350565379|8193|8193
1785906123464|1015|intake_F3_raw_1024_active|rotating|1350565379|8193|8193
1785906123807|1015|intake_F3_raw_1024_terminal|fixed|1346371075|8193|8193
1785906123807|1015|intake_F3_raw_1024_terminal|rotating|1350565379|8193|8193
1785906124010|1016|intake_R3_raw_64_active|fixed|1346371075|8193|8193
1785906124010|1016|intake_R3_raw_64_active|rotating|1346371075|8193|8193
1785906124355|1016|intake_R3_raw_64_terminal|fixed|1350565379|8193|8193
1785906124355|1016|intake_R3_raw_64_terminal|rotating|1350565379|8193|8193
1785906124576|1017|intake_R3_raw_1024_active|fixed|1350565379|8193|8193
1785906124576|1017|intake_R3_raw_1024_active|rotating|1346371075|8193|8193
1785906124886|1017|intake_R3_raw_1024_terminal|fixed|1350565379|8193|8193
1785906124886|1017|intake_R3_raw_1024_terminal|rotating|1346371075|8193|8193
1785906125143|1018|intake_F2_counter_100f_active|fixed|1346371075|8193|8193
1785906125143|1018|intake_F2_counter_100f_active|rotating|1350557187|8193|8193
1785906125534|1018|intake_F2_counter_100f_terminal|fixed|1346371075|8193|8193
1785906125534|1018|intake_F2_counter_100f_terminal|rotating|1346371075|8193|8193
1785906125872|1019|intake_F2_prbs_1000f_active|fixed|1346371075|8193|8193
