captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785906651186|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785906651186|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785906651228|1001|phy_lane0_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785906651228|1001|phy_lane0_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785906651644|1001|phy_lane0_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785906651644|1001|phy_lane0_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785906652775|1002|phy_lane0_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785906652775|1002|phy_lane0_f2r_prbs_10000f_active|rotating|1350557187|8193|8193
1785906657900|1002|phy_lane0_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785906657900|1002|phy_lane0_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785906662616|1002|phy_lane0_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785906662616|1002|phy_lane0_f2r_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785906662839|1003|phy_lane0_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785906662839|1003|phy_lane0_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785906663256|1003|phy_lane0_r2f_counter_100f_terminal|fixed|1346371075|8193|8193
1785906663256|1003|phy_lane0_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785906664394|1004|phy_lane0_r2f_prbs_10000f_active|fixed|1350557187|8193|8193
1785906664394|1004|phy_lane0_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785906669526|1004|phy_lane0_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785906669526|1004|phy_lane0_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785906674261|1004|phy_lane0_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785906674261|1004|phy_lane0_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785906674479|1005|phy_lane1_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785906674479|1005|phy_lane1_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785906674891|1005|phy_lane1_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785906674891|1005|phy_lane1_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785906676022|1006|phy_lane1_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785906676022|1006|phy_lane1_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785906681135|1006|phy_lane1_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785906681135|1006|phy_lane1_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785906685861|1006|phy_lane1_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785906685861|1006|phy_lane1_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785906686081|1007|phy_lane1_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785906686081|1007|phy_lane1_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785906686525|1007|phy_lane1_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785906686525|1007|phy_lane1_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785906687874|1008|phy_lane1_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785906687874|1008|phy_lane1_r2f_prbs_10000f_active|rotating|1346371075|8193|8193
1785906693008|1008|phy_lane1_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785906693008|1008|phy_lane1_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785906697758|1008|phy_lane1_r2f_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785906697758|1008|phy_lane1_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785906698068|1009|phy_lane2_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785906698068|1009|phy_lane2_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785906698556|1009|phy_lane2_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785906698556|1009|phy_lane2_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785906699653|1010|phy_lane2_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785906699653|1010|phy_lane2_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785906704766|1010|phy_lane2_f2r_prbs_10000f|fixed|1350565378|8193|8193
1785906704766|1010|phy_lane2_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785906709505|1010|phy_lane2_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785906709505|1010|phy_lane2_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785906709724|1011|phy_lane2_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785906709724|1011|phy_lane2_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785906710124|1011|phy_lane2_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785906710124|1011|phy_lane2_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785906711253|1012|phy_lane2_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785906711253|1012|phy_lane2_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785906716429|1012|phy_lane2_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785906716429|1012|phy_lane2_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785906721102|1012|phy_lane2_r2f_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785906721102|1012|phy_lane2_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785906721327|1013|phy_lane3_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785906721327|1013|phy_lane3_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785906721755|1013|phy_lane3_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785906721755|1013|phy_lane3_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785906722867|1014|phy_lane3_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785906722867|1014|phy_lane3_f2r_prbs_10000f_active|rotating|1350557187|8193|8193
1785906728052|1014|phy_lane3_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785906728052|1014|phy_lane3_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785906732669|1014|phy_lane3_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785906732669|1014|phy_lane3_f2r_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785906732892|1015|phy_lane3_r2f_counter_100f_active|fixed|1350557187|8193|8193
1785906732892|1015|phy_lane3_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785906733311|1015|phy_lane3_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785906733311|1015|phy_lane3_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785906734422|1016|phy_lane3_r2f_prbs_10000f_active|fixed|1350557187|8193|8193
1785906734422|1016|phy_lane3_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785906739545|1016|phy_lane3_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785906739545|1016|phy_lane3_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785906744236|1016|phy_lane3_r2f_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785906744236|1016|phy_lane3_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785906744777|1017|P10_3F-PER_LANE_PHY_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785906744777|1017|P10_3F-PER_LANE_PHY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
