captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785906508955|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785906508955|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785906508993|1001|matrix_F0_raw64_active|fixed|1350565379|8193|8193
1785906508993|1001|matrix_F0_raw64_active|rotating|1350565379|8193|8193
1785906509345|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1785906509345|1001|matrix_F0_raw64_terminal|rotating|1350565379|8193|8193
1785906509565|1002|matrix_F0_raw1024_active|fixed|1346371075|8193|8193
1785906509565|1002|matrix_F0_raw1024_active|rotating|1346371075|8193|8193
1785906509924|1002|matrix_F0_raw1024_terminal|fixed|1350565379|8193|8193
1785906509924|1002|matrix_F0_raw1024_terminal|rotating|1350565379|8193|8193
1785906510283|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1346371075|8193|8193
1785906510283|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785906514333|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785906514333|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785906520201|1004|matrix_R0_raw64_active|fixed|1350565379|8193|8193
1785906520201|1004|matrix_R0_raw64_active|rotating|1346371075|8193|8193
1785906520526|1004|matrix_R0_raw64_terminal|fixed|1350565379|8193|8193
1785906520526|1004|matrix_R0_raw64_terminal|rotating|1350565379|8193|8193
1785906520773|1005|matrix_R0_raw1024_active|fixed|1350565379|8193|8193
1785906520773|1005|matrix_R0_raw1024_active|rotating|1350565379|8193|8193
1785906521159|1005|matrix_R0_raw1024_terminal|fixed|1350565379|8193|8193
1785906521159|1005|matrix_R0_raw1024_terminal|rotating|1346371075|8193|8193
1785906521513|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785906521513|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785906525585|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785906525585|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785906531411|1007|matrix_F1_raw64_active|fixed|1350565379|8193|8193
1785906531411|1007|matrix_F1_raw64_active|rotating|1350565379|8193|8193
1785906531803|1007|matrix_F1_raw64_terminal|fixed|1346371075|8193|8193
1785906531803|1007|matrix_F1_raw64_terminal|rotating|1346371075|8193|8193
1785906532001|1008|matrix_F1_raw1024_active|fixed|1346371075|8193|8193
1785906532001|1008|matrix_F1_raw1024_active|rotating|1346371075|8193|8193
1785906532372|1008|matrix_F1_raw1024_terminal|fixed|1346371075|8193|8193
1785906532372|1008|matrix_F1_raw1024_terminal|rotating|1350565379|8193|8193
1785906532727|1009|matrix_F1_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785906532727|1009|matrix_F1_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785906536784|1009|matrix_F1_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785906536784|1009|matrix_F1_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785906542630|1010|matrix_R1_raw64_active|fixed|1350565379|8193|8193
1785906542630|1010|matrix_R1_raw64_active|rotating|1350565379|8193|8193
1785906543065|1010|matrix_R1_raw64_terminal|fixed|1350565379|8193|8193
1785906543065|1010|matrix_R1_raw64_terminal|rotating|1350565379|8193|8193
1785906543366|1011|matrix_R1_raw1024_active|fixed|1350565379|8193|8193
1785906543366|1011|matrix_R1_raw1024_active|rotating|1346371075|8193|8193
1785906543822|1011|matrix_R1_raw1024_terminal|fixed|1346371075|8193|8193
1785906543822|1011|matrix_R1_raw1024_terminal|rotating|1350565379|8193|8193
1785906544252|1012|matrix_R1_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785906544252|1012|matrix_R1_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785906548420|1012|matrix_R1_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785906548420|1012|matrix_R1_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785906554139|1013|matrix_F2_raw64_active|fixed|1350565379|8193|8193
1785906554139|1013|matrix_F2_raw64_active|rotating|1350565379|8193|8193
1785906554478|1013|matrix_F2_raw64_terminal|fixed|1346371075|8193|8193
1785906554478|1013|matrix_F2_raw64_terminal|rotating|1346371075|8193|8193
1785906554724|1014|matrix_F2_raw1024_active|fixed|1350565379|8193|8193
1785906554724|1014|matrix_F2_raw1024_active|rotating|1350565379|8193|8193
1785906555069|1014|matrix_F2_raw1024_terminal|fixed|1346371075|8193|8193
1785906555069|1014|matrix_F2_raw1024_terminal|rotating|1350565379|8193|8193
1785906555392|1015|matrix_F2_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785906555392|1015|matrix_F2_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785906559459|1015|matrix_F2_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785906559459|1015|matrix_F2_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785906565318|1016|matrix_R2_raw64_active|fixed|1350565379|8193|8193
1785906565318|1016|matrix_R2_raw64_active|rotating|1350565379|8193|8193
1785906565660|1016|matrix_R2_raw64_terminal|fixed|1350565379|8193|8193
1785906565660|1016|matrix_R2_raw64_terminal|rotating|1346371075|8193|8193
1785906565894|1017|matrix_R2_raw1024_active|fixed|1346371075|8193|8193
1785906565894|1017|matrix_R2_raw1024_active|rotating|1346371075|8193|8193
1785906566240|1017|matrix_R2_raw1024_terminal|fixed|1346371075|8193|8193
1785906566240|1017|matrix_R2_raw1024_terminal|rotating|1350565379|8193|8193
1785906566588|1018|matrix_R2_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785906566588|1018|matrix_R2_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785906570679|1018|matrix_R2_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785906570679|1018|matrix_R2_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785906576498|1019|matrix_F3_raw64_active|fixed|1350565379|8193|8193
1785906576498|1019|matrix_F3_raw64_active|rotating|1350565379|8193|8193
1785906576826|1019|matrix_F3_raw64_terminal|fixed|1350565379|8193|8193
1785906576826|1019|matrix_F3_raw64_terminal|rotating|1350565379|8193|8193
1785906577072|1020|matrix_F3_raw1024_active|fixed|1350565379|8193|8193
1785906577072|1020|matrix_F3_raw1024_active|rotating|1346371075|8193|8193
1785906577418|1020|matrix_F3_raw1024_terminal|fixed|1350565379|8193|8193
