captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785908655245|1001|stream_clean_after_dma_reset|fixed|2,1378943233,16781056,6147183,6062686,6077337,6062686,6077337,6062686,5819,5797,5797,5797,0,0,740,0,178942376,178598232,4096,4096,0,0,5797,5797,362646650,362647007,362646658,362647015,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1133487086,0,5765856,0,0,0,0,0,6112967,0,21,0,320358653,0,320358653,0,2080,313593955,0,9637237,0,0,0,0,0
1785908655245|1001|stream_clean_after_dma_reset|rotating|2,1378943233,33558272,6213013,6126946,70598,0,70598,0,1496,0,748,0,0,0,5859,5859,4778928,0,4096,0,0,0,748,0,346964257,0,346964265,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,393954284,0,0,0,5767168,0,5767168,0,17768,0,0,22,0,0,0,0,0,0,0,6901671,0,0,0,0,0
1785908660256|1001|stream_clean_after_dma_reset|fixed|4,1378943233,16777471,12422489,12251596,12281199,12251596,12281199,12251596,11760,11714,11713,11713,0,0,1497,0,361577240,360858235,4096,4096,0,0,11714,11714,683369352,683369341,683369328,683369349,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1453980572,0,11589664,0,0,0,0,0,12296971,0,44,0,639396187,0,639396187,0,2080,630800851,0,12612945,0,0,0,0,0
1785908660256|1001|stream_clean_after_dma_reset|rotating|4,1378943233,33558272,12499236,12327436,142143,0,142143,0,3012,0,1506,0,0,0,11786,11786,9621776,0,4096,0,0,0,1506,0,668503809,0,668503817,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,716290771,0,0,0,11534336,0,11534336,0,35701,0,0,44,0,0,0,0,0,0,0,6945933,0,0,0,0,0
1785908665265|1001|stream_clean_after_dma_reset|fixed|6,1378943233,16781056,18693478,18434984,18480832,18434984,18480832,18434984,17698,17630,17630,17630,0,0,2253,0,544203752,543126024,4096,4096,0,0,17630,17630,1003929472,1003929797,1003929480,1003929805,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1773634159,0,17404256,0,0,0,0,0,18462920,0,66,0,957596126,0,957596126,0,2080,947305340,0,15456065,0,0,0,0,0
1785908665265|1001|stream_clean_after_dma_reset|rotating|6,1378943233,33558272,18746522,18487373,213214,0,213214,0,4518,0,2259,0,0,0,17680,17680,14432616,0,4096,0,0,0,2259,0,987765253,0,987765261,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1035267894,0,0,0,17301504,0,17301504,0,53445,0,0,66,0,0,0,0,0,0,0,6985184,0,0,0,0,0
1785908670265|1001|stream_clean_after_dma_reset|fixed|8,1378943233,16777471,24958068,24612905,24674162,24612905,24674162,24612905,23628,23537,23536,23536,0,0,3008,0,726523331,725085608,4096,4096,0,0,23537,23537,1323977823,1323977852,1323977831,1323977828,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2094806118,0,23250464,0,0,0,0,0,24662367,0,88,0,1277306533,0,1277306533,0,2080,1265327372,0,18298898,0,0,0,0,0
1785908670265|1001|stream_clean_after_dma_reset|rotating|8,1378943233,33558272,25023626,24677793,284568,0,284568,0,6030,0,3015,0,0,0,23598,23598,19262648,0,4096,0,0,0,3015,0,1308315722,0,1308315730,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1355324771,0,0,0,23068672,0,23068672,0,71258,0,0,88,0,0,0,0,0,0,0,7035121,0,0,0,0,0
1785908675272|1001|stream_clean_after_dma_reset|fixed|10,1378943233,16777471,31226642,30794940,30871476,30794940,30871476,30794940,29561,29447,29447,29447,0,0,3763,0,908969226,907171965,4096,4096,0,0,29447,29447,1644229189,1644229530,1644229197,1644229538,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2415099037,0,29072960,0,0,0,0,0,30844853,0,110,0,1596143828,0,1596143828,0,2080,1582466400,0,21146532,0,0,0,0,0
1785908675272|1001|stream_clean_after_dma_reset|rotating|10,1378943233,33558272,31302819,30870189,356009,0,356009,0,7544,0,3772,0,0,0,29518,29518,24099072,0,4096,0,0,0,3772,0,1629300767,0,1629300775,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1676183567,0,0,0,29097984,0,29097984,0,89120,0,0,111,0,0,0,0,0,0,0,7085745,0,0,0,0,0
