captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785907912757|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785907912757|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785907912927|1001|stream64_f2r_1_active|fixed|1350565379|8193|8193
1785907912927|1001|stream64_f2r_1_active|rotating|1350557187|8193|8193
1785907918065|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785907918065|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785907923130|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785907923130|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907928081|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785907928081|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785907933053|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785907933053|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907938061|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785907938061|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785907943059|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785907943059|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907948073|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785907948073|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907953098|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785907953098|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907958120|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785907958120|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907963110|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785907963110|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785907968121|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785907968121|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785907971112|1001|stream64_f2r_1_terminal|fixed|1346371075|8193|8193
1785907971112|1001|stream64_f2r_1_terminal|rotating|1350565379|8193|8193
1785907971457|1002|stream64_f2r_2_active|fixed|1350565379|8193|8193
1785907971457|1002|stream64_f2r_2_active|rotating|1350557187|8193|8193
1785907976562|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785907976562|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785907981598|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785907981598|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785907986602|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785907986602|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785907991653|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785907991653|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785907996641|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785907996641|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785908001618|1002|stream64_f2r_2|fixed|1346371074|8193|8193
