captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785906800020|1001|regression64_f2r|fixed|2,1378943233,16781056,6113395,6070169,6078474,6070169,6078474,6070169,6333,6321,5791,5790,0,0,370,0,178757624,178563576,4096,4096,0,0,5791,5790,357711693,357599848,357711701,357599856,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,52,0,40,0,13,10,0,1,52,0|4,1077547470,0,2867208,0,0,0,0,0,3044250,0,10,0,320769611,0,320769611,0,2080,314846925,0,8223653,0,0,0,0,0
1785906800020|1001|regression64_f2r|rotating|2,1378943233,33558272,6145852,6099986,35379,0,35379,0,746,0,375,0,0,0,5821,5814,2395816,0,4096,0,0,0,375,0,345628732,0,345628748,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,391960102,0,0,0,2883584,0,2883584,0,8915,0,0,11,0,0,0,0,0,0,0,6875670,0,0,0,0,0
1785906805026|1001|regression64_f2r|fixed|4,1378943233,16780339,12341658,12251687,12270697,12251687,12270697,12251687,12249,12222,11694,11690,0,0,752,0,360957263,360508394,4096,4096,0,0,11695,11691,679466476,679466481,679466484,679466489,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1397923350,0,5798784,0,0,0,0,0,6155251,0,22,0,640412597,0,640412597,0,2080,633508636,0,9779365,0,0,0,0,0
1785906805026|1001|regression64_f2r|rotating|4,1378943233,33558272,12409166,12318780,71340,0,71340,0,1508,0,756,0,0,0,11758,11749,4829976,0,4096,0,0,0,756,0,666148504,0,666148512,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,712301511,0,0,0,5767168,0,5767168,0,17882,0,0,22,0,0,0,0,0,0,0,6894646,0,0,0,0,0
1785906810031|1001|regression64_f2r|fixed|6,1378943233,16780339,18611159,18476298,18504331,18476298,18504331,18476298,18197,18159,17632,17628,0,0,1132,0,544248550,543620961,4096,4096,0,0,17633,17629,999833548,999833561,999833556,999833569,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1718306144,0,8729792,0,0,0,0,0,9270000,0,33,0,960062639,0,960062639,0,2080,952309952,0,11207017,0,0,0,0,0
1785906810031|1001|regression64_f2r|rotating|6,1378943233,33558272,18680366,18545097,107207,0,107207,0,2268,0,1136,0,0,0,17697,17689,7257816,0,4096,0,0,0,1136,0,986464835,0,986464843,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1032580468,0,0,0,8650752,0,8650752,0,26849,0,0,33,0,0,0,0,0,0,0,6914851,0,0,0,0,0
1785906815038|1001|regression64_f2r|fixed|8,1378943233,16780339,24881079,24702348,24738383,24702348,24738383,24702348,24148,24099,23571,23567,0,0,1512,0,727597087,726788586,4096,4096,0,0,23572,23568,1320288336,1320288325,1320288344,1320288333,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,2038779263,0,11660800,0,0,0,0,0,12385106,0,44,0,1279803006,0,1279803006,0,2080,1271201473,0,12634789,0,0,0,0,0
1785906815038|1001|regression64_f2r|rotating|8,1378943233,33558272,24962242,24783126,143168,0,143168,0,3030,0,1517,0,0,0,23648,23640,9691992,0,4096,0,0,0,1517,0,1307640838,0,1307640846,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1354401935,0,0,0,11534336,0,11534336,0,35862,0,0,44,0,0,0,0,0,0,0,6937412,0,0,0,0,0
1785906820045|1001|regression64_f2r|fixed|10,1378943233,16780339,31147619,30923833,30969057,30923833,30969057,30923833,30099,30039,29511,29507,0,0,1892,0,910948510,909958681,4096,4096,0,0,29512,29508,1640760794,1640760775,1640760802,1640760783,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2359292817,0,14591808,0,0,0,0,0,15498556,0,55,0,1599583808,0,1599583808,0,2080,1590131054,0,14064936,0,0,0,0,0
1785906820045|1001|regression64_f2r|rotating|10,1378943233,33558272,31215442,30991287,178940,0,178940,0,3788,0,1896,0,0,0,29576,29568,12113376,0,4096,0,0,0,1896,0,1627100114,0,1627100122,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1673580447,0,0,0,14417920,0,14417920,0,44805,0,0,55,0,0,0,0,0,0,0,6959937,0,0,0,0,0
