captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785910787601|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785910787601|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785910789135|1001|degrade_static_unavailable_1_active|fixed|1346362883|8193|8193
1785910789135|1001|degrade_static_unavailable_1_active|rotating|1350565379|8193|8193
1785910794254|1001|degrade_static_unavailable_1|fixed|1346362883|8193|8193
1785910794254|1001|degrade_static_unavailable_1|rotating|1350565378|8193|8193
1785910796223|1001|degrade_static_unavailable_1_terminal|fixed|1350565379|8193|8193
1785910796223|1001|degrade_static_unavailable_1_terminal|rotating|1346371075|8193|8193
1785910797959|1002|degrade_static_unavailable_2_active|fixed|1346371075|8193|8193
1785910797959|1002|degrade_static_unavailable_2_active|rotating|1350557187|8193|8193
1785910803070|1002|degrade_static_unavailable_2|fixed|1350565378|8193|8193
1785910803070|1002|degrade_static_unavailable_2|rotating|1350557187|8193|8193
1785910805056|1002|degrade_static_unavailable_2_terminal|fixed|1346371075|8193|8193
1785910805056|1002|degrade_static_unavailable_2_terminal|rotating|1346371075|8193|8193
1785910806789|1003|degrade_static_unavailable_4_active|fixed|1346371075|8193|8193
1785910806789|1003|degrade_static_unavailable_4_active|rotating|1346362883|8193|8193
1785910811914|1003|degrade_static_unavailable_4|fixed|1346371074|8193|8193
1785910811914|1003|degrade_static_unavailable_4|rotating|1350557187|8193|8193
1785910813914|1003|degrade_static_unavailable_4_terminal|fixed|1350565379|8193|8193
1785910813914|1003|degrade_static_unavailable_4_terminal|rotating|1346371075|8193|8193
1785910815626|1004|degrade_static_unavailable_8_active|fixed|1350565379|8193|8193
1785910815626|1004|degrade_static_unavailable_8_active|rotating|1350557187|8193|8193
1785910820774|1004|degrade_static_unavailable_8|fixed|1346371074|8193|8193
1785910820774|1004|degrade_static_unavailable_8|rotating|1350557187|8193|8193
1785910822725|1004|degrade_static_unavailable_8_terminal|fixed|1350565379|8193|8193
1785910822725|1004|degrade_static_unavailable_8_terminal|rotating|1350565379|8193|8193
1785910824460|1005|degrade_static_unavailable_3_active|fixed|1346362883|8193|8193
1785910824460|1005|degrade_static_unavailable_3_active|rotating|1346371075|8193|8193
1785910829630|1005|degrade_static_unavailable_3|fixed|1350557187|8193|8193
1785910829630|1005|degrade_static_unavailable_3|rotating|1350565378|8193|8193
1785910834596|1005|degrade_static_unavailable_3|fixed|1350557187|8193|8193
1785910834596|1005|degrade_static_unavailable_3|rotating|1346371074|8193|8193
1785910835992|1005|degrade_static_unavailable_3_terminal|fixed|1346371075|8193|8193
1785910835992|1005|degrade_static_unavailable_3_terminal|rotating|1350565379|8193|8193
1785910837750|1006|degrade_static_unavailable_7_active|fixed|1350557187|8193|8193
1785910837750|1006|degrade_static_unavailable_7_active|rotating|1346371075|8193|8193
1785910842895|1006|degrade_static_unavailable_7|fixed|1346362883|8193|8193
1785910842895|1006|degrade_static_unavailable_7|rotating|1350565378|8193|8193
1785910847910|1006|degrade_static_unavailable_7|fixed|1346362883|8193|8193
1785910847910|1006|degrade_static_unavailable_7|rotating|1346371074|8193|8193
1785910852894|1006|degrade_static_unavailable_7|fixed|1350557187|8193|8193
1785910852894|1006|degrade_static_unavailable_7|rotating|1346371074|8193|8193
1785910854245|1006|degrade_static_unavailable_7_terminal|fixed|1350565379|8193|8193
1785910854245|1006|degrade_static_unavailable_7_terminal|rotating|1346371075|8193|8193
1785910855971|1007|degrade_static_recovery_maskF_active|fixed|1346371075|8193|8193
1785910855971|1007|degrade_static_recovery_maskF_active|rotating|1350557187|8193|8193
1785910861091|1007|degrade_static_recovery_maskF|fixed|1350565379|8193|8193
1785910861091|1007|degrade_static_recovery_maskF|rotating|1350565379|8193|8193
