captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785911344874|1001|stream64_f2r_1|fixed|2,1378943233,16777471,6148519,6064733,6078767,6064733,6078767,6064733,5815,5793,5793,5793,0,0,739,0,178817082,178472445,4096,4096,0,0,5793,5793,360367498,360367831,360367506,360367839,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,1071422025,0,5782976,0,0,0,0,0,6137466,0,22,0,321499572,0,321499572,0,2080,314575847,0,9795306,0,0,0,0,0
1785911344874|1001|stream64_f2r_1|rotating|2,1378943233,33558272,6268761,6182915,71166,0,71166,0,1508,0,754,0,0,0,5906,5906,4817264,0,4096,0,0,0,754,0,348340676,0,348340684,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,394466609,0,0,0,5767168,0,5767168,0,17933,0,0,22,0,0,0,0,0,0,0,6894555,0,0,0,0,0
1785911349885|1001|stream64_f2r_1|fixed|4,1378943233,16777471,12429629,12258343,12288433,12258343,12288433,12258343,11754,11709,11709,11709,0,0,1496,0,361431377,360712876,4096,4096,0,0,11709,11709,681074520,681074861,681074528,681074869,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1390992202,0,11597568,0,0,0,0,0,12311918,0,44,0,639616101,0,639616101,0,2080,630964397,0,12670955,0,0,0,0,0
1785911349885|1001|stream64_f2r_1|rotating|4,1378943233,33558272,12522633,12350284,142238,0,142238,0,3014,0,1507,0,0,0,11796,11796,9628168,0,4096,0,0,0,1507,0,667634623,0,667634631,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,712875034,0,0,0,11534336,0,11534336,0,35654,0,0,44,0,0,0,0,0,0,0,6931864,0,0,0,0,0
1785911354889|1001|stream64_f2r_1|fixed|6,1378943233,16781056,18697211,18437915,18484755,18437915,18484755,18437915,17683,17616,17616,17616,0,0,2251,0,543770464,542692712,4096,4096,0,0,17616,17616,1001165084,1001165409,1001165092,1001165417,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1710811610,0,17412160,0,0,0,0,0,18486688,0,66,0,957981861,0,957981861,0,2080,947611305,0,15537477,0,0,0,0,0
1785911354889|1001|stream64_f2r_1|rotating|6,1378943233,33558272,18770523,18510296,213308,0,213308,0,4520,0,2260,0,0,0,17685,17685,14439016,0,4096,0,0,0,2260,0,986919468,0,986919476,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1032130731,0,0,0,17301504,0,17301504,0,53421,0,0,66,0,0,0,0,0,0,0,6983047,0,0,0,0,0
1785911359912|1001|stream64_f2r_1|fixed|8,1378943233,16777471,24995317,24648374,24711316,24648374,24711316,24648374,23638,23549,23548,23548,0,0,3009,0,726903470,725466944,4096,4096,0,0,23549,23549,1322655667,1322655688,1322655675,1322655664,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2032510135,0,23258368,0,0,0,0,0,24701482,0,88,0,1278218834,0,1278218834,0,2080,1266129512,0,18410701,0,0,0,0,0
1785911359912|1001|stream64_f2r_1|rotating|8,1378943233,33558272,25070136,24722210,284849,0,284849,0,6036,0,3018,0,0,0,23619,23619,19281784,0,4096,0,0,0,3018,0,1308359833,0,1308359841,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1353648064,0,0,0,23068672,0,23068672,0,71305,0,0,88,0,0,0,0,0,0,0,7026866,0,0,0,0,0
1785911364924|1001|stream64_f2r_1|fixed|10,1378943233,16777471,31283633,30848770,30928186,30848770,30928186,30848770,29583,29472,29471,29471,0,0,3766,0,909733120,907936867,4096,4096,0,0,29472,29472,1643610548,1643610545,1643610556,1643610561,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2353059175,0,29088768,0,0,0,0,0,30894528,0,110,0,1597310274,0,1597310274,0,2080,1583498774,0,21283943,0,0,0,0,0
1785911364924|1001|stream64_f2r_1|rotating|10,1378943233,33558272,31360207,30923808,356388,0,356388,0,7552,0,3776,0,0,0,29544,29544,24124624,0,4096,0,0,0,3776,0,1629604131,0,1629604139,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1675528389,0,0,0,29097984,0,29097984,0,89239,0,0,111,0,0,0,0,0,0,0,7072592,0,0,0,0,0
