captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785914084238|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785914084238|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785914085781|1001|degrade_static_unavailable_1_active|fixed|1346362883|8193|8193
1785914085781|1001|degrade_static_unavailable_1_active|rotating|1350565379|8193|8193
1785914090924|1001|degrade_static_unavailable_1|fixed|1346362883|8193|8193
1785914090924|1001|degrade_static_unavailable_1|rotating|1346371074|8193|8193
1785914092883|1001|degrade_static_unavailable_1_terminal|fixed|1346371075|8193|8193
1785914092883|1001|degrade_static_unavailable_1_terminal|rotating|1346371075|8193|8193
1785914094582|1002|degrade_static_unavailable_2_active|fixed|1350565379|8193|8193
1785914094582|1002|degrade_static_unavailable_2_active|rotating|1346362883|8193|8193
1785914099731|1002|degrade_static_unavailable_2|fixed|1346371074|8193|8193
1785914099731|1002|degrade_static_unavailable_2|rotating|1346362883|8193|8193
1785914101696|1002|degrade_static_unavailable_2_terminal|fixed|1346371075|8193|8193
1785914101696|1002|degrade_static_unavailable_2_terminal|rotating|1350565379|8193|8193
1785914103396|1003|degrade_static_unavailable_4_active|fixed|1346371075|8193|8193
1785914103396|1003|degrade_static_unavailable_4_active|rotating|1350557187|8193|8193
1785914108544|1003|degrade_static_unavailable_4|fixed|1350565378|8193|8193
1785914108544|1003|degrade_static_unavailable_4|rotating|1350557187|8193|8193
1785914110519|1003|degrade_static_unavailable_4_terminal|fixed|1350565379|8193|8193
1785914110519|1003|degrade_static_unavailable_4_terminal|rotating|1350565379|8193|8193
1785914112254|1004|degrade_static_unavailable_8_active|fixed|1350565379|8193|8193
1785914112254|1004|degrade_static_unavailable_8_active|rotating|1350557187|8193|8193
1785914117395|1004|degrade_static_unavailable_8|fixed|1346371074|8193|8193
1785914117395|1004|degrade_static_unavailable_8|rotating|1350557187|8193|8193
1785914119386|1004|degrade_static_unavailable_8_terminal|fixed|1346371075|8193|8193
1785914119386|1004|degrade_static_unavailable_8_terminal|rotating|1346371075|8193|8193
1785914121153|1005|degrade_static_unavailable_3_active|fixed|1346362883|8193|8193
1785914121153|1005|degrade_static_unavailable_3_active|rotating|1350565379|8193|8193
1785914126300|1005|degrade_static_unavailable_3|fixed|1346362883|8193|8193
1785914126300|1005|degrade_static_unavailable_3|rotating|1346371074|8193|8193
1785914131066|1005|degrade_static_unavailable_3_terminal|fixed|1346371075|8193|8193
1785914131066|1005|degrade_static_unavailable_3_terminal|rotating|1346371075|8193|8193
1785914132803|1006|degrade_static_unavailable_7_active|fixed|1350557187|8193|8193
1785914132803|1006|degrade_static_unavailable_7_active|rotating|1346371075|8193|8193
1785914137928|1006|degrade_static_unavailable_7|fixed|1346362883|8193|8193
1785914137928|1006|degrade_static_unavailable_7|rotating|1346371074|8193|8193
1785914142947|1006|degrade_static_unavailable_7|fixed|1350557187|8193|8193
1785914142947|1006|degrade_static_unavailable_7|rotating|1350565378|8193|8193
1785914147947|1006|degrade_static_unavailable_7|fixed|1350557187|8193|8193
1785914147947|1006|degrade_static_unavailable_7|rotating|1350565378|8193|8193
1785914149308|1006|degrade_static_unavailable_7_terminal|fixed|1346371075|8193|8193
1785914149308|1006|degrade_static_unavailable_7_terminal|rotating|1350565379|8193|8193
1785914151083|1007|degrade_static_recovery_maskF_active|fixed|1350565379|8193|8193
1785914151083|1007|degrade_static_recovery_maskF_active|rotating|1350557187|8193|8193
1785914156218|1007|degrade_static_recovery_maskF|fixed|1346371075|8193|8193
1785914156218|1007|degrade_static_recovery_maskF|rotating|1350565379|8193|8193
1785914157015|1007|degrade_static_recovery_maskF_terminal|fixed|1346371075|8193|8193
1785914157015|1007|degrade_static_recovery_maskF_terminal|rotating|1346371075|8193|8193
1785914169402|1008|degrade_inflight_lane0_active|fixed|1346371074|8193|8193
1785914169402|1008|degrade_inflight_lane0_active|rotating|1346362883|8193|8193
1785914174559|1008|degrade_inflight_lane0|fixed|1346371074|8193|8193
1785914174559|1008|degrade_inflight_lane0|rotating|1350557187|8193|8193
1785914179556|1008|degrade_inflight_lane0|fixed|1346371074|8193|8193
1785914179556|1008|degrade_inflight_lane0|rotating|1350557187|8193|8193
1785914184552|1008|degrade_inflight_lane0|fixed|1350565378|8193|8193
1785914184552|1008|degrade_inflight_lane0|rotating|1346362883|8193|8193
1785914189557|1008|degrade_inflight_lane0|fixed|1350565379|8193|8193
1785914189557|1008|degrade_inflight_lane0|rotating|1346371075|8193|8193
1785914190839|1008|degrade_inflight_lane0_terminal|fixed|1346371075|8193|8193
1785914190839|1008|degrade_inflight_lane0_terminal|rotating|1350565379|8193|8193
1785914192564|1009|degrade_recovery_after_lane0_active|fixed|1350565379|8193|8193
1785914192564|1009|degrade_recovery_after_lane0_active|rotating|1346362883|8193|8193
