captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785914521400|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785914521400|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785914521782|1001|dma_ring8_terminal|fixed|1350565379|8193|8193
1785914521782|1001|dma_ring8_terminal|rotating|1350565379|8193|8193
1785914522335|1002|dma_ring32_terminal|fixed|1350565379|8193|8193
1785914522335|1002|dma_ring32_terminal|rotating|1346371075|8193|8193
1785914522562|1003|dma_size_1_active|fixed|1346371075|8193|8193
1785914522562|1003|dma_size_1_active|rotating|1346371075|8193|8193
1785914522917|1003|dma_size_1_terminal|fixed|1350565379|8193|8193
1785914522917|1003|dma_size_1_terminal|rotating|1346371075|8193|8193
1785914523511|1004|dma_size_2_terminal|fixed|1350565379|8193|8193
1785914523511|1004|dma_size_2_terminal|rotating|1346371075|8193|8193
1785914523726|1005|dma_size_3_active|fixed|1346371075|8193|8193
1785914523726|1005|dma_size_3_active|rotating|1350565379|8193|8193
1785914524058|1005|dma_size_3_terminal|fixed|1346371075|8193|8193
1785914524058|1005|dma_size_3_terminal|rotating|1346371075|8193|8193
1785914524260|1006|dma_size_4_active|fixed|1350565379|8193|8193
1785914524260|1006|dma_size_4_active|rotating|1350565379|8193|8193
1785914524585|1006|dma_size_4_terminal|fixed|1346371075|8193|8193
1785914524585|1006|dma_size_4_terminal|rotating|1346371075|8193|8193
1785914524850|1007|dma_size_31_active|fixed|1346371075|8193|8193
1785914524850|1007|dma_size_31_active|rotating|1346371075|8193|8193
1785914525211|1007|dma_size_31_terminal|fixed|1350565379|8193|8193
1785914525211|1007|dma_size_31_terminal|rotating|1346371075|8193|8193
1785914525433|1008|dma_size_32_active|fixed|1350565379|8193|8193
1785914525433|1008|dma_size_32_active|rotating|1346371075|8193|8193
1785914525840|1008|dma_size_32_terminal|fixed|1346371075|8193|8193
1785914525840|1008|dma_size_32_terminal|rotating|1346371075|8193|8193
1785914526042|1009|dma_size_63_active|fixed|1350565379|8193|8193
1785914526042|1009|dma_size_63_active|rotating|1346371075|8193|8193
1785914526400|1009|dma_size_63_terminal|fixed|1350565379|8193|8193
1785914526400|1009|dma_size_63_terminal|rotating|1346371075|8193|8193
1785914526634|1010|dma_size_64_active|fixed|1346371075|8193|8193
1785914526634|1010|dma_size_64_active|rotating|1346371075|8193|8193
1785914527016|1010|dma_size_64_terminal|fixed|1350565379|8193|8193
1785914527016|1010|dma_size_64_terminal|rotating|1346371075|8193|8193
1785914527216|1011|dma_size_247_active|fixed|1350565379|8193|8193
1785914527216|1011|dma_size_247_active|rotating|1350565379|8193|8193
1785914527600|1011|dma_size_247_terminal|fixed|1346371075|8193|8193
1785914527600|1011|dma_size_247_terminal|rotating|1346371075|8193|8193
1785914527819|1012|dma_size_256_active|fixed|1346371075|8193|8193
1785914527819|1012|dma_size_256_active|rotating|1350565379|8193|8193
1785914528175|1012|dma_size_256_terminal|fixed|1346371075|8193|8193
1785914528175|1012|dma_size_256_terminal|rotating|1350565379|8193|8193
1785914528426|1013|dma_size_1024_active|fixed|1350565379|8193|8193
1785914528426|1013|dma_size_1024_active|rotating|1346371075|8193|8193
1785914528759|1013|dma_size_1024_terminal|fixed|1350565379|8193|8193
1785914528759|1013|dma_size_1024_terminal|rotating|1346371075|8193|8193
1785914528976|1014|dma_size_4096_active|fixed|1346362883|8193|8193
1785914528976|1014|dma_size_4096_active|rotating|1346371075|8193|8193
1785914529328|1014|dma_size_4096_terminal|fixed|1350565379|8193|8193
1785914529328|1014|dma_size_4096_terminal|rotating|1346371075|8193|8193
1785914529566|1015|dma_size_65536_active|fixed|1346371075|8193|8193
1785914529566|1015|dma_size_65536_active|rotating|1350557187|8193|8193
1785914529997|1015|dma_size_65536_terminal|fixed|1346371075|8193|8193
1785914529997|1015|dma_size_65536_terminal|rotating|1346371075|8193|8193
1785914530612|1016|dma_size_1048576_active|fixed|1346362883|8193|8193
1785914530612|1016|dma_size_1048576_active|rotating|1350565379|8193|8193
1785914532277|1016|dma_size_1048576_terminal|fixed|1350565379|8193|8193
1785914532277|1016|dma_size_1048576_terminal|rotating|1346371075|8193|8193
