captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785916300468|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785916300468|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785916300666|1001|stationary_30min_warmup_f2r_00000_4194304_active|fixed|1346371075|8193|8193
1785916300666|1001|stationary_30min_warmup_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1785916304833|1001|stationary_30min_warmup_f2r_00000_4194304_terminal|fixed|1346371075|8193|8193
1785916304833|1001|stationary_30min_warmup_f2r_00000_4194304_terminal|rotating|1346371075|8193|8193
1785916305149|1002|stationary_30min_warmup_f2r_00001_16777216_active|fixed|1346371075|8193|8193
1785916305149|1002|stationary_30min_warmup_f2r_00001_16777216_active|rotating|1350557187|8193|8193
1785916310300|1002|stationary_30min_warmup_f2r_00001_16777216|fixed|1350565378|8193|8193
1785916310300|1002|stationary_30min_warmup_f2r_00001_16777216|rotating|1346362883|8193|8193
1785916315299|1002|stationary_30min_warmup_f2r_00001_16777216|fixed|1346371074|8193|8193
1785916315299|1002|stationary_30min_warmup_f2r_00001_16777216|rotating|1350557187|8193|8193
1785916320098|1002|stationary_30min_warmup_f2r_00001_16777216_terminal|fixed|1350565379|8193|8193
1785916320098|1002|stationary_30min_warmup_f2r_00001_16777216_terminal|rotating|1346371075|8193|8193
1785916320382|1003|stationary_30min_warmup_f2r_00002_4194304_active|fixed|1350565379|8193|8193
1785916320382|1003|stationary_30min_warmup_f2r_00002_4194304_active|rotating|1350557187|8193|8193
1785916324477|1003|stationary_30min_warmup_f2r_00002_4194304_terminal|fixed|1350565379|8193|8193
1785916324477|1003|stationary_30min_warmup_f2r_00002_4194304_terminal|rotating|1350565379|8193|8193
1785916324780|1004|stationary_30min_warmup_f2r_00003_4194304_active|fixed|1346371075|8193|8193
1785916324780|1004|stationary_30min_warmup_f2r_00003_4194304_active|rotating|1350557187|8193|8193
1785916328880|1004|stationary_30min_warmup_f2r_00003_4194304_terminal|fixed|1346371075|8193|8193
1785916328880|1004|stationary_30min_warmup_f2r_00003_4194304_terminal|rotating|1346371075|8193|8193
1785916329208|1005|stationary_30min_warmup_f2r_00004_4194304_active|fixed|1346371075|8193|8193
1785916329208|1005|stationary_30min_warmup_f2r_00004_4194304_active|rotating|1346362883|8193|8193
1785916333347|1005|stationary_30min_warmup_f2r_00004_4194304_terminal|fixed|1350565379|8193|8193
1785916333347|1005|stationary_30min_warmup_f2r_00004_4194304_terminal|rotating|1350565379|8193|8193
1785916333776|1006|stationary_30min_warmup_f2r_00005_4194304_active|fixed|1350565379|8193|8193
1785916333776|1006|stationary_30min_warmup_f2r_00005_4194304_active|rotating|1346362883|8193|8193
1785916337947|1006|stationary_30min_warmup_f2r_00005_4194304_terminal|fixed|1346371075|8193|8193
1785916337947|1006|stationary_30min_warmup_f2r_00005_4194304_terminal|rotating|1346371075|8193|8193
1785916338262|1007|stationary_30min_warmup_f2r_00006_4194304_active|fixed|1350565379|8193|8193
1785916338262|1007|stationary_30min_warmup_f2r_00006_4194304_active|rotating|1346362883|8193|8193
1785916342374|1007|stationary_30min_warmup_f2r_00006_4194304_terminal|fixed|1346371075|8193|8193
1785916342374|1007|stationary_30min_warmup_f2r_00006_4194304_terminal|rotating|1346371075|8193|8193
1785916342757|1008|stationary_30min_warmup_f2r_00007_1048576_active|fixed|1346371075|8193|8193
1785916342757|1008|stationary_30min_warmup_f2r_00007_1048576_active|rotating|1350557187|8193|8193
1785916344155|1008|stationary_30min_warmup_f2r_00007_1048576_terminal|fixed|1350565379|8193|8193
1785916344155|1008|stationary_30min_warmup_f2r_00007_1048576_terminal|rotating|1346371075|8193|8193
1785916344478|1009|stationary_30min_warmup_f2r_00008_1048576_active|fixed|1350565379|8193|8193
1785916344478|1009|stationary_30min_warmup_f2r_00008_1048576_active|rotating|1346362883|8193|8193
1785916345857|1009|stationary_30min_warmup_f2r_00008_1048576_terminal|fixed|1346371075|8193|8193
1785916345857|1009|stationary_30min_warmup_f2r_00008_1048576_terminal|rotating|1346371075|8193|8193
1785916346218|1010|stationary_30min_warmup_f2r_00009_1048576_active|fixed|1346371075|8193|8193
1785916346218|1010|stationary_30min_warmup_f2r_00009_1048576_active|rotating|1350557187|8193|8193
1785916347641|1010|stationary_30min_warmup_f2r_00009_1048576_terminal|fixed|1350565379|8193|8193
1785916347641|1010|stationary_30min_warmup_f2r_00009_1048576_terminal|rotating|1346371075|8193|8193
1785916347995|1011|stationary_30min_warmup_f2r_00010_1048576_active|fixed|1346371075|8193|8193
1785916347995|1011|stationary_30min_warmup_f2r_00010_1048576_active|rotating|1350557187|8193|8193
1785916349427|1011|stationary_30min_warmup_f2r_00010_1048576_terminal|fixed|1350565379|8193|8193
1785916349427|1011|stationary_30min_warmup_f2r_00010_1048576_terminal|rotating|1350565379|8193|8193
1785916349818|1012|stationary_30min_warmup_f2r_00011_1048576_active|fixed|1346371075|8193|8193
1785916349818|1012|stationary_30min_warmup_f2r_00011_1048576_active|rotating|1350557187|8193|8193
1785916351236|1012|stationary_30min_warmup_f2r_00011_1048576_terminal|fixed|1350565379|8193|8193
1785916351236|1012|stationary_30min_warmup_f2r_00011_1048576_terminal|rotating|1350565379|8193|8193
