captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785913928266|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785913928266|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785913928700|1001|mask_1_f2r_active|fixed|1346371075|8193|8193
1785913928700|1001|mask_1_f2r_active|rotating|1350557187|8193|8193
1785913933036|1001|mask_1_f2r_terminal|fixed|1350565379|8193|8193
1785913933036|1001|mask_1_f2r_terminal|rotating|1350565379|8193|8193
1785913933657|1002|mask_1_r2f_active|fixed|1346362883|8193|8193
1785913933657|1002|mask_1_r2f_active|rotating|1346371075|8193|8193
1785913938016|1002|mask_1_r2f_terminal|fixed|1350565379|8193|8193
1785913938016|1002|mask_1_r2f_terminal|rotating|1346371075|8193|8193
1785913938622|1003|mask_2_f2r_active|fixed|1350565379|8193|8193
1785913938622|1003|mask_2_f2r_active|rotating|1346362883|8193|8193
1785913943016|1003|mask_2_f2r_terminal|fixed|1350565379|8193|8193
1785913943016|1003|mask_2_f2r_terminal|rotating|1346371075|8193|8193
1785913943613|1004|mask_2_r2f_active|fixed|1346362883|8193|8193
1785913943613|1004|mask_2_r2f_active|rotating|1350565379|8193|8193
1785913948000|1004|mask_2_r2f_terminal|fixed|1346371075|8193|8193
1785913948000|1004|mask_2_r2f_terminal|rotating|1350565379|8193|8193
1785913948600|1005|mask_3_f2r_active|fixed|1350565379|8193|8193
1785913948600|1005|mask_3_f2r_active|rotating|1346362883|8193|8193
1785913951176|1005|mask_3_f2r_terminal|fixed|1346371075|8193|8193
1785913951176|1005|mask_3_f2r_terminal|rotating|1346371075|8193|8193
1785913951753|1006|mask_3_r2f_active|fixed|1350557187|8193|8193
1785913951753|1006|mask_3_r2f_active|rotating|1346371075|8193|8193
1785913954302|1006|mask_3_r2f_terminal|fixed|1350565379|8193|8193
1785913954302|1006|mask_3_r2f_terminal|rotating|1346371075|8193|8193
1785913954946|1007|mask_4_f2r_active|fixed|1350565379|8193|8193
1785913954946|1007|mask_4_f2r_active|rotating|1346362883|8193|8193
1785913959321|1007|mask_4_f2r_terminal|fixed|1350565379|8193|8193
1785913959321|1007|mask_4_f2r_terminal|rotating|1350565379|8193|8193
1785913959924|1008|mask_4_r2f_active|fixed|1350557187|8193|8193
1785913959924|1008|mask_4_r2f_active|rotating|1350565379|8193|8193
1785913964308|1008|mask_4_r2f_terminal|fixed|1346371075|8193|8193
1785913964308|1008|mask_4_r2f_terminal|rotating|1350565379|8193|8193
1785913964967|1009|mask_5_f2r_active|fixed|1350565379|8193|8193
1785913964967|1009|mask_5_f2r_active|rotating|1350557187|8193|8193
1785913967542|1009|mask_5_f2r_terminal|fixed|1346371075|8193|8193
1785913967542|1009|mask_5_f2r_terminal|rotating|1350565379|8193|8193
1785913968299|1010|mask_5_r2f_active|fixed|1350557187|8193|8193
1785913968299|1010|mask_5_r2f_active|rotating|1346371075|8193|8193
1785913970922|1010|mask_5_r2f_terminal|fixed|1350565379|8193|8193
1785913970922|1010|mask_5_r2f_terminal|rotating|1350565379|8193|8193
1785913971556|1011|mask_6_f2r_active|fixed|1346371075|8193|8193
1785913971556|1011|mask_6_f2r_active|rotating|1346362883|8193|8193
1785913974108|1011|mask_6_f2r_terminal|fixed|1346371075|8193|8193
1785913974108|1011|mask_6_f2r_terminal|rotating|1350565379|8193|8193
1785913974739|1012|mask_6_r2f_active|fixed|1346362883|8193|8193
1785913974739|1012|mask_6_r2f_active|rotating|1346371075|8193|8193
1785913977325|1012|mask_6_r2f_terminal|fixed|1350565379|8193|8193
1785913977325|1012|mask_6_r2f_terminal|rotating|1346371075|8193|8193
1785913977917|1013|mask_7_f2r_active|fixed|1346371075|8193|8193
1785913977917|1013|mask_7_f2r_active|rotating|1350557187|8193|8193
1785913979923|1013|mask_7_f2r_terminal|fixed|1346371075|8193|8193
1785913979923|1013|mask_7_f2r_terminal|rotating|1350565379|8193|8193
1785913980543|1014|mask_7_r2f_active|fixed|1346362883|8193|8193
1785913980543|1014|mask_7_r2f_active|rotating|1346371075|8193|8193
1785913982612|1014|mask_7_r2f_terminal|fixed|1350565379|8193|8193
1785913982612|1014|mask_7_r2f_terminal|rotating|1346371075|8193|8193
1785913983192|1015|mask_8_f2r_active|fixed|1346371075|8193|8193
1785913983192|1015|mask_8_f2r_active|rotating|1350557187|8193|8193
1785913987558|1015|mask_8_f2r_terminal|fixed|1346371075|8193|8193
1785913987558|1015|mask_8_f2r_terminal|rotating|1350565379|8193|8193
1785913988187|1016|mask_8_r2f_active|fixed|1346362883|8193|8193
1785913988187|1016|mask_8_r2f_active|rotating|1346371075|8193|8193
1785913992590|1016|mask_8_r2f_terminal|fixed|1346371075|8193|8193
1785913992590|1016|mask_8_r2f_terminal|rotating|1346371075|8193|8193
1785913993185|1017|mask_9_f2r_active|fixed|1350565379|8193|8193
1785913993185|1017|mask_9_f2r_active|rotating|1346362883|8193|8193
1785913995761|1017|mask_9_f2r_terminal|fixed|1346371075|8193|8193
1785913995761|1017|mask_9_f2r_terminal|rotating|1346371075|8193|8193
1785913996373|1018|mask_9_r2f_active|fixed|1350557187|8193|8193
1785913996373|1018|mask_9_r2f_active|rotating|1350565379|8193|8193
1785913998945|1018|mask_9_r2f_terminal|fixed|1350565379|8193|8193
1785913998945|1018|mask_9_r2f_terminal|rotating|1350565379|8193|8193
1785913999632|1019|mask_A_f2r_active|fixed|1346371075|8193|8193
1785913999632|1019|mask_A_f2r_active|rotating|1346362883|8193|8193
1785914002256|1019|mask_A_f2r_terminal|fixed|1350565379|8193|8193
1785914002256|1019|mask_A_f2r_terminal|rotating|1346371075|8193|8193
1785914002890|1020|mask_A_r2f_active|fixed|1346362883|8193|8193
1785914002890|1020|mask_A_r2f_active|rotating|1346371075|8193|8193
1785914005525|1020|mask_A_r2f_terminal|fixed|1350565379|8193|8193
1785914005525|1020|mask_A_r2f_terminal|rotating|1346371075|8193|8193
1785914006279|1021|mask_B_f2r_active|fixed|1350565379|8193|8193
