captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785912832417|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785912832417|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785912832451|1001|intake_receive_only_5000ms_active|fixed|1350565379|8193|8193
1785912832451|1001|intake_receive_only_5000ms_active|rotating|1350565379|8193|8193
1785912837754|1001|intake_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785912837754|1001|intake_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785912837978|1002|intake_F0_raw_64_active|fixed|1350565379|8193|8193
1785912837978|1002|intake_F0_raw_64_active|rotating|1346371075|8193|8193
1785912838299|1002|intake_F0_raw_64_terminal|fixed|1346371075|8193|8193
1785912838299|1002|intake_F0_raw_64_terminal|rotating|1350565379|8193|8193
1785912838576|1003|intake_F0_raw_1024_active|fixed|1350565379|8193|8193
1785912838576|1003|intake_F0_raw_1024_active|rotating|1346371075|8193|8193
1785912838956|1003|intake_F0_raw_1024_terminal|fixed|1346371075|8193|8193
1785912838956|1003|intake_F0_raw_1024_terminal|rotating|1346371075|8193|8193
1785912839195|1004|intake_R0_raw_64_active|fixed|1350565379|8193|8193
1785912839195|1004|intake_R0_raw_64_active|rotating|1350565379|8193|8193
1785912839569|1004|intake_R0_raw_64_terminal|fixed|1350565379|8193|8193
1785912839569|1004|intake_R0_raw_64_terminal|rotating|1346371075|8193|8193
1785912839827|1005|intake_R0_raw_1024_active|fixed|1346371075|8193|8193
1785912839827|1005|intake_R0_raw_1024_active|rotating|1346371075|8193|8193
1785912840200|1005|intake_R0_raw_1024_terminal|fixed|1346371075|8193|8193
1785912840200|1005|intake_R0_raw_1024_terminal|rotating|1350565379|8193|8193
1785912840404|1006|intake_F1_raw_64_active|fixed|1346371075|8193|8193
1785912840404|1006|intake_F1_raw_64_active|rotating|1350565379|8193|8193
1785912840769|1006|intake_F1_raw_64_terminal|fixed|1350565379|8193|8193
1785912840769|1006|intake_F1_raw_64_terminal|rotating|1350565379|8193|8193
1785912840989|1007|intake_F1_raw_1024_active|fixed|1346371075|8193|8193
1785912840989|1007|intake_F1_raw_1024_active|rotating|1350565379|8193|8193
1785912841345|1007|intake_F1_raw_1024_terminal|fixed|1350565379|8193|8193
1785912841345|1007|intake_F1_raw_1024_terminal|rotating|1350565379|8193|8193
1785912841551|1008|intake_R1_raw_64_active|fixed|1350565379|8193|8193
1785912841551|1008|intake_R1_raw_64_active|rotating|1350565379|8193|8193
1785912841870|1008|intake_R1_raw_64_terminal|fixed|1350565379|8193|8193
1785912841870|1008|intake_R1_raw_64_terminal|rotating|1350565379|8193|8193
1785912842121|1009|intake_R1_raw_1024_active|fixed|1350565379|8193|8193
1785912842121|1009|intake_R1_raw_1024_active|rotating|1346371075|8193|8193
1785912842453|1009|intake_R1_raw_1024_terminal|fixed|1350565379|8193|8193
1785912842453|1009|intake_R1_raw_1024_terminal|rotating|1346371075|8193|8193
1785912842695|1010|intake_F2_raw_64_active|fixed|1350565379|8193|8193
1785912842695|1010|intake_F2_raw_64_active|rotating|1346371075|8193|8193
1785912843087|1010|intake_F2_raw_64_terminal|fixed|1346371075|8193|8193
1785912843087|1010|intake_F2_raw_64_terminal|rotating|1346371075|8193|8193
1785912843303|1011|intake_F2_raw_1024_active|fixed|1350565379|8193|8193
1785912843303|1011|intake_F2_raw_1024_active|rotating|1346371075|8193|8193
1785912843702|1011|intake_F2_raw_1024_terminal|fixed|1346371075|8193|8193
1785912843702|1011|intake_F2_raw_1024_terminal|rotating|1350565379|8193|8193
1785912843966|1012|intake_R2_raw_64_active|fixed|1346371075|8193|8193
1785912843966|1012|intake_R2_raw_64_active|rotating|1350565379|8193|8193
1785912844309|1012|intake_R2_raw_64_terminal|fixed|1346371075|8193|8193
1785912844309|1012|intake_R2_raw_64_terminal|rotating|1350565379|8193|8193
1785912844549|1013|intake_R2_raw_1024_active|fixed|1346371075|8193|8193
1785912844549|1013|intake_R2_raw_1024_active|rotating|1350565379|8193|8193
1785912844889|1013|intake_R2_raw_1024_terminal|fixed|1350565379|8193|8193
1785912844889|1013|intake_R2_raw_1024_terminal|rotating|1350565379|8193|8193
1785912845099|1014|intake_F3_raw_64_active|fixed|1350565379|8193|8193
1785912845099|1014|intake_F3_raw_64_active|rotating|1346371075|8193|8193
1785912845431|1014|intake_F3_raw_64_terminal|fixed|1346371075|8193|8193
1785912845431|1014|intake_F3_raw_64_terminal|rotating|1350565379|8193|8193
1785912845698|1015|intake_F3_raw_1024_active|fixed|1346371075|8193|8193
1785912845698|1015|intake_F3_raw_1024_active|rotating|1346371075|8193|8193
1785912846203|1015|intake_F3_raw_1024_terminal|fixed|1350565379|8193|8193
1785912846203|1015|intake_F3_raw_1024_terminal|rotating|1350565379|8193|8193
1785912846453|1016|intake_R3_raw_64_active|fixed|1346371075|8193|8193
1785912846453|1016|intake_R3_raw_64_active|rotating|1350565379|8193|8193
1785912846986|1016|intake_R3_raw_64_terminal|fixed|1350565379|8193|8193
1785912846986|1016|intake_R3_raw_64_terminal|rotating|1346371075|8193|8193
1785912847382|1017|intake_R3_raw_1024_active|fixed|1350565379|8193|8193
1785912847382|1017|intake_R3_raw_1024_active|rotating|1346371075|8193|8193
1785912847846|1017|intake_R3_raw_1024_terminal|fixed|1346371075|8193|8193
1785912847846|1017|intake_R3_raw_1024_terminal|rotating|1346371075|8193|8193
1785912848210|1018|intake_F2_counter_100f_active|fixed|1350565379|8193|8193
1785912848210|1018|intake_F2_counter_100f_active|rotating|1346362883|8193|8193
1785912848788|1018|intake_F2_counter_100f_terminal|fixed|1346371075|8193|8193
1785912848788|1018|intake_F2_counter_100f_terminal|rotating|1346371075|8193|8193
1785912849232|1019|intake_F2_prbs_1000f_active|fixed|1350565379|8193|8193
1785912849232|1019|intake_F2_prbs_1000f_active|rotating|1350557187|8193|8193
1785912850535|1019|intake_F2_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785912850535|1019|intake_F2_prbs_1000f_terminal|rotating|1350565379|8193|8193
1785912850781|1020|intake_R2_counter_100f_active|fixed|1346362883|8193|8193
1785912850781|1020|intake_R2_counter_100f_active|rotating|1350565379|8193|8193
1785912851318|1020|intake_R2_counter_100f_terminal|fixed|1346371075|8193|8193
1785912851318|1020|intake_R2_counter_100f_terminal|rotating|1350565379|8193|8193
1785912851619|1021|intake_R2_prbs_1000f_active|fixed|1350557187|8193|8193
1785912851619|1021|intake_R2_prbs_1000f_active|rotating|1346371075|8193|8193
1785912852957|1021|intake_R2_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785912852957|1021|intake_R2_prbs_1000f_terminal|rotating|1350565379|8193|8193
