captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785913375602|1002|phy_lane0_f2r_prbs_10000f|fixed|4,1378943233,16780817,5154818,0,5140711,0,5140711,0,4914,0,4912,0,0,0,153,0,151630497,0,4096,0,0,0,4913,0,463774249,0,463774257,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1248361464,0,1249820,0,0,0,0,0,1297380,0,1,0,271215930,0,271215930,0,2080,271697615,0,976613124,0,0,0,0,0
1785913375602|1002|phy_lane0_f2r_prbs_10000f|rotating|4,1378943233,33558272,5244119,0,14380,0,14380,0,312,0,156,0,0,0,4997,0,996544,0,4096,0,0,0,156,0,447645300,0,447645308,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,499081526,0,0,0,24700,0,24700,0,3617,0,0,1,0,0,0,0,0,0,0,163626578,0,0,0,0,0
1785913387242|1004|phy_lane0_r2f_prbs_10000f|fixed|10,1378943233,16781056,5165955,0,14112,0,14112,0,306,0,153,0,0,0,4923,0,977360,0,4096,0,0,0,153,0,1207269712,0,1207269720,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1993368521,0,2494700,0,24700,0,24700,0,3573,0,2,1,540871568,0,540871568,0,2048,542474992,0,1118008274,0,0,0,0,0
1785913387242|1004|phy_lane0_r2f_prbs_10000f|rotating|10,1378943233,33558272,5240261,0,5225875,0,5225875,0,4996,0,4994,0,0,0,156,0,154155024,0,4096,0,0,0,4994,0,1192118459,0,1192118467,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1243346527,0,1273532,0,2494700,0,2494700,0,1316135,0,1,2,275093843,0,275093843,0,2080,275580619,0,365426428,0,0,0,0,0
1785913398925|1006|phy_lane1_f2r_prbs_10000f|fixed|16,1378943233,16780578,0,5152871,0,5138762,0,5138762,0,4916,0,4914,0,0,0,153,0,151690147,0,4096,0,0,0,4915,0,1956436653,0,1956436661,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2741195329,0,3752424,0,2494700,0,2494700,0,1297723,0,3,2,812361234,0,812361234,0,2080,814448040,0,1323618847,0,0,0,0,0
1785913398925|1006|phy_lane1_f2r_prbs_10000f|rotating|16,1378943233,33558272,0,5228116,0,14292,0,14292,0,310,0,155,0,0,0,4986,0,990168,0,4096,0,0,0,155,0,1938484738,0,1938484746,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1991039992,0,2494700,0,2519400,0,2519400,0,3595,0,2,3,540871569,0,540871569,0,2048,542474991,0,511729324,0,0,0,0,0
1785913410807|1008|phy_lane1_r2f_prbs_10000f|fixed|22,1378943233,16781056,0,5155355,0,14109,0,14109,0,306,0,153,0,0,0,4917,0,977384,0,4096,0,0,0,153,0,2715963356,0,2715963364,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,3501932046,0,4989400,0,2519400,0,2519400,0,3573,0,4,3,1081743137,0,1081743137,0,2048,1084949984,0,1482238943,0,0,0,0,0
1785913410807|1008|phy_lane1_r2f_prbs_10000f|rotating|22,1378943233,33557794,0,5225608,0,5211316,0,5211316,0,4986,0,4984,0,0,0,155,0,153846784,0,4096,0,0,0,4985,0,2700294307,0,2700294315,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2751531992,0,3760328,0,4989400,0,4989400,0,1312638,0,3,4,815458829,0,815458829,0,2080,817547330,0,729664966,0,0,0,0,0
1785913422510|1010|phy_lane2_f2r_prbs_10000f|fixed|28,1378943233,16780100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,4251304587,0,6247124,0,4989400,0,4989400,0,1303972,0,5,4,1354303740,0,1354303740,0,2080,1357993969,0,1688194215,0,0,0,0,0
1785913422510|1010|phy_lane2_f2r_prbs_10000f|rotating|28,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3501617812,0,4989400,0,5014100,0,5014100,0,3620,0,4,5,1081743138,0,1081743138,0,2048,1084949984,0,875708004,0,0,0,0,0
1785913434139|1012|phy_lane2_r2f_prbs_10000f|fixed|34,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,699860734,1,7484100,0,5014100,0,5014100,0,3534,0,6,5,1622614704,0,1622614704,0,2048,1627424973,0,1829509088,0,0,0,0,0
1785913434139|1012|phy_lane2_r2f_prbs_10000f|rotating|34,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,4244831728,0,6262932,0,7484100,0,7484100,0,1315847,0,5,6,1356982782,0,1356982782,0,2080,1360676404,0,1077250280,0,0,0,0,0
1785913445783|1014|phy_lane3_f2r_prbs_10000f|fixed|40,1378943233,16779144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,1445301975,1,8741824,0,7484100,0,7484100,0,1300919,0,7,6,1894565917,0,1894565917,0,2080,1899859569,0,2032393448,0,0,0,0,0
1785913445783|1014|phy_lane3_f2r_prbs_10000f|rotating|40,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,698975454,1,7484100,0,7508800,0,7508800,0,3665,0,6,7,1622614706,0,1622614706,0,2048,1627424975,0,1218605047,0,0,0,0,0
1785913457645|1016|phy_lane3_r2f_prbs_10000f|fixed|46,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|16,2204789207,1,9978800,0,7508800,0,7508800,0,3534,0,8,7,2163486273,0,2163486273,0,2048,2169899965,0,2189191916,0,0,0,0,0
1785913457645|1016|phy_lane3_r2f_prbs_10000f|rotating|46,1378943233,33556360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|16,1455543373,1,8757632,0,9978800,0,9978800,0,1321434,0,7,8,1898791306,0,1898791306,0,2080,1904088351,0,1435314798,0,0,0,0,0
