captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785915650050|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785915650050|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785915650223|1001|sustained_300s_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1785915650223|1001|sustained_300s_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1785915654380|1001|sustained_300s_f2r_00000_4194304_terminal|fixed|1350565379|8193|8193
1785915654380|1001|sustained_300s_f2r_00000_4194304_terminal|rotating|1350565379|8193|8193
1785915654776|1002|sustained_300s_f2r_00001_16777216_active|fixed|1346371075|8193|8193
1785915654776|1002|sustained_300s_f2r_00001_16777216_active|rotating|1346362883|8193|8193
1785915659900|1002|sustained_300s_f2r_00001_16777216|fixed|1346371074|8193|8193
1785915659900|1002|sustained_300s_f2r_00001_16777216|rotating|1346362883|8193|8193
1785915664927|1002|sustained_300s_f2r_00001_16777216|fixed|1350565378|8193|8193
1785915664927|1002|sustained_300s_f2r_00001_16777216|rotating|1346362883|8193|8193
1785915669710|1002|sustained_300s_f2r_00001_16777216_terminal|fixed|1346371075|8193|8193
1785915669710|1002|sustained_300s_f2r_00001_16777216_terminal|rotating|1346371075|8193|8193
1785915670105|1003|sustained_300s_f2r_00002_67108864_active|fixed|1346371075|8193|8193
1785915670105|1003|sustained_300s_f2r_00002_67108864_active|rotating|1350557187|8193|8193
1785915675262|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1785915675262|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785915680239|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785915680239|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785915685291|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1785915685291|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785915690330|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1785915690330|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785915695325|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1785915695325|1003|sustained_300s_f2r_00002_67108864|rotating|1346362883|8193|8193
1785915700329|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785915700329|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785915705291|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1785915705291|1003|sustained_300s_f2r_00002_67108864|rotating|1346362883|8193|8193
1785915710367|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785915710367|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785915715398|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785915715398|1003|sustained_300s_f2r_00002_67108864|rotating|1346362883|8193|8193
1785915720341|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785915720341|1003|sustained_300s_f2r_00002_67108864|rotating|1346362883|8193|8193
1785915725361|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785915725361|1003|sustained_300s_f2r_00002_67108864|rotating|1346362883|8193|8193
1785915728283|1003|sustained_300s_f2r_00002_67108864_terminal|fixed|1346371075|8193|8193
1785915728283|1003|sustained_300s_f2r_00002_67108864_terminal|rotating|1346371075|8193|8193
1785915728626|1004|sustained_300s_f2r_00003_4194304_active|fixed|1350565379|8193|8193
1785915728626|1004|sustained_300s_f2r_00003_4194304_active|rotating|1346362883|8193|8193
1785915732788|1004|sustained_300s_f2r_00003_4194304_terminal|fixed|1350565379|8193|8193
1785915732788|1004|sustained_300s_f2r_00003_4194304_terminal|rotating|1346371075|8193|8193
1785915733120|1005|sustained_300s_f2r_00004_16777216_active|fixed|1350565379|8193|8193
1785915733120|1005|sustained_300s_f2r_00004_16777216_active|rotating|1350557187|8193|8193
1785915738270|1005|sustained_300s_f2r_00004_16777216|fixed|1346371074|8193|8193
1785915738270|1005|sustained_300s_f2r_00004_16777216|rotating|1346362883|8193|8193
1785915743222|1005|sustained_300s_f2r_00004_16777216|fixed|1350565378|8193|8193
1785915743222|1005|sustained_300s_f2r_00004_16777216|rotating|1346362883|8193|8193
1785915748076|1005|sustained_300s_f2r_00004_16777216_terminal|fixed|1350565379|8193|8193
1785915748076|1005|sustained_300s_f2r_00004_16777216_terminal|rotating|1346371075|8193|8193
1785915748513|1006|sustained_300s_f2r_00005_67108864_active|fixed|1350565379|8193|8193
1785915748513|1006|sustained_300s_f2r_00005_67108864_active|rotating|1346362883|8193|8193
1785915753628|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915753628|1006|sustained_300s_f2r_00005_67108864|rotating|1346362883|8193|8193
1785915758726|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915758726|1006|sustained_300s_f2r_00005_67108864|rotating|1350557187|8193|8193
1785915763745|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915763745|1006|sustained_300s_f2r_00005_67108864|rotating|1346362883|8193|8193
1785915768663|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915768663|1006|sustained_300s_f2r_00005_67108864|rotating|1346362883|8193|8193
1785915773790|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915773790|1006|sustained_300s_f2r_00005_67108864|rotating|1346362883|8193|8193
1785915778797|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915778797|1006|sustained_300s_f2r_00005_67108864|rotating|1350557187|8193|8193
1785915783687|1006|sustained_300s_f2r_00005_67108864|fixed|1346371074|8193|8193
1785915783687|1006|sustained_300s_f2r_00005_67108864|rotating|1346362883|8193|8193
1785915788780|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915788780|1006|sustained_300s_f2r_00005_67108864|rotating|1350557187|8193|8193
1785915793865|1006|sustained_300s_f2r_00005_67108864|fixed|1346371074|8193|8193
1785915793865|1006|sustained_300s_f2r_00005_67108864|rotating|1350557187|8193|8193
1785915798820|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915798820|1006|sustained_300s_f2r_00005_67108864|rotating|1350557187|8193|8193
1785915803899|1006|sustained_300s_f2r_00005_67108864|fixed|1350565378|8193|8193
1785915803899|1006|sustained_300s_f2r_00005_67108864|rotating|1346362883|8193|8193
1785915806979|1006|sustained_300s_f2r_00005_67108864_terminal|fixed|1350565379|8193|8193
1785915806979|1006|sustained_300s_f2r_00005_67108864_terminal|rotating|1350565379|8193|8193
1785915807419|1007|sustained_300s_f2r_00006_4194304_active|fixed|1346371075|8193|8193
1785915807419|1007|sustained_300s_f2r_00006_4194304_active|rotating|1350557187|8193|8193
1785915812013|1007|sustained_300s_f2r_00006_4194304_terminal|fixed|1350565379|8193|8193
1785915812013|1007|sustained_300s_f2r_00006_4194304_terminal|rotating|1350565379|8193|8193
1785915812563|1008|sustained_300s_f2r_00007_16777216_active|fixed|1346371075|8193|8193
1785915812563|1008|sustained_300s_f2r_00007_16777216_active|rotating|1346362883|8193|8193
1785915817705|1008|sustained_300s_f2r_00007_16777216|fixed|1350565378|8193|8193
1785915817705|1008|sustained_300s_f2r_00007_16777216|rotating|1346362883|8193|8193
1785915822921|1008|sustained_300s_f2r_00007_16777216|fixed|1346371074|8193|8193
1785915822921|1008|sustained_300s_f2r_00007_16777216|rotating|1346362883|8193|8193
1785915827542|1008|sustained_300s_f2r_00007_16777216_terminal|fixed|1350565379|8193|8193
1785915827542|1008|sustained_300s_f2r_00007_16777216_terminal|rotating|1350565379|8193|8193
1785915827915|1009|sustained_300s_f2r_00008_16777216_active|fixed|1346371075|8193|8193
1785915827915|1009|sustained_300s_f2r_00008_16777216_active|rotating|1350557187|8193|8193
1785915833036|1009|sustained_300s_f2r_00008_16777216|fixed|1350565378|8193|8193
1785915833036|1009|sustained_300s_f2r_00008_16777216|rotating|1346362883|8193|8193
1785915838122|1009|sustained_300s_f2r_00008_16777216|fixed|1350565378|8193|8193
1785915838122|1009|sustained_300s_f2r_00008_16777216|rotating|1346362883|8193|8193
1785915843075|1009|sustained_300s_f2r_00008_16777216_terminal|fixed|1346371075|8193|8193
1785915843075|1009|sustained_300s_f2r_00008_16777216_terminal|rotating|1346371075|8193|8193
1785915843512|1010|sustained_300s_f2r_00009_4194304_active|fixed|1346371075|8193|8193
1785915843512|1010|sustained_300s_f2r_00009_4194304_active|rotating|1346362883|8193|8193
1785915847699|1010|sustained_300s_f2r_00009_4194304_terminal|fixed|1346371075|8193|8193
1785915847699|1010|sustained_300s_f2r_00009_4194304_terminal|rotating|1350565379|8193|8193
1785915848133|1011|sustained_300s_f2r_00010_16777216_active|fixed|1346371075|8193|8193
1785915848133|1011|sustained_300s_f2r_00010_16777216_active|rotating|1346362883|8193|8193
1785915853338|1011|sustained_300s_f2r_00010_16777216|fixed|1350565378|8193|8193
1785915853338|1011|sustained_300s_f2r_00010_16777216|rotating|1346362883|8193|8193
1785915858298|1011|sustained_300s_f2r_00010_16777216|fixed|1346371074|8193|8193
1785915858298|1011|sustained_300s_f2r_00010_16777216|rotating|1346362883|8193|8193
1785915863177|1011|sustained_300s_f2r_00010_16777216_terminal|fixed|1346371075|8193|8193
1785915863177|1011|sustained_300s_f2r_00010_16777216_terminal|rotating|1350565379|8193|8193
1785915863555|1012|sustained_300s_f2r_00011_16777216_active|fixed|1350565379|8193|8193
1785915863555|1012|sustained_300s_f2r_00011_16777216_active|rotating|1350557187|8193|8193
1785915868768|1012|sustained_300s_f2r_00011_16777216|fixed|1350565378|8193|8193
1785915868768|1012|sustained_300s_f2r_00011_16777216|rotating|1350557187|8193|8193
1785915873699|1012|sustained_300s_f2r_00011_16777216|fixed|1346371074|8193|8193
1785915873699|1012|sustained_300s_f2r_00011_16777216|rotating|1350557187|8193|8193
1785915878591|1012|sustained_300s_f2r_00011_16777216_terminal|fixed|1350565379|8193|8193
1785915878591|1012|sustained_300s_f2r_00011_16777216_terminal|rotating|1346371075|8193|8193
1785915878925|1013|sustained_300s_f2r_00012_4194304_active|fixed|1350565379|8193|8193
1785915878925|1013|sustained_300s_f2r_00012_4194304_active|rotating|1346362883|8193|8193
1785915883057|1013|sustained_300s_f2r_00012_4194304_terminal|fixed|1346371075|8193|8193
1785915883057|1013|sustained_300s_f2r_00012_4194304_terminal|rotating|1346371075|8193|8193
1785915883462|1014|sustained_300s_f2r_00013_16777216_active|fixed|1346371075|8193|8193
1785915883462|1014|sustained_300s_f2r_00013_16777216_active|rotating|1346362883|8193|8193
1785915888572|1014|sustained_300s_f2r_00013_16777216|fixed|1346371074|8193|8193
1785915888572|1014|sustained_300s_f2r_00013_16777216|rotating|1350557187|8193|8193
1785915893628|1014|sustained_300s_f2r_00013_16777216|fixed|1350565378|8193|8193
1785915893628|1014|sustained_300s_f2r_00013_16777216|rotating|1346362883|8193|8193
1785915898401|1014|sustained_300s_f2r_00013_16777216_terminal|fixed|1346371075|8193|8193
1785915898401|1014|sustained_300s_f2r_00013_16777216_terminal|rotating|1350565379|8193|8193
1785915898964|1015|sustained_300s_f2r_00014_16777216_active|fixed|1346371075|8193|8193
1785915898964|1015|sustained_300s_f2r_00014_16777216_active|rotating|1346362883|8193|8193
1785915904259|1015|sustained_300s_f2r_00014_16777216|fixed|1346371074|8193|8193
1785915904259|1015|sustained_300s_f2r_00014_16777216|rotating|1350557187|8193|8193
1785915909170|1015|sustained_300s_f2r_00014_16777216|fixed|1350565378|8193|8193
1785915909170|1015|sustained_300s_f2r_00014_16777216|rotating|1346362883|8193|8193
1785915913967|1015|sustained_300s_f2r_00014_16777216_terminal|fixed|1350565379|8193|8193
1785915913967|1015|sustained_300s_f2r_00014_16777216_terminal|rotating|1350565379|8193|8193
1785915914357|1016|sustained_300s_f2r_00015_4194304_active|fixed|1346371075|8193|8193
1785915914357|1016|sustained_300s_f2r_00015_4194304_active|rotating|1346362883|8193|8193
1785915918454|1016|sustained_300s_f2r_00015_4194304_terminal|fixed|1350565379|8193|8193
1785915918454|1016|sustained_300s_f2r_00015_4194304_terminal|rotating|1346371075|8193|8193
1785915918802|1017|sustained_300s_f2r_00016_4194304_active|fixed|1346371075|8193|8193
1785915918802|1017|sustained_300s_f2r_00016_4194304_active|rotating|1346362883|8193|8193
1785915922878|1017|sustained_300s_f2r_00016_4194304_terminal|fixed|1346371075|8193|8193
1785915922878|1017|sustained_300s_f2r_00016_4194304_terminal|rotating|1350565379|8193|8193
1785915923217|1018|sustained_300s_f2r_00017_4194304_active|fixed|1346371075|8193|8193
1785915923217|1018|sustained_300s_f2r_00017_4194304_active|rotating|1346362883|8193|8193
1785915927292|1018|sustained_300s_f2r_00017_4194304_terminal|fixed|1346371075|8193|8193
