captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785912908782|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785912908782|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785912908857|1001|staircase_1024B_f2r_active|fixed|1346371075|8193|8193
1785912908857|1001|staircase_1024B_f2r_active|rotating|1346371075|8193|8193
1785912909207|1001|staircase_1024B_f2r_terminal|fixed|1350565379|8193|8193
1785912909207|1001|staircase_1024B_f2r_terminal|rotating|1350565379|8193|8193
1785912909461|1002|staircase_1024B_r2f_active|fixed|1346371075|8193|8193
1785912909461|1002|staircase_1024B_r2f_active|rotating|1350565379|8193|8193
1785912909819|1002|staircase_1024B_r2f_terminal|fixed|1350565379|8193|8193
1785912909819|1002|staircase_1024B_r2f_terminal|rotating|1346371075|8193|8193
1785912910402|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785912910402|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
