captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785915541910|1001|stream_clean_after_service_reset|fixed|2,1378943233,16781056,6137491,6053354,69643,0,69643,0,1478,0,739,0,0,0,5788,5788,4721392,0,4096,0,0,0,739,0,362243533,0,362243541,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1130099136,0,0,0,5505024,0,5505024,0,17551,0,0,21,0,0,0,0,0,0,0,6886483,0,0,0,0,0
1785915541910|1001|stream_clean_after_service_reset|rotating|2,1378943233,33554687,6235909,6149893,6165138,6149893,6165138,6149893,5904,5881,5880,5880,0,0,751,0,181524752,181165240,4096,4096,0,0,5881,5881,349438150,349438163,349438158,349438139,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,399645762,0,5877824,0,0,0,0,0,6232121,0,22,0,326609081,0,326609081,0,2080,319721047,0,9780085,0,0,0,0,0
1785915546917|1001|stream_clean_after_service_reset|fixed|4,1378943233,16781056,12428342,12257605,141071,0,141071,0,2994,0,1497,0,0,0,11719,11719,9564232,0,4096,0,0,0,1497,0,683463985,0,683463993,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1451010491,0,0,0,11534336,0,11534336,0,35409,0,0,44,0,0,0,0,0,0,0,6932322,0,0,0,0,0
1785915546917|1001|stream_clean_after_service_reset|rotating|4,1378943233,33554687,12494957,12323382,12353131,12323382,12353131,12323382,11828,11785,11782,11782,0,0,1505,0,363691399,362974074,4096,4096,0,0,11783,11783,669222840,669222821,669222848,669222829,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,716949038,0,11644992,0,0,0,0,0,12356892,0,44,0,642470565,0,642470565,0,2080,633869601,0,12630503,0,0,0,0,0
1785915551930|1001|stream_clean_after_service_reset|fixed|6,1378943233,16781056,18684710,18426211,212219,0,212219,0,4504,0,2252,0,0,0,17621,17621,14387912,0,4096,0,0,0,2252,0,1003599212,0,1003599220,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1771798362,0,0,0,17301504,0,17301504,0,53220,0,0,66,0,0,0,0,0,0,0,6978735,0,0,0,0,0
1785915551930|1001|stream_clean_after_service_reset|rotating|6,1378943233,33554687,18774005,18514467,18560842,18514467,18560842,18514467,17773,17709,17705,17705,0,0,2262,0,546542903,545467384,4096,4096,0,0,17706,17706,990191877,990191898,990191885,990191866,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1038235519,0,17491200,0,0,0,0,0,18553837,0,66,0,962295494,0,962295494,0,2080,951991465,0,15488026,0,0,0,0,0
1785915556943|1001|stream_clean_after_service_reset|fixed|8,1378943233,16781056,24964037,24618949,283461,0,283461,0,6016,0,3008,0,0,0,23542,23542,19217944,0,4096,0,0,0,3008,0,1324156751,0,1324156759,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2091911240,0,0,0,23068672,0,23068672,0,71007,0,0,88,0,0,0,0,0,0,0,7025175,0,0,0,0,0
1785915556943|1001|stream_clean_after_service_reset|rotating|8,1378943233,33554687,25043941,24697938,24759536,24697938,24759536,24697938,23707,23621,23617,23617,0,0,3018,0,729024928,727590218,4096,4096,0,0,23618,23618,1310520922,1310520879,1310520882,1310520887,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|10,1360152516,0,23346624,0,0,0,0,0,24764522,0,89,0,1282748635,0,1282748635,0,2080,1270617562,0,18466928,0,0,0,0,0
1785915561948|1001|stream_clean_after_service_reset|fixed|10,1378943233,16781056,31259960,30827949,354986,0,354986,0,7534,0,3767,0,0,0,29478,29478,24067096,0,4096,0,0,0,3767,0,1646004323,0,1646004331,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2413294690,0,0,0,28835840,0,28835840,0,88864,0,0,110,0,0,0,0,0,0,0,7061607,0,0,0,0,0
1785915561948|1001|stream_clean_after_service_reset|rotating|10,1378943233,33554687,31320816,30887337,30965077,30887337,30965077,30887337,29649,29540,29536,29536,0,0,3775,0,911718491,909909606,4096,4096,0,0,29537,29537,1631346411,1631346400,1631346419,1631346408,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1680081617,0,29161216,0,0,0,0,0,30940098,0,111,0,1601224088,0,1601224088,0,2080,1587389935,0,21317678,0,0,0,0,0
