captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785913518460|1001|regression64_f2r|fixed|2,1378943233,16780339,6154334,6111958,6119225,6111958,6119225,6111958,6372,6361,5829,5829,0,0,372,0,179952961,179789460,4096,4096,0,0,5830,5830,361030267,361030264,361030275,361030272,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,1096297207,0,2915200,0,0,0,0,0,3093494,0,11,0,322695555,0,322695555,0,2080,316646569,0,8355372,0,0,0,0,0
1785913518460|1001|regression64_f2r|rotating|2,1378943233,33558272,6243070,6199515,35678,0,35678,0,756,0,378,0,0,0,5913,5913,2415008,0,4096,0,0,0,378,0,347295504,0,347295512,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,395795154,0,0,0,2883584,0,2883584,0,9014,0,0,11,0,0,0,0,0,0,0,6870663,0,0,0,0,0
1785913523466|1001|regression64_f2r|fixed|4,1378943233,16780339,12421774,12334538,12350702,12334538,12350702,12334538,12324,12301,11769,11769,0,0,753,0,363302455,362944186,4096,4096,0,0,11770,11770,681631242,681631231,681631250,681631247,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1414969833,0,5830400,0,0,0,0,0,6189694,0,22,0,640639381,0,640639381,0,2080,633732601,0,9788698,0,0,0,0,0
1785913523466|1001|regression64_f2r|rotating|4,1378943233,33558272,12508614,12420802,71545,0,71545,0,1516,0,758,0,0,0,11851,11851,4842848,0,4096,0,0,0,758,0,667617539,0,667617547,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,715977466,0,0,0,5767168,0,5767168,0,17957,0,0,22,0,0,0,0,0,0,0,6890029,0,0,0,0,0
1785913528477|1001|regression64_f2r|fixed|6,1378943233,16780339,18693841,18561723,18586902,18561723,18586902,18561723,18276,18242,17710,17710,0,0,1133,0,546675580,546138751,4096,4096,0,0,17711,17711,1002154432,1002154453,1002154440,1002154461,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1737135546,0,8777216,0,0,0,0,0,9321739,0,33,0,962068390,0,962068390,0,2080,954306996,0,11225632,0,0,0,0,0
1785913528477|1001|regression64_f2r|rotating|6,1378943233,33558272,18787028,18654273,107506,0,107506,0,2278,0,1139,0,0,0,17798,17798,7277024,0,4096,0,0,0,1139,0,988802729,0,988802737,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1035878162,0,0,0,8650752,0,8650752,0,26923,0,0,33,0,0,0,0,0,0,0,6911972,0,0,0,0,0
1785913533492|1001|regression64_f2r|fixed|8,1378943233,16780339,24976630,24800661,24833730,24800661,24833730,24800661,24239,24194,23662,23662,0,0,1514,0,730400552,729682555,4096,4096,0,0,23663,23663,1323282956,1323282945,1323282964,1323282953,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,2057336807,0,11708224,0,0,0,0,0,12434048,0,44,0,1281536899,0,1281536899,0,2080,1272917972,0,12662091,0,0,0,0,0
1785913533492|1001|regression64_f2r|rotating|8,1378943233,33558272,25044147,24867853,143278,0,143278,0,3036,0,1518,0,0,0,23726,23726,9698408,0,4096,0,0,0,1518,0,1308268344,0,1308268352,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1355750215,0,0,0,11534336,0,11534336,0,35866,0,0,44,0,0,0,0,0,0,0,6932152,0,0,0,0,0
1785913538501|1001|regression64_f2r|fixed|10,1378943233,16780339,31241597,31020510,31062833,31020510,31062833,31020510,30188,30132,29600,29600,0,0,1894,0,913706997,912808088,4096,4096,0,0,29601,29601,1643674013,1643674026,1643674029,1643674034,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2377679441,0,14639232,0,0,0,0,0,15545695,0,55,0,1601146781,0,1601146781,0,2080,1591673137,0,14095734,0,0,0,0,0
1785913538501|1001|regression64_f2r|rotating|10,1378943233,33558272,31316099,31094693,179232,0,179232,0,3798,0,1899,0,0,0,29671,29671,12132576,0,4096,0,0,0,1899,0,1629450262,0,1629450270,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1677110818,0,0,0,14417920,0,14417920,0,44878,0,0,55,0,0,0,0,0,0,0,6952352,0,0,0,0,0
