captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785935088490|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785935088490|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785935088649|1001|counter_direct_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1785935088649|1001|counter_direct_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1785935092786|1001|counter_direct_f2r_00000_4194304_terminal|fixed|1350565379|8193|8193
1785935092786|1001|counter_direct_f2r_00000_4194304_terminal|rotating|1350565379|8193|8193
1785935093106|1002|counter_direct_f2r_00001_4194304_active|fixed|1346371075|8193|8193
1785935093106|1002|counter_direct_f2r_00001_4194304_active|rotating|1350557187|8193|8193
1785935097194|1002|counter_direct_f2r_00001_4194304_terminal|fixed|1350565379|8193|8193
1785935097194|1002|counter_direct_f2r_00001_4194304_terminal|rotating|1346371075|8193|8193
1785935097506|1003|counter_direct_f2r_00002_4194304_active|fixed|1350565379|8193|8193
1785935097506|1003|counter_direct_f2r_00002_4194304_active|rotating|1346362883|8193|8193
1785935101572|1003|counter_direct_f2r_00002_4194304_terminal|fixed|1350565379|8193|8193
1785935101572|1003|counter_direct_f2r_00002_4194304_terminal|rotating|1350565379|8193|8193
1785935101860|1004|counter_direct_f2r_00003_1048576_active|fixed|1350565379|8193|8193
1785935101860|1004|counter_direct_f2r_00003_1048576_active|rotating|1346362883|8193|8193
1785935103241|1004|counter_direct_f2r_00003_1048576_terminal|fixed|1350565379|8193|8193
1785935103241|1004|counter_direct_f2r_00003_1048576_terminal|rotating|1346371075|8193|8193
1785935103604|1005|counter_direct_f2r_00004_1048576_active|fixed|1346371075|8193|8193
1785935103604|1005|counter_direct_f2r_00004_1048576_active|rotating|1346362883|8193|8193
1785935104985|1005|counter_direct_f2r_00004_1048576_terminal|fixed|1346371075|8193|8193
1785935104985|1005|counter_direct_f2r_00004_1048576_terminal|rotating|1350565379|8193|8193
1785935105307|1006|counter_direct_f2r_00005_1048576_active|fixed|1350565379|8193|8193
1785935105307|1006|counter_direct_f2r_00005_1048576_active|rotating|1346362883|8193|8193
1785935106770|1006|counter_direct_f2r_00005_1048576_terminal|fixed|1350565379|8193|8193
1785935106770|1006|counter_direct_f2r_00005_1048576_terminal|rotating|1346371075|8193|8193
1785935107044|1007|counter_direct_f2r_00006_1048576_active|fixed|1350565379|8193|8193
1785935107044|1007|counter_direct_f2r_00006_1048576_active|rotating|1350557187|8193|8193
1785935108382|1007|counter_direct_f2r_00006_1048576_terminal|fixed|1346371075|8193|8193
1785935108382|1007|counter_direct_f2r_00006_1048576_terminal|rotating|1346371075|8193|8193
1785935108731|1008|counter_direct_f2r_00007_1048576_active|fixed|1350565379|8193|8193
1785935108731|1008|counter_direct_f2r_00007_1048576_active|rotating|1350557187|8193|8193
1785935110086|1008|counter_direct_f2r_00007_1048576_terminal|fixed|1350565379|8193|8193
1785935110086|1008|counter_direct_f2r_00007_1048576_terminal|rotating|1350565379|8193|8193
1785935110420|1009|counter_direct_f2r_00008_1048576_active|fixed|1350565379|8193|8193
1785935110420|1009|counter_direct_f2r_00008_1048576_active|rotating|1350557187|8193|8193
1785935111784|1009|counter_direct_f2r_00008_1048576_terminal|fixed|1350565379|8193|8193
1785935111784|1009|counter_direct_f2r_00008_1048576_terminal|rotating|1350565379|8193|8193
1785935112118|1010|counter_direct_f2r_00009_1048576_active|fixed|1350565379|8193|8193
1785935112118|1010|counter_direct_f2r_00009_1048576_active|rotating|1346362883|8193|8193
1785935113493|1010|counter_direct_f2r_00009_1048576_terminal|fixed|1350565379|8193|8193
1785935113493|1010|counter_direct_f2r_00009_1048576_terminal|rotating|1350565379|8193|8193
1785935118655|1011|counter_direct_r2f_00000_4194304_active|fixed|1350557187|8193|8193
1785935118655|1011|counter_direct_r2f_00000_4194304_active|rotating|1346371075|8193|8193
1785935122743|1011|counter_direct_r2f_00000_4194304_terminal|fixed|1350565379|8193|8193
1785935122743|1011|counter_direct_r2f_00000_4194304_terminal|rotating|1350565379|8193|8193
1785935123074|1012|counter_direct_r2f_00001_4194304_active|fixed|1350557187|8193|8193
1785935123074|1012|counter_direct_r2f_00001_4194304_active|rotating|1350565379|8193|8193
1785935127140|1012|counter_direct_r2f_00001_4194304_terminal|fixed|1346371075|8193|8193
1785935127140|1012|counter_direct_r2f_00001_4194304_terminal|rotating|1350565379|8193|8193
1785935127429|1013|counter_direct_r2f_00002_4194304_active|fixed|1350557187|8193|8193
1785935127429|1013|counter_direct_r2f_00002_4194304_active|rotating|1346371075|8193|8193
1785935131489|1013|counter_direct_r2f_00002_4194304_terminal|fixed|1346371075|8193|8193
1785935131489|1013|counter_direct_r2f_00002_4194304_terminal|rotating|1350565379|8193|8193
1785935131804|1014|counter_direct_r2f_00003_1048576_active|fixed|1346362883|8193|8193
1785935131804|1014|counter_direct_r2f_00003_1048576_active|rotating|1346371075|8193|8193
1785935133282|1014|counter_direct_r2f_00003_1048576_terminal|fixed|1346371075|8193|8193
1785935133282|1014|counter_direct_r2f_00003_1048576_terminal|rotating|1346371075|8193|8193
1785935133682|1015|counter_direct_r2f_00004_1048576_active|fixed|1350557187|8193|8193
1785935133682|1015|counter_direct_r2f_00004_1048576_active|rotating|1346371075|8193|8193
1785935135228|1015|counter_direct_r2f_00004_1048576_terminal|fixed|1346371075|8193|8193
1785935135228|1015|counter_direct_r2f_00004_1048576_terminal|rotating|1350565379|8193|8193
1785935135679|1016|counter_direct_r2f_00005_1048576_active|fixed|1350557187|8193|8193
1785935135679|1016|counter_direct_r2f_00005_1048576_active|rotating|1350565379|8193|8193
1785935137234|1016|counter_direct_r2f_00005_1048576_terminal|fixed|1350565379|8193|8193
1785935137234|1016|counter_direct_r2f_00005_1048576_terminal|rotating|1346371075|8193|8193
1785935137545|1017|counter_direct_r2f_00006_1048576_active|fixed|1350557187|8193|8193
1785935137545|1017|counter_direct_r2f_00006_1048576_active|rotating|1346371075|8193|8193
1785935138982|1017|counter_direct_r2f_00006_1048576_terminal|fixed|1346371075|8193|8193
1785935138982|1017|counter_direct_r2f_00006_1048576_terminal|rotating|1350565379|8193|8193
1785935139364|1018|counter_direct_r2f_00007_1048576_active|fixed|1350557187|8193|8193
1785935139364|1018|counter_direct_r2f_00007_1048576_active|rotating|1346371075|8193|8193
1785935140773|1018|counter_direct_r2f_00007_1048576_terminal|fixed|1346371075|8193|8193
1785935140773|1018|counter_direct_r2f_00007_1048576_terminal|rotating|1350565379|8193|8193
1785935141193|1019|counter_direct_r2f_00008_1048576_active|fixed|1350557187|8193|8193
1785935141193|1019|counter_direct_r2f_00008_1048576_active|rotating|1346371075|8193|8193
1785935142628|1019|counter_direct_r2f_00008_1048576_terminal|fixed|1346371075|8193|8193
1785935142628|1019|counter_direct_r2f_00008_1048576_terminal|rotating|1350565379|8193|8193
1785935148883|1020|P10_4-COUNTER_SEMANTICS_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785935148883|1020|P10_4-COUNTER_SEMANTICS_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
