captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785939111709|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785939111709|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785939111863|1001|switch_00_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1785939111863|1001|switch_00_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1785939115993|1001|switch_00_f2r_00000_4194304_terminal|fixed|1346371075|8193|8193
1785939115993|1001|switch_00_f2r_00000_4194304_terminal|rotating|1346371075|8193|8193
1785939116323|1002|switch_00_f2r_00001_4194304_active|fixed|1346371075|8193|8193
1785939116323|1002|switch_00_f2r_00001_4194304_active|rotating|1346362883|8193|8193
1785939120461|1002|switch_00_f2r_00001_4194304_terminal|fixed|1346371075|8193|8193
1785939120461|1002|switch_00_f2r_00001_4194304_terminal|rotating|1346371075|8193|8193
1785939120765|1003|switch_00_f2r_00002_4194304_active|fixed|1350565379|8193|8193
1785939120765|1003|switch_00_f2r_00002_4194304_active|rotating|1346362883|8193|8193
1785939124880|1003|switch_00_f2r_00002_4194304_terminal|fixed|1346371075|8193|8193
1785939124880|1003|switch_00_f2r_00002_4194304_terminal|rotating|1350565379|8193|8193
1785939125226|1004|switch_00_f2r_00003_1048576_active|fixed|1350565379|8193|8193
1785939125226|1004|switch_00_f2r_00003_1048576_active|rotating|1350557187|8193|8193
1785939126632|1004|switch_00_f2r_00003_1048576_terminal|fixed|1346371075|8193|8193
1785939126632|1004|switch_00_f2r_00003_1048576_terminal|rotating|1346371075|8193|8193
1785939126937|1005|switch_00_f2r_00004_1048576_active|fixed|1350565379|8193|8193
1785939126937|1005|switch_00_f2r_00004_1048576_active|rotating|1350557187|8193|8193
1785939128355|1005|switch_00_f2r_00004_1048576_terminal|fixed|1346371075|8193|8193
1785939128355|1005|switch_00_f2r_00004_1048576_terminal|rotating|1350565379|8193|8193
1785939128710|1006|switch_00_f2r_00005_1048576_active|fixed|1350565379|8193|8193
1785939128710|1006|switch_00_f2r_00005_1048576_active|rotating|1346362883|8193|8193
1785939130155|1006|switch_00_f2r_00005_1048576_terminal|fixed|1346371075|8193|8193
1785939130155|1006|switch_00_f2r_00005_1048576_terminal|rotating|1346371075|8193|8193
1785939130474|1007|switch_00_f2r_00006_1048576_active|fixed|1346371075|8193|8193
1785939130474|1007|switch_00_f2r_00006_1048576_active|rotating|1350557187|8193|8193
1785939131945|1007|switch_00_f2r_00006_1048576_terminal|fixed|1350565379|8193|8193
1785939131945|1007|switch_00_f2r_00006_1048576_terminal|rotating|1346371075|8193|8193
1785939132356|1008|switch_00_f2r_00007_1048576_active|fixed|1346371075|8193|8193
1785939132356|1008|switch_00_f2r_00007_1048576_active|rotating|1350557187|8193|8193
1785939133739|1008|switch_00_f2r_00007_1048576_terminal|fixed|1350565379|8193|8193
1785939133739|1008|switch_00_f2r_00007_1048576_terminal|rotating|1350565379|8193|8193
1785939134081|1009|switch_00_f2r_00008_1048576_active|fixed|1350565379|8193|8193
1785939134081|1009|switch_00_f2r_00008_1048576_active|rotating|1346362883|8193|8193
1785939135454|1009|switch_00_f2r_00008_1048576_terminal|fixed|1346371075|8193|8193
1785939135454|1009|switch_00_f2r_00008_1048576_terminal|rotating|1346371075|8193|8193
1785939141952|1010|switch_00_r2f_00000_4194304_active|fixed|1350557187|8193|8193
1785939141952|1010|switch_00_r2f_00000_4194304_active|rotating|1346371075|8193|8193
1785939146055|1010|switch_00_r2f_00000_4194304_terminal|fixed|1346371075|8193|8193
1785939146055|1010|switch_00_r2f_00000_4194304_terminal|rotating|1346371075|8193|8193
1785939146408|1011|switch_00_r2f_00001_4194304_active|fixed|1350557187|8193|8193
1785939146408|1011|switch_00_r2f_00001_4194304_active|rotating|1346371075|8193|8193
1785939150487|1011|switch_00_r2f_00001_4194304_terminal|fixed|1350565379|8193|8193
1785939150487|1011|switch_00_r2f_00001_4194304_terminal|rotating|1350565379|8193|8193
1785939150816|1012|switch_00_r2f_00002_4194304_active|fixed|1350557187|8193|8193
1785939150816|1012|switch_00_r2f_00002_4194304_active|rotating|1350565379|8193|8193
1785939154929|1012|switch_00_r2f_00002_4194304_terminal|fixed|1350565379|8193|8193
1785939154929|1012|switch_00_r2f_00002_4194304_terminal|rotating|1346371075|8193|8193
1785939155250|1013|switch_00_r2f_00003_1048576_active|fixed|1350557187|8193|8193
1785939155250|1013|switch_00_r2f_00003_1048576_active|rotating|1350565379|8193|8193
1785939156638|1013|switch_00_r2f_00003_1048576_terminal|fixed|1346371075|8193|8193
1785939156638|1013|switch_00_r2f_00003_1048576_terminal|rotating|1346371075|8193|8193
1785939156955|1014|switch_00_r2f_00004_1048576_active|fixed|1346362883|8193|8193
1785939156955|1014|switch_00_r2f_00004_1048576_active|rotating|1350565379|8193|8193
1785939158381|1014|switch_00_r2f_00004_1048576_terminal|fixed|1350565379|8193|8193
1785939158381|1014|switch_00_r2f_00004_1048576_terminal|rotating|1346371075|8193|8193
1785939158744|1015|switch_00_r2f_00005_1048576_active|fixed|1346362883|8193|8193
1785939158744|1015|switch_00_r2f_00005_1048576_active|rotating|1350565379|8193|8193
1785939160190|1015|switch_00_r2f_00005_1048576_terminal|fixed|1350565379|8193|8193
1785939160190|1015|switch_00_r2f_00005_1048576_terminal|rotating|1350565379|8193|8193
1785939160520|1016|switch_00_r2f_00006_1048576_active|fixed|1346362883|8193|8193
1785939160520|1016|switch_00_r2f_00006_1048576_active|rotating|1346371075|8193|8193
1785939161897|1016|switch_00_r2f_00006_1048576_terminal|fixed|1346371075|8193|8193
1785939161897|1016|switch_00_r2f_00006_1048576_terminal|rotating|1346371075|8193|8193
1785939162245|1017|switch_00_r2f_00007_1048576_active|fixed|1350557187|8193|8193
1785939162245|1017|switch_00_r2f_00007_1048576_active|rotating|1350565379|8193|8193
1785939163620|1017|switch_00_r2f_00007_1048576_terminal|fixed|1350565379|8193|8193
1785939163620|1017|switch_00_r2f_00007_1048576_terminal|rotating|1346371075|8193|8193
1785939163916|1018|switch_00_r2f_00008_1048576_active|fixed|1350557187|8193|8193
