captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785938297276|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785938297276|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785938297447|1001|lane0_unavailable_active|fixed|1346371075|8193|8193
1785938297447|1001|lane0_unavailable_active|rotating|1346362883|8193|8193
1785938302594|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785938302594|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938307614|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785938307614|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938312664|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938312664|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938317621|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938317621|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938322663|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785938322663|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938327709|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785938327709|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938332715|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938332715|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938337684|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938337684|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938342684|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785938342684|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938347684|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938347684|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938352764|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938352764|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938357735|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938357735|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938362687|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938362687|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938367712|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938367712|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785938372709|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785938372709|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785938376526|1001|lane0_unavailable_terminal|fixed|1350565379|8193|8193
1785938376526|1001|lane0_unavailable_terminal|rotating|1346371075|8193|8193
1785938376909|1002|lane0_clean64_active|fixed|1350565379|8193|8193
1785938376909|1002|lane0_clean64_active|rotating|1346362883|8193|8193
1785938382053|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938382053|1002|lane0_clean64|rotating|1350557187|8193|8193
1785938387062|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938387062|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938392089|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938392089|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938397065|1002|lane0_clean64|fixed|1350565378|8193|8193
1785938397065|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938402067|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938402067|1002|lane0_clean64|rotating|1350557187|8193|8193
1785938407115|1002|lane0_clean64|fixed|1350565378|8193|8193
1785938407115|1002|lane0_clean64|rotating|1350557187|8193|8193
1785938412126|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938412126|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938417120|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938417120|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938422130|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938422130|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938427196|1002|lane0_clean64|fixed|1350565378|8193|8193
1785938427196|1002|lane0_clean64|rotating|1346362883|8193|8193
1785938432141|1002|lane0_clean64|fixed|1346371074|8193|8193
1785938432141|1002|lane0_clean64|rotating|1350557187|8193|8193
1785938435270|1002|lane0_clean64_terminal|fixed|1350565379|8193|8193
1785938435270|1002|lane0_clean64_terminal|rotating|1350565379|8193|8193
1785938435597|1003|lane1_unavailable_active|fixed|1350557187|8193|8193
1785938435597|1003|lane1_unavailable_active|rotating|1350565379|8193|8193
1785938440721|1003|lane1_unavailable|fixed|1350557187|8193|8193
1785938440721|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938445762|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938445762|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938450719|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938450719|1003|lane1_unavailable|rotating|1350565378|8193|8193
1785938455727|1003|lane1_unavailable|fixed|1350557187|8193|8193
1785938455727|1003|lane1_unavailable|rotating|1350565378|8193|8193
1785938460729|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938460729|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938465746|1003|lane1_unavailable|fixed|1350557187|8193|8193
1785938465746|1003|lane1_unavailable|rotating|1350565378|8193|8193
1785938470757|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938470757|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938475792|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938475792|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938480775|1003|lane1_unavailable|fixed|1350557187|8193|8193
1785938480775|1003|lane1_unavailable|rotating|1350565378|8193|8193
1785938485767|1003|lane1_unavailable|fixed|1350557187|8193|8193
1785938485767|1003|lane1_unavailable|rotating|1350565378|8193|8193
1785938490795|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938490795|1003|lane1_unavailable|rotating|1350565378|8193|8193
1785938495797|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938495797|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938500816|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938500816|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938505829|1003|lane1_unavailable|fixed|1346362883|8193|8193
1785938505829|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938510832|1003|lane1_unavailable|fixed|1350557187|8193|8193
1785938510832|1003|lane1_unavailable|rotating|1346371074|8193|8193
1785938514700|1003|lane1_unavailable_terminal|fixed|1346371075|8193|8193
1785938514700|1003|lane1_unavailable_terminal|rotating|1346371075|8193|8193
1785938515130|1004|lane1_clean64_active|fixed|1346362883|8193|8193
1785938515130|1004|lane1_clean64_active|rotating|1350565379|8193|8193
1785938520253|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938520253|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938525265|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938525265|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938530253|1004|lane1_clean64|fixed|1346362883|8193|8193
1785938530253|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938535254|1004|lane1_clean64|fixed|1346362883|8193|8193
1785938535254|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938540277|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938540277|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938545284|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938545284|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938550283|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938550283|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938555293|1004|lane1_clean64|fixed|1346362883|8193|8193
1785938555293|1004|lane1_clean64|rotating|1350565378|8193|8193
1785938560330|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938560330|1004|lane1_clean64|rotating|1350565378|8193|8193
1785938565361|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938565361|1004|lane1_clean64|rotating|1346371074|8193|8193
1785938570349|1004|lane1_clean64|fixed|1350557187|8193|8193
1785938570349|1004|lane1_clean64|rotating|1350565378|8193|8193
1785938573313|1004|lane1_clean64_terminal|fixed|1350565379|8193|8193
1785938573313|1004|lane1_clean64_terminal|rotating|1350565379|8193|8193
1785938573667|1005|lane2_unavailable_active|fixed|1350565379|8193|8193
1785938573667|1005|lane2_unavailable_active|rotating|1350557187|8193|8193
1785938578780|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938578780|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938583796|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938583796|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938588830|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938588830|1005|lane2_unavailable|rotating|1350557187|8193|8193
1785938593793|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938593793|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938598812|1005|lane2_unavailable|fixed|1346371074|8193|8193
1785938598812|1005|lane2_unavailable|rotating|1350557187|8193|8193
1785938603862|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938603862|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938608923|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938608923|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938613856|1005|lane2_unavailable|fixed|1346371074|8193|8193
1785938613856|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938618864|1005|lane2_unavailable|fixed|1346371074|8193|8193
1785938618864|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938623943|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938623943|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938628924|1005|lane2_unavailable|fixed|1346371074|8193|8193
1785938628924|1005|lane2_unavailable|rotating|1350557187|8193|8193
1785938633884|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938633884|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938638906|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938638906|1005|lane2_unavailable|rotating|1350557187|8193|8193
1785938643891|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938643891|1005|lane2_unavailable|rotating|1346362883|8193|8193
1785938648907|1005|lane2_unavailable|fixed|1350565378|8193|8193
1785938648907|1005|lane2_unavailable|rotating|1350557187|8193|8193
1785938652820|1005|lane2_unavailable_terminal|fixed|1346371075|8193|8193
1785938652820|1005|lane2_unavailable_terminal|rotating|1350565379|8193|8193
1785938653192|1006|lane2_clean64_active|fixed|1350565379|8193|8193
1785938653192|1006|lane2_clean64_active|rotating|1350557187|8193|8193
1785938658327|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938658327|1006|lane2_clean64|rotating|1346362883|8193|8193
1785938663313|1006|lane2_clean64|fixed|1350565378|8193|8193
1785938663313|1006|lane2_clean64|rotating|1346362883|8193|8193
1785938668319|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938668319|1006|lane2_clean64|rotating|1350557187|8193|8193
1785938673361|1006|lane2_clean64|fixed|1350565378|8193|8193
1785938673361|1006|lane2_clean64|rotating|1346362883|8193|8193
1785938678350|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938678350|1006|lane2_clean64|rotating|1350557187|8193|8193
1785938683345|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938683345|1006|lane2_clean64|rotating|1350557187|8193|8193
1785938688370|1006|lane2_clean64|fixed|1350565378|8193|8193
1785938688370|1006|lane2_clean64|rotating|1346362883|8193|8193
1785938693396|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938693396|1006|lane2_clean64|rotating|1350557187|8193|8193
1785938698389|1006|lane2_clean64|fixed|1350565378|8193|8193
1785938698389|1006|lane2_clean64|rotating|1350557187|8193|8193
1785938703381|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938703381|1006|lane2_clean64|rotating|1350557187|8193|8193
1785938708388|1006|lane2_clean64|fixed|1346371074|8193|8193
1785938708388|1006|lane2_clean64|rotating|1346362883|8193|8193
1785938711387|1006|lane2_clean64_terminal|fixed|1350565379|8193|8193
1785938711387|1006|lane2_clean64_terminal|rotating|1350565379|8193|8193
1785938711755|1007|lane3_unavailable_active|fixed|1346362883|8193|8193
1785938711755|1007|lane3_unavailable_active|rotating|1350565379|8193|8193
1785938716926|1007|lane3_unavailable|fixed|1350557187|8193|8193
1785938716926|1007|lane3_unavailable|rotating|1350565378|8193|8193
1785938721872|1007|lane3_unavailable|fixed|1346362883|8193|8193
1785938721872|1007|lane3_unavailable|rotating|1346371074|8193|8193
1785938726908|1007|lane3_unavailable|fixed|1346362883|8193|8193
1785938726908|1007|lane3_unavailable|rotating|1346371074|8193|8193
1785938731908|1007|lane3_unavailable|fixed|1350557187|8193|8193
1785938731908|1007|lane3_unavailable|rotating|1350565378|8193|8193
1785938736887|1007|lane3_unavailable|fixed|1350557187|8193|8193
