captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785937549090|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785937549090|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785937549273|1001|stream128_f2r_01_active|fixed|1350565379|8193|8193
1785937549273|1001|stream128_f2r_01_active|rotating|1350557187|8193|8193
1785937554407|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937554407|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937559396|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937559396|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937564395|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937564395|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937569419|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937569419|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937574405|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937574405|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937579432|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937579432|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937584613|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937584613|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937589424|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937589424|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937594434|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937594434|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937599449|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937599449|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937604441|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937604441|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937609466|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937609466|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937614475|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937614475|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937619507|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937619507|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937624488|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937624488|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937629508|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937629508|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937634488|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937634488|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937639534|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937639534|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937644526|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937644526|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937649567|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937649567|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785937654527|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785937654527|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937659570|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937659570|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785937664592|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785937664592|1001|stream128_f2r_01|rotating|1350557187|8193|8193
