captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785941344628|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785941344628|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785941344665|1001|smoke_F0_raw64_active|fixed|1346371075|8193|8193
1785941344665|1001|smoke_F0_raw64_active|rotating|1350565379|8193|8193
1785941345000|1001|smoke_F0_raw64_terminal|fixed|1346371075|8193|8193
1785941345000|1001|smoke_F0_raw64_terminal|rotating|1346371075|8193|8193
1785941345304|1002|smoke_lane0_f2r_100f_active|fixed|1350565379|8193|8193
1785941345304|1002|smoke_lane0_f2r_100f_active|rotating|1350557187|8193|8193
1785941345736|1002|smoke_lane0_f2r_100f_terminal|fixed|1346371075|8193|8193
1785941345736|1002|smoke_lane0_f2r_100f_terminal|rotating|1346371075|8193|8193
1785941346015|1003|smoke_R0_raw64_active|fixed|1350565379|8193|8193
1785941346015|1003|smoke_R0_raw64_active|rotating|1350565379|8193|8193
1785941346448|1003|smoke_R0_raw64_terminal|fixed|1350565379|8193|8193
1785941346448|1003|smoke_R0_raw64_terminal|rotating|1346371075|8193|8193
1785941346776|1004|smoke_lane0_r2f_100f_active|fixed|1350557187|8193|8193
1785941346776|1004|smoke_lane0_r2f_100f_active|rotating|1350565379|8193|8193
1785941347230|1004|smoke_lane0_r2f_100f_terminal|fixed|1346371075|8193|8193
1785941347230|1004|smoke_lane0_r2f_100f_terminal|rotating|1350565379|8193|8193
1785941347443|1005|smoke_F1_raw64_active|fixed|1346371075|8193|8193
1785941347443|1005|smoke_F1_raw64_active|rotating|1350565379|8193|8193
1785941347833|1005|smoke_F1_raw64_terminal|fixed|1350565379|8193|8193
1785941347833|1005|smoke_F1_raw64_terminal|rotating|1350565379|8193|8193
1785941348070|1006|smoke_lane1_f2r_100f_active|fixed|1350565379|8193|8193
1785941348070|1006|smoke_lane1_f2r_100f_active|rotating|1350557187|8193|8193
1785941348610|1006|smoke_lane1_f2r_100f_terminal|fixed|1346371075|8193|8193
1785941348610|1006|smoke_lane1_f2r_100f_terminal|rotating|1350565379|8193|8193
