captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785947170875|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785947170875|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785947171037|1001|dma_reset_fixed_4_clean64_active|fixed|1346371075|8193|8193
1785947171037|1001|dma_reset_fixed_4_clean64_active|rotating|1346362883|8193|8193
1785947176143|1001|dma_reset_fixed_4_clean64|fixed|1350565378|8193|8193
1785947176143|1001|dma_reset_fixed_4_clean64|rotating|1346362883|8193|8193
1785947181148|1001|dma_reset_fixed_4_clean64|fixed|1346371074|8193|8193
1785947181148|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947186173|1001|dma_reset_fixed_4_clean64|fixed|1350565378|8193|8193
1785947186173|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947191198|1001|dma_reset_fixed_4_clean64|fixed|1350565378|8193|8193
1785947191198|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947196240|1001|dma_reset_fixed_4_clean64|fixed|1346371074|8193|8193
1785947196240|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947201213|1001|dma_reset_fixed_4_clean64|fixed|1350565378|8193|8193
1785947201213|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947206227|1001|dma_reset_fixed_4_clean64|fixed|1346371074|8193|8193
1785947206227|1001|dma_reset_fixed_4_clean64|rotating|1346362883|8193|8193
1785947211224|1001|dma_reset_fixed_4_clean64|fixed|1346371074|8193|8193
1785947211224|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947216255|1001|dma_reset_fixed_4_clean64|fixed|1350565378|8193|8193
1785947216255|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947221239|1001|dma_reset_fixed_4_clean64|fixed|1350565378|8193|8193
1785947221239|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947226269|1001|dma_reset_fixed_4_clean64|fixed|1346371074|8193|8193
1785947226269|1001|dma_reset_fixed_4_clean64|rotating|1350557187|8193|8193
1785947229219|1001|dma_reset_fixed_4_clean64_terminal|fixed|1350565379|8193|8193
1785947229219|1001|dma_reset_fixed_4_clean64_terminal|rotating|1346371075|8193|8193
1785947229762|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785947229762|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
