captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785947506810|1001|dma_reset_rotating_1_clean64|fixed|2,1378943233,16781056,6148072,6064377,69737,0,69737,0,1480,0,740,0,0,0,5799,5799,4727776,0,4096,0,0,0,740,0,359884875,0,359884883,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,1073513613,0,0,0,5767168,0,5767168,0,17645,0,0,22,0,0,0,0,0,0,0,6892597,0,0,0,0,0
1785947506810|1001|dma_reset_rotating_1_clean64|rotating|2,1378943233,33554687,6254567,6169027,6183606,6169027,6183606,6169027,5923,5900,5899,5899,0,0,753,0,182104595,181745990,4096,4096,0,0,5900,5900,349124141,349124146,349124149,349124154,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,393609724,0,5854112,0,0,0,0,0,6205117,0,22,0,325322603,0,325322603,0,2080,318425434,0,9784102,0,0,0,0,0
1785947511820|1001|dma_reset_rotating_1_clean64|fixed|4,1378943233,16781056,12419025,12249124,141071,0,141071,0,2994,0,1497,0,0,0,11713,11713,9564232,0,4096,0,0,0,1497,0,680707821,0,680707829,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1392926083,0,0,0,11534336,0,11534336,0,35385,0,0,44,0,0,0,0,0,0,0,6937760,0,0,0,0,0
1785947511820|1001|dma_reset_rotating_1_clean64|rotating|4,1378943233,33558272,12490183,12319486,12348357,12319486,12348357,12319486,11826,11781,11781,11781,0,0,1505,0,363656208,362938192,4096,4096,0,0,11781,11781,667851808,667852141,667851816,667852149,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,712222753,0,11644992,0,0,0,0,0,12352416,0,44,0,642487912,0,642487912,0,2080,633848767,0,12668657,0,0,0,0,0
1785947516833|1001|dma_reset_rotating_1_clean64|fixed|6,1378943233,16781056,18699172,18442184,212314,0,212314,0,4506,0,2253,0,0,0,17634,17634,14394312,0,4096,0,0,0,2253,0,1001293796,0,1001293804,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1713734878,0,0,0,17301504,0,17301504,0,53220,0,0,66,0,0,0,0,0,0,0,6978531,0,0,0,0,0
1785947516833|1001|dma_reset_rotating_1_clean64|rotating|6,1378943233,33558272,18765387,18507450,18552319,18507450,18552319,18507450,17764,17697,17697,17697,0,0,2261,0,546271432,545192920,4096,4096,0,0,17697,17697,988437836,988438137,988437844,988438153,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1032908335,0,17483296,0,0,0,0,0,18542296,0,66,0,961713918,0,961713918,0,2080,951349049,0,15547142,0,0,0,0,0
1785947521833|1001|dma_reset_rotating_1_clean64|fixed|8,1378943233,16781056,24962563,24619432,283461,0,283461,0,6016,0,3008,0,0,0,23539,23539,19217944,0,4096,0,0,0,3008,0,1321452922,0,1321452930,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2033675105,0,0,0,23068672,0,23068672,0,70983,0,0,88,0,0,0,0,0,0,0,7022332,0,0,0,0,0
1785947521833|1001|dma_reset_rotating_1_clean64|rotating|8,1378943233,33554687,25033235,24689302,24749018,24689302,24749018,24689302,23697,23608,23606,23606,0,0,3016,0,728688372,727250703,4096,4096,0,0,23607,23607,1308691177,1308691174,1308691185,1308691182,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1353264213,0,23305792,0,0,0,0,0,24725527,0,88,0,1280614172,0,1280614172,0,2080,1268517242,0,18428570,0,0,0,0,0
1785947526842|1001|dma_reset_rotating_1_clean64|fixed|10,1378943233,16781056,31237679,30807293,354705,0,354705,0,7528,0,3764,0,0,0,29456,29456,24047952,0,4096,0,0,0,3764,0,1642020281,0,1642020297,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2354565270,0,0,0,28835840,0,28835840,0,88817,0,0,110,0,0,0,0,0,0,0,7069920,0,0,0,0,0
1785947526842|1001|dma_reset_rotating_1_clean64|rotating|10,1378943233,33558272,31325161,30893161,30969422,30893161,30969422,30893161,29652,29540,29539,29539,0,0,3775,0,911812288,909999456,4096,4096,0,0,29539,29539,1630254905,1630255254,1630254913,1630255262,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1675013374,0,29153312,0,0,0,0,0,30932567,0,111,0,1600901453,0,1600901453,0,2080,1586966493,0,21416761,0,0,0,0,0
1785947531856|1001|dma_reset_rotating_1_clean64|fixed|12,1378943233,16781056,37518879,37000721,426132,0,426132,0,9044,0,4522,0,0,0,35378,35378,28890792,0,4096,0,0,0,4522,0,1963135511,0,1963135519,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,544,0,532,0,136,133,0,1,544,0|14,2675477106,0,0,0,34865152,0,34865152,0,106651,0,0,133,0,0,0,0,0,0,0,7120391,0,0,0,0,0
