captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785941834961|1002|sustained_300s_f2r_00001_16777216|fixed|4,1378943233,16777471,6554524,6468479,6484304,6468479,6484304,6468479,11684,11662,5830,5830,0,0,744,0,180001755,179658614,4096,4096,0,0,5831,5831,643428767,643428780,643428775,643428788,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|10,1388202666,0,5798784,0,0,0,0,0,6523312,0,22,0,320992280,0,320992280,0,2080,315494750,0,7900690,0,0,0,0,0
1785941834961|1002|sustained_300s_f2r_00001_16777216|rotating|4,1378943233,33558272,6649981,6562191,71260,0,71260,0,1510,0,755,0,0,0,5915,5915,4823656,0,4096,0,0,0,755,0,629717270,0,629717278,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|10,675176694,0,0,0,5767168,0,5767168,0,17933,0,0,22,0,0,0,0,0,0,0,5022317,0,0,0,0,0
1785941839963|1002|sustained_300s_f2r_00001_16777216|fixed|6,1378943233,16777471,13190149,13015716,13048669,13015716,13048669,13015716,23517,23472,11735,11735,0,0,1499,0,362307325,361588640,4096,4096,0,0,11736,11736,963551946,963551959,963551954,963551967,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|12,1708135067,0,11621280,0,0,0,0,0,13069447,0,44,0,639469057,0,639469057,0,2080,632248306,0,10773278,0,0,0,0,0
1785941839963|1002|sustained_300s_f2r_00001_16777216|rotating|6,1378943233,33558272,13261852,13086652,142238,0,142238,0,3014,0,1507,0,0,0,11799,11799,9628168,0,4096,0,0,0,1507,0,948578373,0,948578381,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|12,993877694,0,0,0,11534336,0,11534336,0,35677,0,0,44,0,0,0,0,0,0,0,5066676,0,0,0,0,0
1785941850163|1003|sustained_300s_f2r_00002_67108864|fixed|10,1378943233,16777471,6532681,6446923,6462649,6446923,6462649,6446923,5838,5817,5815,5815,0,0,742,0,179430243,179087272,4096,4096,0,0,5816,5816,1616245364,1616245377,1616245372,1616245353,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|20,2360811501,0,5782976,0,0,0,0,0,6497378,0,22,0,319963575,0,319963575,0,2080,314460680,0,7902704,0,0,0,0,0
1785941850163|1003|sustained_300s_f2r_00002_67108864|rotating|10,1378943233,33558272,6608987,6521687,70882,0,70882,0,1502,0,751,0,0,0,5883,5883,4798072,0,4096,0,0,0,751,0,1601641826,0,1601641834,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|20,1647717050,0,0,0,5767168,0,5767168,0,17886,0,0,22,0,0,0,0,0,0,0,5020650,0,0,0,0,0
1785941855175|1003|sustained_300s_f2r_00002_67108864|fixed|12,1378943233,16777471,13185798,13011409,13044223,13011409,13044223,13011409,11783,11738,11736,11736,0,0,1500,0,362150976,361432650,4096,4096,0,0,11737,11737,1937246831,1937246812,1937246807,1937246820,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|22,2681553729,0,11613376,0,0,0,0,0,13059261,0,44,0,639248203,0,639248203,0,2080,632026842,0,10772234,0,0,0,0,0
1785941855175|1003|sustained_300s_f2r_00002_67108864|rotating|12,1378943233,33558272,13268988,13093744,142427,0,142427,0,3018,0,1509,0,0,0,11811,11811,9640920,0,4096,0,0,0,1509,0,1923078463,0,1923078479,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|22,1968800571,0,0,0,11534336,0,11534336,0,35748,0,0,44,0,0,0,0,0,0,0,5073086,0,0,0,0,0
1785941860177|1003|sustained_300s_f2r_00002_67108864|fixed|14,1378943233,16777471,19823347,19561178,19610511,19561178,19610511,19561178,17714,17647,17646,17646,0,0,2255,0,544483631,543406178,4096,4096,0,0,17646,17646,2257452717,2257453050,2257452725,2257453058,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|24,3001638897,0,17435872,0,0,0,0,0,19606215,0,66,0,957877747,0,957877747,0,2080,948933762,0,13644225,0,0,0,0,0
1785941860177|1003|sustained_300s_f2r_00002_67108864|rotating|14,1378943233,33558272,19931867,19668532,213970,0,213970,0,4534,0,2267,0,0,0,17742,17742,14483720,0,4096,0,0,0,2267,0,2244517589,0,2244517597,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|24,2289503632,0,0,0,17301504,0,17301504,0,53586,0,0,66,0,0,0,0,0,0,0,5121356,0,0,0,0,0
