captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785948667888|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785948667888|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785948668042|1001|pl_reset_fixed_3_clean64_active|fixed|1346371075|8193|8193
1785948668042|1001|pl_reset_fixed_3_clean64_active|rotating|1346362883|8193|8193
1785948673172|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948673172|1001|pl_reset_fixed_3_clean64|rotating|1346362883|8193|8193
1785948678233|1001|pl_reset_fixed_3_clean64|fixed|1350565378|8193|8193
1785948678233|1001|pl_reset_fixed_3_clean64|rotating|1350557187|8193|8193
1785948683260|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948683260|1001|pl_reset_fixed_3_clean64|rotating|1346362883|8193|8193
1785948688209|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948688209|1001|pl_reset_fixed_3_clean64|rotating|1350557187|8193|8193
1785948693201|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948693201|1001|pl_reset_fixed_3_clean64|rotating|1350557187|8193|8193
1785948698187|1001|pl_reset_fixed_3_clean64|fixed|1350565378|8193|8193
1785948698187|1001|pl_reset_fixed_3_clean64|rotating|1346362883|8193|8193
1785948703241|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948703241|1001|pl_reset_fixed_3_clean64|rotating|1346362883|8193|8193
1785948708252|1001|pl_reset_fixed_3_clean64|fixed|1350565378|8193|8193
1785948708252|1001|pl_reset_fixed_3_clean64|rotating|1346362883|8193|8193
1785948713248|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948713248|1001|pl_reset_fixed_3_clean64|rotating|1346362883|8193|8193
1785948718233|1001|pl_reset_fixed_3_clean64|fixed|1346371074|8193|8193
1785948718233|1001|pl_reset_fixed_3_clean64|rotating|1350557187|8193|8193
1785948723248|1001|pl_reset_fixed_3_clean64|fixed|1350565378|8193|8193
1785948723248|1001|pl_reset_fixed_3_clean64|rotating|1350557187|8193|8193
1785948726189|1001|pl_reset_fixed_3_clean64_terminal|fixed|1350565379|8193|8193
1785948726189|1001|pl_reset_fixed_3_clean64_terminal|rotating|1350565379|8193|8193
1785948726701|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785948726701|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
