captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785948836405|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785948836405|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785948836560|1001|pl_reset_rotating_1_clean64_active|fixed|1346362883|8193|8193
1785948836560|1001|pl_reset_rotating_1_clean64_active|rotating|1350565379|8193|8193
1785948841684|1001|pl_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785948841684|1001|pl_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785948846748|1001|pl_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785948846748|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948851745|1001|pl_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785948851745|1001|pl_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785948856708|1001|pl_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785948856708|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948861708|1001|pl_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785948861708|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948866702|1001|pl_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785948866702|1001|pl_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785948871720|1001|pl_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785948871720|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948876716|1001|pl_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785948876716|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948881715|1001|pl_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785948881715|1001|pl_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785948886732|1001|pl_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785948886732|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948891766|1001|pl_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785948891766|1001|pl_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785948894762|1001|pl_reset_rotating_1_clean64_terminal|fixed|1350565379|8193|8193
1785948894762|1001|pl_reset_rotating_1_clean64_terminal|rotating|1350565379|8193|8193
1785948895310|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785948895310|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
