captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785946263852|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785946263852|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785946265693|1002|ps_reset_rotating_1_clean64_active|fixed|1346362883|8193|8193
1785946265693|1002|ps_reset_rotating_1_clean64_active|rotating|1346371075|8193|8193
1785946270821|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785946270821|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785946275828|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946275828|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785946280878|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946280878|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785946285843|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946285843|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785946290841|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946290841|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785946295851|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946295851|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785946300860|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946300860|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785946305883|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946305883|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785946310903|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946310903|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785946315915|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946315915|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785946320947|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785946320947|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785946323872|1002|ps_reset_rotating_1_clean64_terminal|fixed|1346371075|8193|8193
1785946323872|1002|ps_reset_rotating_1_clean64_terminal|rotating|1346371075|8193|8193
1785946326020|1004|ps_reset_rotating_2_clean64_active|fixed|1350557187|8193|8193
1785946326020|1004|ps_reset_rotating_2_clean64_active|rotating|1346371075|8193|8193
1785946331166|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785946331166|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785946336168|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
