captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785951663827|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785951663827|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785951664000|1001|counter_direct_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1785951664000|1001|counter_direct_f2r_00000_4194304_active|rotating|1346362883|8193|8193
1785951668171|1001|counter_direct_f2r_00000_4194304_terminal|fixed|1346371075|8193|8193
1785951668171|1001|counter_direct_f2r_00000_4194304_terminal|rotating|1346371075|8193|8193
1785951668503|1002|counter_direct_f2r_00001_4194304_active|fixed|1350565379|8193|8193
1785951668503|1002|counter_direct_f2r_00001_4194304_active|rotating|1346362883|8193|8193
1785951672720|1002|counter_direct_f2r_00001_4194304_terminal|fixed|1350565379|8193|8193
1785951672720|1002|counter_direct_f2r_00001_4194304_terminal|rotating|1346371075|8193|8193
1785951673209|1003|counter_direct_f2r_00002_4194304_active|fixed|1350565379|8193|8193
1785951673209|1003|counter_direct_f2r_00002_4194304_active|rotating|1346362883|8193|8193
1785951677432|1003|counter_direct_f2r_00002_4194304_terminal|fixed|1346371075|8193|8193
1785951677432|1003|counter_direct_f2r_00002_4194304_terminal|rotating|1350565379|8193|8193
1785951677875|1004|counter_direct_f2r_00003_1048576_active|fixed|1346371075|8193|8193
1785951677875|1004|counter_direct_f2r_00003_1048576_active|rotating|1350557187|8193|8193
1785951679315|1004|counter_direct_f2r_00003_1048576_terminal|fixed|1350565379|8193|8193
1785951679315|1004|counter_direct_f2r_00003_1048576_terminal|rotating|1350565379|8193|8193
1785951679707|1005|counter_direct_f2r_00004_1048576_active|fixed|1350565379|8193|8193
1785951679707|1005|counter_direct_f2r_00004_1048576_active|rotating|1346362883|8193|8193
1785951681233|1005|counter_direct_f2r_00004_1048576_terminal|fixed|1350565379|8193|8193
1785951681233|1005|counter_direct_f2r_00004_1048576_terminal|rotating|1346371075|8193|8193
1785951681613|1006|counter_direct_f2r_00005_1048576_active|fixed|1346371075|8193|8193
1785951681613|1006|counter_direct_f2r_00005_1048576_active|rotating|1350557187|8193|8193
1785951683111|1006|counter_direct_f2r_00005_1048576_terminal|fixed|1346371075|8193|8193
1785951683111|1006|counter_direct_f2r_00005_1048576_terminal|rotating|1350565379|8193|8193
