captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785955480991|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785955480991|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785955481154|1001|degrade_00_maskE_00000_1048576_active|fixed|1346371075|8193|8193
1785955481154|1001|degrade_00_maskE_00000_1048576_active|rotating|1350557187|8193|8193
1785955482875|1001|degrade_00_maskE_00000_1048576_terminal|fixed|1350565379|8193|8193
1785955482875|1001|degrade_00_maskE_00000_1048576_terminal|rotating|1346371075|8193|8193
1785955483168|1002|degrade_00_maskE_00001_1048576_active|fixed|1346371075|8193|8193
1785955483168|1002|degrade_00_maskE_00001_1048576_active|rotating|1346362883|8193|8193
1785955484851|1002|degrade_00_maskE_00001_1048576_terminal|fixed|1350565379|8193|8193
1785955484851|1002|degrade_00_maskE_00001_1048576_terminal|rotating|1350565379|8193|8193
1785955491165|1003|degrade_01_maskF_00000_1048576_active|fixed|1346362883|8193|8193
1785955491165|1003|degrade_01_maskF_00000_1048576_active|rotating|1346371075|8193|8193
1785955492584|1003|degrade_01_maskF_00000_1048576_terminal|fixed|1346371075|8193|8193
1785955492584|1003|degrade_01_maskF_00000_1048576_terminal|rotating|1346371075|8193|8193
1785955492905|1004|degrade_01_maskF_00001_1048576_active|fixed|1350557187|8193|8193
1785955492905|1004|degrade_01_maskF_00001_1048576_active|rotating|1346371075|8193|8193
1785955494252|1004|degrade_01_maskF_00001_1048576_terminal|fixed|1350565379|8193|8193
1785955494252|1004|degrade_01_maskF_00001_1048576_terminal|rotating|1350565379|8193|8193
1785955494566|1005|degrade_01_maskF_00002_1048576_active|fixed|1350557187|8193|8193
1785955494566|1005|degrade_01_maskF_00002_1048576_active|rotating|1350565379|8193|8193
1785955496014|1005|degrade_01_maskF_00002_1048576_terminal|fixed|1346371075|8193|8193
1785955496014|1005|degrade_01_maskF_00002_1048576_terminal|rotating|1346371075|8193|8193
1785955501196|1006|degrade_02_maskD_00000_1048576_active|fixed|1346371075|8193|8193
1785955501196|1006|degrade_02_maskD_00000_1048576_active|rotating|1350557187|8193|8193
1785955502985|1006|degrade_02_maskD_00000_1048576_terminal|fixed|1350565379|8193|8193
1785955502985|1006|degrade_02_maskD_00000_1048576_terminal|rotating|1346371075|8193|8193
1785955503376|1007|degrade_02_maskD_00001_1048576_active|fixed|1346371075|8193|8193
1785955503376|1007|degrade_02_maskD_00001_1048576_active|rotating|1350557187|8193|8193
1785955505117|1007|degrade_02_maskD_00001_1048576_terminal|fixed|1346371075|8193|8193
1785955505117|1007|degrade_02_maskD_00001_1048576_terminal|rotating|1346371075|8193|8193
1785955511184|1008|degrade_03_maskF_00000_1048576_active|fixed|1350557187|8193|8193
1785955511184|1008|degrade_03_maskF_00000_1048576_active|rotating|1350565379|8193|8193
1785955512608|1008|degrade_03_maskF_00000_1048576_terminal|fixed|1346371075|8193|8193
1785955512608|1008|degrade_03_maskF_00000_1048576_terminal|rotating|1350565379|8193|8193
1785955512907|1009|degrade_03_maskF_00001_1048576_active|fixed|1350557187|8193|8193
1785955512907|1009|degrade_03_maskF_00001_1048576_active|rotating|1346371075|8193|8193
1785955514290|1009|degrade_03_maskF_00001_1048576_terminal|fixed|1346371075|8193|8193
1785955514290|1009|degrade_03_maskF_00001_1048576_terminal|rotating|1350565379|8193|8193
1785955514576|1010|degrade_03_maskF_00002_1048576_active|fixed|1350557187|8193|8193
1785955514576|1010|degrade_03_maskF_00002_1048576_active|rotating|1346371075|8193|8193
1785955515965|1010|degrade_03_maskF_00002_1048576_terminal|fixed|1350565379|8193|8193
1785955515965|1010|degrade_03_maskF_00002_1048576_terminal|rotating|1346371075|8193|8193
1785955521191|1011|degrade_04_maskB_00000_1048576_active|fixed|1350565379|8193|8193
1785955521191|1011|degrade_04_maskB_00000_1048576_active|rotating|1346362883|8193|8193
1785955522950|1011|degrade_04_maskB_00000_1048576_terminal|fixed|1350565379|8193|8193
1785955522950|1011|degrade_04_maskB_00000_1048576_terminal|rotating|1346371075|8193|8193
1785955523242|1012|degrade_04_maskB_00001_1048576_active|fixed|1346371075|8193|8193
1785955523242|1012|degrade_04_maskB_00001_1048576_active|rotating|1346362883|8193|8193
1785955524965|1012|degrade_04_maskB_00001_1048576_terminal|fixed|1350565379|8193|8193
1785955524965|1012|degrade_04_maskB_00001_1048576_terminal|rotating|1346371075|8193|8193
1785955531195|1013|degrade_05_maskF_00000_1048576_active|fixed|1346362883|8193|8193
1785955531195|1013|degrade_05_maskF_00000_1048576_active|rotating|1350565379|8193|8193
1785955532644|1013|degrade_05_maskF_00000_1048576_terminal|fixed|1346371075|8193|8193
1785955532644|1013|degrade_05_maskF_00000_1048576_terminal|rotating|1346371075|8193|8193
1785955532931|1014|degrade_05_maskF_00001_1048576_active|fixed|1350557187|8193|8193
