captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785957110258|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785957110258|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785957110425|1001|dma_reset_fixed_1_clean64_active|fixed|1350565379|8193|8193
1785957110425|1001|dma_reset_fixed_1_clean64_active|rotating|1350557187|8193|8193
1785957115528|1001|dma_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1785957115528|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957120548|1001|dma_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1785957120548|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957125541|1001|dma_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1785957125541|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957130550|1001|dma_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1785957130550|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957135553|1001|dma_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1785957135553|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957140582|1001|dma_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1785957140582|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957145610|1001|dma_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1785957145610|1001|dma_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1785957150616|1001|dma_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1785957150616|1001|dma_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1785957155588|1001|dma_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1785957155588|1001|dma_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1785957160598|1001|dma_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1785957160598|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957165618|1001|dma_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1785957165618|1001|dma_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1785957168556|1001|dma_reset_fixed_1_clean64_terminal|fixed|1346371075|8193|8193
1785957168556|1001|dma_reset_fixed_1_clean64_terminal|rotating|1346371075|8193|8193
1785957169119|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785957169119|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
