captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785957613749|1001|dma_reset_fixed_4_clean64|fixed|2,1378943233,16777471,6160375,6076082,6090436,6076082,6090436,6076082,5832,5810,5809,5809,0,0,741,0,179335697,178994516,4096,4096,0,0,5810,5810,359016436,359016465,359016444,359016473,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,1081950991,0,5782976,0,0,0,0,0,6131819,0,22,0,321500797,0,321500797,0,2080,314622271,0,9750115,0,0,0,0,0
1785957613749|1001|dma_reset_fixed_4_clean64|rotating|2,1378943233,33558272,6254514,6168581,71072,0,71072,0,1506,0,753,0,0,0,5898,5898,4810872,0,4096,0,0,0,753,0,346326143,0,346326151,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,390840107,0,0,0,5767168,0,5767168,0,17886,0,0,22,0,0,0,0,0,0,0,6901822,0,0,0,0,0
1785957618755|1001|dma_reset_fixed_4_clean64|fixed|4,1378943233,16781056,12408878,12238204,12267682,12238204,12267682,12238204,11748,11704,11704,11704,0,0,1496,0,361278872,360563864,4096,4096,0,0,11704,11704,678377161,678355726,678377169,678355734,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1400769126,0,11581760,0,0,0,0,0,12283277,0,44,0,638869236,0,638869236,0,2080,630304826,0,12580275,0,0,0,0,0
1785957618755|1001|dma_reset_fixed_4_clean64|rotating|4,1378943233,33558272,12486219,12314716,142048,0,142048,0,3010,0,1505,0,0,0,11777,11777,9615384,0,4096,0,0,0,1505,0,665144835,0,665144843,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,709191798,0,0,0,11534336,0,11534336,0,35606,0,0,44,0,0,0,0,0,0,0,6944315,0,0,0,0,0
1785957623768|1001|dma_reset_fixed_4_clean64|fixed|6,1378943233,16777471,18693218,18436068,18480572,18436068,18480572,18436068,17697,17630,17630,17630,0,0,2253,0,544200497,543126036,4096,4096,0,0,17630,17630,999577943,999578284,999577951,999578292,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1721835990,0,17420064,0,0,0,0,0,18480905,0,66,0,958476524,0,958476524,0,2080,948232445,0,15412705,0,0,0,0,0
1785957623768|1001|dma_reset_fixed_4_clean64|rotating|6,1378943233,33558033,18759071,18501100,213403,0,213403,0,4522,0,2261,0,0,0,17692,17692,14442522,0,4096,0,0,0,2261,0,985684870,0,985684878,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1029715390,0,0,0,17301504,0,17301504,0,53445,0,0,66,0,0,0,0,0,0,0,6998026,0,0,0,0,0
1785957628768|1001|dma_reset_fixed_4_clean64|fixed|8,1378943233,16777471,24956753,24613329,24672941,24613329,24672941,24613329,23625,23536,23535,23535,0,0,3007,0,726482290,725047813,4096,4096,0,0,23536,23536,1319543346,1319543335,1319543354,1319543343,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2041791069,0,23242560,0,0,0,0,0,24657380,0,88,0,1276975979,0,1276975979,0,2080,1265055400,0,18238572,0,0,0,0,0
1785957628768|1001|dma_reset_fixed_4_clean64|rotating|8,1378943233,33558272,25038469,24694081,284755,0,284755,0,6034,0,3017,0,0,0,23612,23612,19275400,0,4096,0,0,0,3017,0,1306218329,0,1306218337,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1351003644,0,0,0,23068672,0,23068672,0,71329,0,0,88,0,0,0,0,0,0,0,7045295,0,0,0,0,0
1785957633775|1001|dma_reset_fixed_4_clean64|fixed|10,1378943233,16777471,31228003,30796305,30872837,30796305,30872837,30796305,29559,29448,29447,29447,0,0,3763,0,908980090,907185629,4096,4096,0,0,29448,29448,1639870626,1639870631,1639870634,1639870639,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2363238086,0,29088768,0,0,0,0,0,30862402,0,110,0,1596961444,0,1596961444,0,2080,1583369100,0,21064795,0,0,0,0,0
1785957633775|1001|dma_reset_fixed_4_clean64|rotating|10,1378943233,33558272,31320986,30887480,356293,0,356293,0,7550,0,3775,0,0,0,29535,29535,24118240,0,4096,0,0,0,3775,0,1627412979,0,1627412995,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1673115001,0,0,0,29097984,0,29097984,0,89262,0,0,111,0,0,0,0,0,0,0,7094939,0,0,0,0,0
