captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785958277163|1001|dma_reset_rotating_3_clean64|fixed|2,1378943233,16781056,6141501,6056598,69643,0,69643,0,1478,0,739,0,0,0,5793,5793,4721392,0,4096,0,0,0,739,0,360875082,0,360875090,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1073374992,0,0,0,5505024,0,5505024,0,17598,0,0,21,0,0,0,0,0,0,0,6892505,0,0,0,0,0
1785958277163|1001|dma_reset_rotating_3_clean64|rotating|2,1378943233,33554687,6227020,6140476,6156343,6140476,6156343,6140476,5898,5875,5874,5874,0,0,750,0,181330549,180971576,4096,4096,0,0,5875,5875,348796186,348796215,348796202,348796223,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,392731409,0,5830400,0,0,0,0,0,6179943,0,22,0,324069508,0,324069508,0,2080,317190141,0,9762536,0,0,0,0,0
1785958282169|1001|dma_reset_rotating_3_clean64|fixed|4,1378943233,16781056,12410096,12236658,140976,0,140976,0,2992,0,1496,0,0,0,11704,11704,9557856,0,4096,0,0,0,1496,0,681527856,0,681527864,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1393945196,0,0,0,11534336,0,11534336,0,35409,0,0,44,0,0,0,0,0,0,0,6940802,0,0,0,0,0
1785958282169|1001|dma_reset_rotating_3_clean64|rotating|4,1378943233,33554687,12505647,12331030,12363632,12331030,12363632,12331030,11841,11795,11794,11794,0,0,1507,0,364076016,363358048,4096,4096,0,0,11795,11795,669568166,669568163,669568150,669568123,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,714236282,0,11676608,0,0,0,0,0,12385170,0,44,0,644112829,0,644112829,0,2080,635547999,0,12602457,0,0,0,0,0
1785958287181|1001|dma_reset_rotating_3_clean64|fixed|6,1378943233,16781056,18690161,18429551,212219,0,212219,0,4504,0,2252,0,0,0,17624,17624,14387912,0,4096,0,0,0,2252,0,1002199851,0,1002199859,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1713999382,0,0,0,17301504,0,17301504,0,53196,0,0,66,0,0,0,0,0,0,0,6986896,0,0,0,0,0
1785958287181|1001|dma_reset_rotating_3_clean64|rotating|6,1378943233,33558272,18764609,18503173,18551541,18503173,18551541,18503173,17763,17695,17695,17695,0,0,2261,0,546208144,545131208,4096,4096,0,0,17695,17695,989264178,989264511,989264186,989264519,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1033128002,0,17475392,0,0,0,0,0,18541044,0,66,0,961554853,0,961554853,0,2080,951295797,0,15440959,0,0,0,0,0
1785958292188|1001|dma_reset_rotating_3_clean64|fixed|8,1378943233,16781056,24982577,24633649,283651,0,283651,0,6020,0,3010,0,0,0,23556,23556,19230736,0,4096,0,0,0,3010,0,1323604330,0,1323604338,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2036360452,0,0,0,23068672,0,23068672,0,71101,0,0,88,0,0,0,0,0,0,0,7037655,0,0,0,0,0
1785958292188|1001|dma_reset_rotating_3_clean64|rotating|8,1378943233,33554687,25078751,24728689,24794065,24728689,24794065,24728689,23739,23649,23647,23647,0,0,3021,0,729946128,728508956,4096,4096,0,0,23648,23648,1311775290,1311775255,1311775274,1311775263,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,92,89,0,1,368,0|10,1355383552,0,23338720,0,0,0,0,0,24759012,0,89,0,1282344571,0,1282344571,0,2080,1270272270,0,18407759,0,0,0,0,0
1785958297192|1001|dma_reset_rotating_3_clean64|fixed|10,1378943233,16781056,31238579,30803171,354705,0,354705,0,7528,0,3764,0,0,0,29456,29456,24047952,0,4096,0,0,0,3764,0,1643292151,0,1643292167,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2354616475,0,0,0,28835840,0,28835840,0,88793,0,0,110,0,0,0,0,0,0,0,7085408,0,0,0,0,0
1785958297192|1001|dma_reset_rotating_3_clean64|rotating|10,1378943233,33554687,31302584,30866346,30947128,30866346,30947128,30866346,29630,29518,29516,29516,0,0,3772,0,911108608,909313419,4096,4096,0,0,29517,29517,1629796950,1629796963,1629796958,1629796971,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1673659079,0,29129600,0,0,0,0,0,30901641,0,111,0,1599172378,0,1599172378,0,2080,1585403255,0,21247160,0,0,0,0,0
1785958302198|1001|dma_reset_rotating_3_clean64|fixed|12,1378943233,16781056,37507838,36987291,425849,0,425849,0,9038,0,4519,0,0,0,35367,35367,28871608,0,4096,0,0,0,4519,0,1963407781,0,1963407789,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,544,0,532,0,136,133,0,1,544,0|14,2675169888,0,0,0,34865152,0,34865152,0,106603,0,0,133,0,0,0,0,0,0,0,7137316,0,0,0,0,0
1785958302198|1001|dma_reset_rotating_3_clean64|rotating|12,1378943233,33558272,37584904,37062810,37158112,37062810,37158112,37062810,35576,35442,35440,35440,0,0,4529,0,1093960632,1091789760,4096,4096,0,0,35440,35440,1950864944,1950865277,1950864952,1950865285,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,544,0,532,0,136,133,0,1,544,0|14,1995296890,0,34975808,0,0,0,0,0,37111612,0,133,0,1919348637,0,1919348637,0,2080,1903896049,0,24085083,0,0,0,0,0
1785958307228|1001|dma_reset_rotating_3_clean64|fixed|14,1378943233,16781056,43804406,43193787,497470,0,497470,0,10558,0,5279,0,0,0,41303,41303,33727248,0,4096,0,0,0,5279,0,2285474375,0,2285474383,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,632,0,620,0,158,155,0,1,632,0|16,2997065650,0,0,0,40632320,0,40632320,0,124509,0,0,155,0,0,0,0,0,0,0,7185625,0,0,0,0,0
1785958307228|1001|dma_reset_rotating_3_clean64|rotating|14,1378943233,33554687,43879614,43268238,43381390,43268238,43381390,43268238,41532,41376,41374,41374,0,0,5287,0,1277129394,1274601941,4096,4096,0,0,41374,41374,2272377880,2272378189,2272377888,2272378197,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,632,0,620,0,158,155,0,1,632,0|16,2316126683,0,40814112,0,0,0,0,0,43304532,0,155,0,2238718854,0,2238718854,0,2080,2221580608,0,26923502,0,0,0,0,0
1785958312242|1001|dma_reset_rotating_3_clean64|fixed|16,1378943233,16781056,50089295,49392271,568807,0,568807,0,12072,0,6036,0,0,0,47229,47229,38563672,0,4096,0,0,0,6036,0,2606451004,0,2606451012,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,720,0,708,0,180,177,0,1,720,0|18,3318118510,0,0,0,46399488,0,46399488,0,142343,0,0,177,0,0,0,0,0,0,0,7232867,0,0,0,0,0
1785958312242|1001|dma_reset_rotating_3_clean64|rotating|16,1378943233,33554687,50157013,49459278,49587452,49459278,49587452,49459278,47473,47295,47292,47292,0,0,6044,0,1459830617,1456943968,4096,4096,0,0,47293,47293,2593082097,2593082110,2593082113,2593082086,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,720,0,708,0,180,177,0,1,720,0|18,2636901895,0,46644512,0,0,0,0,0,49496208,0,177,0,2558036466,0,2558036466,0,2080,2539209866,0,29762920,0,0,0,0,0
1785958317263|1001|dma_reset_rotating_3_clean64|fixed|18,1378943233,16781056,56377291,55593599,640142,0,640142,0,13586,0,6793,0,0,0,53156,53156,43400032,0,4096,0,0,0,6793,0,2927425551,0,2927425559,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,812,0,800,0,203,200,0,1,812,0|20,3639315946,0,0,0,52428800,0,52428800,0,160200,0,0,200,0,0,0,0,0,0,0,7283608,0,0,0,0,0
1785958317263|1001|dma_reset_rotating_3_clean64|rotating|18,1378943233,33558272,56545052,55758928,55902931,55758928,55902931,55758928,53519,53317,53315,53315,0,0,6814,0,1645724896,1642462728,4096,4096,0,0,53315,53315,2919449772,2919450121,2919449780,2919450129,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,812,0,800,0,203,200,0,1,812,0|20,2964031966,0,52594784,0,0,0,0,0,55810188,0,200,0,2883678969,0,2883678969,0,2080,2863057944,0,32729567,0,0,0,0,0
1785958322263|1001|dma_reset_rotating_3_clean64|fixed|20,1378943233,16781056,62642510,61771750,711383,0,711383,0,15098,0,7549,0,0,0,59063,59063,48230104,0,4096,0,0,0,7549,0,3247773424,0,3247773432,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,900,0,888,0,225,222,0,1,900,0|22,3959356562,0,0,0,58195968,0,58195968,0,177987,0,0,222,0,0,0,0,0,0,0,7328472,0,0,0,0,0
1785958322263|1001|dma_reset_rotating_3_clean64|rotating|20,1378943233,33554687,62704932,61833593,61992889,61833593,61992889,61833593,59349,59125,59122,59122,0,0,7556,0,1824989088,1821367195,4096,4096,0,0,59123,59123,3234174826,3234174831,3234174834,3234174839,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,900,0,888,0,225,222,0,1,900,0|22,3279498503,0,58330336,0,0,0,0,0,61898741,0,222,0,3197711618,0,3197711618,0,2080,3175383018,0,35567842,0,0,0,0,0
1785958327272|1001|dma_reset_rotating_3_clean64|fixed|22,1378943233,16781056,68914410,67957827,782626,0,782626,0,16610,0,8305,0,0,0,64978,64978,53060184,0,4096,0,0,0,8305,0,3568319175,0,3568319183,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,988,0,976,0,247,244,0,1,988,0|24,4279929919,0,0,0,63963136,0,63963136,0,195798,0,0,244,0,0,0,0,0,0,0,7375822,0,0,0,0,0
1785958327272|1001|dma_reset_rotating_3_clean64|rotating|22,1378943233,33554687,68983083,68025595,68199703,68025595,68199703,68025595,65291,65045,65042,65042,0,0,8313,0,2007732888,2003753048,4096,4096,0,0,65043,65043,3554943075,3554943080,3554943051,3554943056,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,988,0,976,0,247,244,0,1,988,0|24,3599327444,0,64152832,0,0,0,0,0,68072116,0,244,0,3516084935,0,3516084935,0,2080,3492067425,0,38406119,0,0,0,0,0
