captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785958272006|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785958272006|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785958272153|1001|dma_reset_rotating_3_clean64_active|fixed|1346362883|8193|8193
1785958272153|1001|dma_reset_rotating_3_clean64_active|rotating|1346371075|8193|8193
1785958277284|1001|dma_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785958277284|1001|dma_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785958282303|1001|dma_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785958282303|1001|dma_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785958287284|1001|dma_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785958287284|1001|dma_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785958292332|1001|dma_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785958292332|1001|dma_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785958297296|1001|dma_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785958297296|1001|dma_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785958302317|1001|dma_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785958302317|1001|dma_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785958307331|1001|dma_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785958307331|1001|dma_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785958312358|1001|dma_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785958312358|1001|dma_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785958317457|1001|dma_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785958317457|1001|dma_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785958322392|1001|dma_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785958322392|1001|dma_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785958327377|1001|dma_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785958327377|1001|dma_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785958330268|1001|dma_reset_rotating_3_clean64_terminal|fixed|1346371075|8193|8193
1785958330268|1001|dma_reset_rotating_3_clean64_terminal|rotating|1350565379|8193|8193
1785958330840|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785958330840|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
