captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785952251301|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785952251301|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785952251454|1001|sustained_300s_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1785952251454|1001|sustained_300s_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1785952255634|1001|sustained_300s_f2r_00000_4194304_terminal|fixed|1346371075|8193|8193
1785952255634|1001|sustained_300s_f2r_00000_4194304_terminal|rotating|1350565379|8193|8193
1785952255932|1002|sustained_300s_f2r_00001_16777216_active|fixed|1346371075|8193|8193
1785952255932|1002|sustained_300s_f2r_00001_16777216_active|rotating|1346362883|8193|8193
1785952261093|1002|sustained_300s_f2r_00001_16777216|fixed|1350565378|8193|8193
1785952261093|1002|sustained_300s_f2r_00001_16777216|rotating|1350557187|8193|8193
1785952266121|1002|sustained_300s_f2r_00001_16777216|fixed|1350565378|8193|8193
1785952266121|1002|sustained_300s_f2r_00001_16777216|rotating|1346362883|8193|8193
1785952270846|1002|sustained_300s_f2r_00001_16777216_terminal|fixed|1350565379|8193|8193
1785952270846|1002|sustained_300s_f2r_00001_16777216_terminal|rotating|1346371075|8193|8193
1785952271170|1003|sustained_300s_f2r_00002_67108864_active|fixed|1350565379|8193|8193
1785952271170|1003|sustained_300s_f2r_00002_67108864_active|rotating|1350557187|8193|8193
1785952276313|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1785952276313|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785952281349|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785952281349|1003|sustained_300s_f2r_00002_67108864|rotating|1346362883|8193|8193
1785952286293|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785952286293|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1785952291293|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1785952291293|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
