captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785954878469|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785954878469|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785954878651|1001|lane0_unavailable_active|fixed|1350565379|8193|8193
1785954878651|1001|lane0_unavailable_active|rotating|1346362883|8193|8193
1785954883810|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954883810|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954888802|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954888802|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954893775|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785954893775|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954898880|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954898880|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954903827|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954903827|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785954908885|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785954908885|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954913819|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954913819|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954918831|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954918831|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785954923842|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954923842|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785954928880|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954928880|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954933861|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954933861|1001|lane0_unavailable|rotating|1346362883|8193|8193
1785954938855|1001|lane0_unavailable|fixed|1346371074|8193|8193
1785954938855|1001|lane0_unavailable|rotating|1350557187|8193|8193
1785954943985|1001|lane0_unavailable|fixed|1350565378|8193|8193
1785954943985|1001|lane0_unavailable|rotating|1346362883|8193|8193
