captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785959277527|1001|pl_reset_rotating_1_clean64|fixed|2,1378943233,16781056,6139078,6054558,69643,0,69643,0,1478,0,739,0,0,0,5790,5790,4721392,0,4096,0,0,0,739,0,360504191,0,360504199,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1079694692,0,0,0,5505024,0,5505024,0,17551,0,0,21,0,0,0,0,0,0,0,6891242,0,0,0,0,0
1785959277527|1001|pl_reset_rotating_1_clean64|rotating|2,1378943233,33554687,6211555,6125585,6141067,6125585,6141067,6125585,5882,5859,5858,5858,0,0,748,0,180837176,180477159,4096,4096,0,0,5859,5859,346826540,346826529,346826500,346826537,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,392671691,0,5838304,0,0,0,0,0,6193098,0,22,0,324653164,0,324653164,0,2080,317760216,0,9777812,0,0,0,0,0
1785959282530|1001|pl_reset_rotating_1_clean64|fixed|4,1378943233,16781056,12407806,12236377,140788,0,140788,0,2988,0,1494,0,0,0,11701,11701,9545064,0,4096,0,0,0,1494,0,680635013,0,680635021,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1399696954,0,0,0,11534336,0,11534336,0,35338,0,0,44,0,0,0,0,0,0,0,6928764,0,0,0,0,0
1785959282530|1001|pl_reset_rotating_1_clean64|rotating|4,1378943233,33558272,12469533,12296495,12327991,12296495,12327991,12296495,11804,11759,11759,11759,0,0,1502,0,362977760,362257176,4096,4096,0,0,11759,11759,666547251,666547576,666547259,666547584,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,710879142,0,11629184,0,0,0,0,0,12333782,0,44,0,641412895,0,641412895,0,2080,632809270,0,12631068,0,0,0,0,0
1785959287532|1001|pl_reset_rotating_1_clean64|fixed|6,1378943233,16781056,18672117,18413951,212030,0,212030,0,4500,0,2250,0,0,0,17606,17606,14375120,0,4096,0,0,0,2250,0,1000998145,0,1000998153,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1720032487,0,0,0,17301504,0,17301504,0,53125,0,0,66,0,0,0,0,0,0,0,6971314,0,0,0,0,0
1785959287532|1001|pl_reset_rotating_1_clean64|rotating|6,1378943233,33554687,18776382,18517199,18563219,18517199,18563219,18517199,17773,17706,17705,17705,0,0,2262,0,546523824,545443168,4096,4096,0,0,17706,17706,988742643,988742624,988742611,988742632,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1033833088,0,17499104,0,0,0,0,0,18568812,0,66,0,962899361,0,962899361,0,2080,952602245,0,15484108,0,0,0,0,0
1785959292548|1001|pl_reset_rotating_1_clean64|fixed|8,1378943233,16781056,24952389,24607412,283368,0,283368,0,6014,0,3007,0,0,0,23528,23528,19211544,0,4096,0,0,0,3007,0,1321988540,0,1321988548,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2041078055,0,0,0,23068672,0,23068672,0,70983,0,0,88,0,0,0,0,0,0,0,7023908,0,0,0,0,0
1785959292548|1001|pl_reset_rotating_1_clean64|rotating|8,1378943233,33554687,25027505,24681687,24743381,24681687,24743381,24681687,23690,23600,23599,23599,0,0,3015,0,728470233,727030164,4096,4096,0,0,23600,23600,1308135321,1308135318,1308135329,1308135326,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1352283674,0,23297888,0,0,0,0,0,24714274,0,88,0,1279900251,0,1279900251,0,2080,1267894230,0,18337289,0,0,0,0,0
1785959297550|1001|pl_reset_rotating_1_clean64|fixed|10,1378943233,16781056,31222004,30789999,354517,0,354517,0,7524,0,3762,0,0,0,29440,29440,24035192,0,4096,0,0,0,3762,0,1642119693,0,1642119701,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2361204967,0,0,0,28835840,0,28835840,0,88770,0,0,110,0,0,0,0,0,0,0,7069712,0,0,0,0,0
1785959297550|1001|pl_reset_rotating_1_clean64|rotating|10,1378943233,33558272,31302482,30869623,30947121,30869623,30947121,30869623,29628,29516,29516,29516,0,0,3771,0,911102528,909302816,4096,4096,0,0,29516,29516,1628713051,1628713352,1628713059,1628713368,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1673403716,0,29129600,0,0,0,0,0,30909911,0,111,0,1599562365,0,1599562365,0,2080,1585719860,0,21320540,0,0,0,0,0
