captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785959606670|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785959606670|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785959606824|1001|pl_reset_rotating_3_clean64_active|fixed|1350557187|8193|8193
1785959606824|1001|pl_reset_rotating_3_clean64_active|rotating|1346371075|8193|8193
1785959611935|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959611935|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959616962|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959616962|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959621993|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959621993|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959626971|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959626971|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785959631991|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785959631991|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785959636985|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959636985|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959641988|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959641988|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785959647007|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785959647007|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959652059|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785959652059|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959657036|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959657036|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959662020|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785959662020|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785959664955|1001|pl_reset_rotating_3_clean64_terminal|fixed|1346371075|8193|8193
1785959664955|1001|pl_reset_rotating_3_clean64_terminal|rotating|1346371075|8193|8193
1785959665487|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785959665487|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
