captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785956694721|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785956694721|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785956696792|1002|ps_reset_rotating_1_clean64_active|fixed|1346362883|8193|8193
1785956696792|1002|ps_reset_rotating_1_clean64_active|rotating|1350565379|8193|8193
1785956701895|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785956701895|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785956706945|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785956706945|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956711924|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785956711924|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785956716922|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956716922|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956721972|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956721972|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956726963|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785956726963|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956731969|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956731969|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956736959|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956736959|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785956741963|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956741963|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956747018|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956747018|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785956752090|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785956752090|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785956754963|1002|ps_reset_rotating_1_clean64_terminal|fixed|1350565379|8193|8193
1785956754963|1002|ps_reset_rotating_1_clean64_terminal|rotating|1346371075|8193|8193
1785956757290|1004|ps_reset_rotating_2_clean64_active|fixed|1350557187|8193|8193
1785956757290|1004|ps_reset_rotating_2_clean64_active|rotating|1346371075|8193|8193
1785956762420|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956762420|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785956767436|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956767436|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785956772412|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785956772412|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785956777448|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956777448|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785956782452|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785956782452|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785956787427|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785956787427|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785956792459|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956792459|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785956797455|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956797455|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785956802445|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956802445|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785956807469|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956807469|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785956812483|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785956812483|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785956815464|1004|ps_reset_rotating_2_clean64_terminal|fixed|1346371075|8193|8193
1785956815464|1004|ps_reset_rotating_2_clean64_terminal|rotating|1346371075|8193|8193
1785956817524|1006|ps_reset_rotating_3_clean64_active|fixed|1346362883|8193|8193
1785956817524|1006|ps_reset_rotating_3_clean64_active|rotating|1350565379|8193|8193
1785956822707|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
