captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785954131781|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785954131781|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785954131978|1001|stream128_f2r_01_active|fixed|1350565379|8193|8193
1785954131978|1001|stream128_f2r_01_active|rotating|1350557187|8193|8193
1785954137081|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954137081|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954142175|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954142175|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954147111|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954147111|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954152270|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954152270|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954157181|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954157181|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954162148|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954162148|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954167157|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954167157|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954172169|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954172169|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954177181|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954177181|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954182207|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954182207|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954187238|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954187238|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954192230|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954192230|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954197220|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954197220|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954202220|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954202220|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954207243|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954207243|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954212249|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954212249|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954217284|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954217284|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954222360|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954222360|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954227310|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954227310|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954232274|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954232274|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785954237288|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954237288|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954242308|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785954242308|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954247292|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785954247292|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785954247789|1001|stream128_f2r_01_terminal|fixed|1346371075|8193|8193
1785954247789|1001|stream128_f2r_01_terminal|rotating|1346371075|8193|8193
1785954248142|1002|stream128_f2r_02_active|fixed|1350565379|8193|8193
1785954248142|1002|stream128_f2r_02_active|rotating|1346362883|8193|8193
1785954253279|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954253279|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785954258261|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954258261|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954263315|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954263315|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954268294|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954268294|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785954273310|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954273310|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954278297|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954278297|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954283323|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954283323|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954288303|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954288303|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785954293343|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954293343|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954298406|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954298406|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954303406|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954303406|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785954308418|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785954308418|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954313405|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954313405|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785954318428|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954318428|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785954323401|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785954323401|1002|stream128_f2r_02|rotating|1350557187|8193|8193
