captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785952907397|1001|stream64_f2r_01|fixed|2,1378943233,16777471,6147571,6062211,6077819,6062211,6077819,6062211,5813,5791,5790,5790,0,0,739,0,178727182,178383369,4096,4096,0,0,5791,5791,359614927,359614924,359614935,359614932,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1068975775,0,5757952,0,0,0,0,0,6116437,0,21,0,320151525,0,320151525,0,2080,313398834,0,9623547,0,0,0,0,0
1785952907397|1001|stream64_f2r_01|rotating|2,1378943233,33558272,6219718,6132719,70598,0,70598,0,1496,0,748,0,0,0,5858,5858,4778928,0,4096,0,0,0,748,0,345581161,0,345581169,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,390609999,0,0,0,5767168,0,5767168,0,17744,0,0,22,0,0,0,0,0,0,0,6897479,0,0,0,0,0
1785952912408|1001|stream64_f2r_01|fixed|4,1378943233,16777471,12430879,12256303,12289683,12256303,12289683,12256303,11757,11712,11711,11711,0,0,1496,0,361497904,360778595,4096,4096,0,0,11712,11712,680549358,680549363,680549366,680549371,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1389637024,0,11589664,0,0,0,0,0,12306131,0,44,0,639354846,0,639354846,0,2080,630787561,0,12584908,0,0,0,0,0
1785952912408|1001|stream64_f2r_01|rotating|4,1378943233,33558272,12495438,12320134,141953,0,141953,0,3008,0,1504,0,0,0,11772,11772,9608984,0,4096,0,0,0,1504,0,666246803,0,666246811,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,711275360,0,0,0,11534336,0,11534336,0,35606,0,0,44,0,0,0,0,0,0,0,6942244,0,0,0,0,0
1785952917423|1001|stream64_f2r_01|fixed|6,1378943233,16777471,18716095,18453927,18503449,18453927,18503449,18453927,17700,17634,17632,17632,0,0,2253,0,544280168,543201288,4096,4096,0,0,17633,17633,1001374828,1001374777,1001374812,1001374785,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1711299470,0,17443776,0,0,0,0,0,18520122,0,66,0,959553764,0,959553764,0,2080,949310001,0,15417541,0,0,0,0,0
1785952917423|1001|stream64_f2r_01|rotating|6,1378943233,33558272,18806752,18543730,213686,0,213686,0,4528,0,2264,0,0,0,17718,17718,14464576,0,4096,0,0,0,2264,0,988506072,0,988506080,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1034355681,0,0,0,17301504,0,17301504,0,53586,0,0,66,0,0,0,0,0,0,0,6981123,0,0,0,0,0
1785952922442|1001|stream64_f2r_01|fixed|8,1378943233,16777471,25008076,24659784,24723886,24659784,24723886,24659784,23650,23562,23560,23560,0,0,3011,0,727255511,725816786,4096,4096,0,0,23561,23561,1322543324,1322543337,1322543332,1322543345,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2032195831,0,23282080,0,0,0,0,0,24720425,0,88,0,1278990549,0,1278990549,0,2080,1267068041,0,18249047,0,0,0,0,0
1785952922442|1001|stream64_f2r_01|rotating|8,1378943233,33558272,25116692,24767156,285317,0,285317,0,6046,0,3023,0,0,0,23662,23662,19313752,0,4096,0,0,0,3023,0,1310334484,0,1310334492,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|10,1355896633,0,0,0,23330816,0,23330816,0,71471,0,0,89,0,0,0,0,0,0,0,7025781,0,0,0,0,0
1785952927450|1001|stream64_f2r_01|fixed|10,1378943233,16779144,31289810,30854796,30934270,30854796,30934270,30854796,29588,29478,29477,29477,0,0,3767,0,909896272,908099720,4096,4096,0,0,29477,29477,1643114059,1643114408,1643114067,1643114416,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,2353184176,0,29113792,0,0,0,0,0,30920204,0,111,0,1598520966,0,1598520966,0,2080,1584783797,0,21210475,0,0,0,0,0
1785952927450|1001|stream64_f2r_01|rotating|10,1378943233,33558272,31372555,30935886,356483,0,356483,0,7554,0,3777,0,0,0,29555,29555,24131008,0,4096,0,0,0,3777,0,1629816829,0,1629816837,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1675951570,0,0,0,29097984,0,29097984,0,89286,0,0,111,0,0,0,0,0,0,0,7075250,0,0,0,0,0
1785952932458|1001|stream64_f2r_01|fixed|12,1378943233,16781056,37566681,37043325,37139790,37043325,37139790,37043325,35524,35391,35390,35390,0,0,4523,0,1092418896,1090247864,4096,4096,0,0,35390,35390,1963615206,1963615547,1963615214,1963615555,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,544,0,532,0,136,133,0,1,544,0|14,2673950542,0,34952096,0,0,0,0,0,37117266,0,133,0,1917827756,0,1917827756,0,2080,1902412560,0,24041263,0,0,0,0,0
1785952932458|1001|stream64_f2r_01|rotating|12,1378943233,33558272,37675086,37150558,428123,0,428123,0,9072,0,4536,0,0,0,35492,35492,28980240,0,4096,0,0,0,4536,0,1951644521,0,1951644529,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,544,0,532,0,136,133,0,1,544,0|14,1996620111,0,0,0,34865152,0,34865152,0,107148,0,0,133,0,0,0,0,0,0,0,7121727,0,0,0,0,0
1785952937461|1001|stream64_f2r_01|fixed|14,1378943233,16777471,43842689,43232205,43344537,43232205,43344537,43232205,41457,41302,41300,41300,0,0,5278,0,1274871666,1272340440,4096,4096,0,0,41301,41301,2283881169,2283881190,2283881177,2283881166,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,632,0,620,0,158,155,0,1,632,0|16,2993034101,0,40750880,0,0,0,0,0,43282595,0,155,0,2235461619,0,2235461619,0,2080,2218357691,0,26874271,0,0,0,0,0
1785952937461|1001|stream64_f2r_01|rotating|14,1378943233,33558272,43917199,43305778,499004,0,499004,0,10574,0,5287,0,0,0,41370,41370,33778352,0,4096,0,0,0,5287,0,2270036313,0,2270036321,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,632,0,620,0,158,155,0,1,632,0|16,2317770031,0,0,0,40632320,0,40632320,0,125009,0,0,155,0,0,0,0,0,0,0,7163275,0,0,0,0,0
1785952942464|1001|stream64_f2r_01|fixed|16,1378943233,16777471,50119236,49422358,49549729,49422358,49549729,49422358,47391,47215,47212,47212,0,0,6034,0,1457365432,1454474256,4096,4096,0,0,47213,47213,2604207795,2604207808,2604207803,2604207784,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,720,0,708,0,180,177,0,1,720,0|18,3313219708,0,46573376,0,0,0,0,0,49469355,0,177,0,2554191602,0,2554191602,0,2080,2535405658,0,29705654,0,0,0,0,0
1785952942464|1001|stream64_f2r_01|rotating|16,1378943233,33558272,50187537,49489916,570262,0,570262,0,12084,0,6042,0,0,0,47277,47277,38601960,0,4096,0,0,0,6042,0,2590145508,0,2590145516,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,720,0,708,0,180,177,0,1,720,0|18,2635672843,0,0,0,46399488,0,46399488,0,142706,0,0,177,0,0,0,0,0,0,0,7204656,0,0,0,0,0
1785952947476|1001|stream64_f2r_01|fixed|18,1378943233,16777471,56394185,55609552,55753325,55609552,55753325,55609552,53330,53132,53129,53129,0,0,6790,0,1640005496,1636755733,4096,4096,0,0,53130,53130,2924795623,2924795612,2924795607,2924795620,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,808,0,796,0,202,199,0,1,808,0|20,3633932443,0,52411680,0,0,0,0,0,55659695,0,199,0,2873444761,0,2873444761,0,2080,2852977799,0,32539433,0,0,0,0,0
1785952947476|1001|stream64_f2r_01|rotating|18,1378943233,33558272,56468705,55682564,641800,0,641800,0,13600,0,6800,0,0,0,53200,53200,43444800,0,4096,0,0,0,6800,0,2911222621,0,2911222629,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,812,0,800,0,203,200,0,1,812,0|20,2955799360,0,0,0,52428800,0,52428800,0,160521,0,0,200,0,0,0,0,0,0,0,7252037,0,0,0,0,0
1785952952478|1001|stream64_f2r_01|fixed|20,1378943233,16781056,62660846,61789882,61948732,61789882,61948732,61789882,59260,59041,59038,59038,0,0,7545,0,1822384544,1818778176,4096,4096,0,0,59038,59038,3244915915,3244916264,3244915923,3244916272,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,900,0,888,0,225,222,0,1,900,0|22,3954048567,0,58227584,0,0,0,0,0,61836199,0,222,0,3192106909,0,3192106909,0,2080,3169822489,0,35500264,0,0,0,0,0
1785952952478|1001|stream64_f2r_01|rotating|20,1378943233,33558272,62750133,61877278,713155,0,713155,0,15112,0,7556,0,0,0,59122,59122,48274856,0,4096,0,0,0,7556,0,3231887755,0,3231887763,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,900,0,888,0,225,222,0,1,900,0|22,3276932211,0,0,0,58195968,0,58195968,0,178407,0,0,222,0,0,0,0,0,0,0,7300921,0,0,0,0,0
1785952957478|1001|stream64_f2r_01|fixed|22,1378943233,16777471,68929620,67971646,68146150,67971646,68146150,67971646,65193,64951,64947,64947,0,0,8301,0,2004790925,2000809352,4096,4096,0,0,64948,64948,3565231183,3565231180,3565231191,3565231188,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,988,0,976,0,247,244,0,1,988,0|24,4274054513,0,64050080,0,0,0,0,0,68014865,0,244,0,3510657231,0,3510657231,0,2080,3486689446,0,38332996,0,0,0,0,0
1785952957478|1001|stream64_f2r_01|rotating|22,1378943233,33558272,68987684,68029112,784133,0,784133,0,16616,0,8308,0,0,0,65002,65002,53079344,0,4096,0,0,0,8308,0,3550708995,0,3550709003,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,988,0,976,0,247,244,0,1,988,0|24,3595913930,0,0,0,63963136,0,63963136,0,196151,0,0,244,0,0,0,0,0,0,0,7346471,0,0,0,0,0
1785952965927|1002|stream64_f2r_02|fixed|26,1378943233,16777471,6153286,6068095,6083440,6068095,6083440,6068095,5818,5796,5795,5795,0,0,740,0,178890650,178547592,4096,4096,0,0,5796,5796,4105726710,4105726723,4105726718,4105726699,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|32,519954732,1,5765856,0,0,0,0,0,6118751,0,21,0,320268396,0,320268396,0,2080,313514119,0,9626808,0,0,0,0,0
1785952965927|1002|stream64_f2r_02|rotating|26,1378943233,33558272,6245205,6158263,70882,0,70882,0,1502,0,751,0,0,0,5882,5882,4798072,0,4096,0,0,0,751,0,4092827224,0,4092827232,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|32,4138491538,0,0,0,5767168,0,5767168,0,17862,0,0,22,0,0,0,0,0,0,0,6896002,0,0,0,0,0
1785952970936|1002|stream64_f2r_02|fixed|28,1378943233,16777471,12429853,12255490,12288657,12255490,12288657,12255490,11756,11711,11710,11710,0,0,1496,0,361465400,360747738,4096,4096,0,0,11711,11711,131358868,131358849,131358852,131358857,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|34,840577064,1,11589664,0,0,0,0,0,12307887,0,44,0,639434776,0,639434776,0,2080,630864338,0,12588039,0,0,0,0,0
