captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785971334311|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785971334311|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785971334463|1001|switch_00_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1785971334463|1001|switch_00_f2r_00000_4194304_active|rotating|1346362883|8193|8193
1785971338582|1001|switch_00_f2r_00000_4194304_terminal|fixed|1346371075|8193|8193
1785971338582|1001|switch_00_f2r_00000_4194304_terminal|rotating|1350565379|8193|8193
1785971338901|1002|switch_00_f2r_00001_4194304_active|fixed|1350565379|8193|8193
1785971338901|1002|switch_00_f2r_00001_4194304_active|rotating|1346362883|8193|8193
1785971343010|1002|switch_00_f2r_00001_4194304_terminal|fixed|1350565379|8193|8193
1785971343010|1002|switch_00_f2r_00001_4194304_terminal|rotating|1350565379|8193|8193
1785971343333|1003|switch_00_f2r_00002_4194304_active|fixed|1346371075|8193|8193
1785971343333|1003|switch_00_f2r_00002_4194304_active|rotating|1350557187|8193|8193
1785971347360|1003|switch_00_f2r_00002_4194304_terminal|fixed|1346371075|8193|8193
1785971347360|1003|switch_00_f2r_00002_4194304_terminal|rotating|1350565379|8193|8193
1785971347733|1004|switch_00_f2r_00003_1048576_active|fixed|1346371075|8193|8193
1785971347733|1004|switch_00_f2r_00003_1048576_active|rotating|1350557187|8193|8193
1785971349194|1004|switch_00_f2r_00003_1048576_terminal|fixed|1350565379|8193|8193
1785971349194|1004|switch_00_f2r_00003_1048576_terminal|rotating|1346371075|8193|8193
1785971349532|1005|switch_00_f2r_00004_1048576_active|fixed|1346371075|8193|8193
1785971349532|1005|switch_00_f2r_00004_1048576_active|rotating|1346362883|8193|8193
1785971350928|1005|switch_00_f2r_00004_1048576_terminal|fixed|1350565379|8193|8193
1785971350928|1005|switch_00_f2r_00004_1048576_terminal|rotating|1350565379|8193|8193
1785971351371|1006|switch_00_f2r_00005_1048576_active|fixed|1346371075|8193|8193
1785971351371|1006|switch_00_f2r_00005_1048576_active|rotating|1346362883|8193|8193
1785971352905|1006|switch_00_f2r_00005_1048576_terminal|fixed|1346371075|8193|8193
1785971352905|1006|switch_00_f2r_00005_1048576_terminal|rotating|1350565379|8193|8193
1785971353287|1007|switch_00_f2r_00006_1048576_active|fixed|1350565379|8193|8193
1785971353287|1007|switch_00_f2r_00006_1048576_active|rotating|1350557187|8193|8193
1785971354739|1007|switch_00_f2r_00006_1048576_terminal|fixed|1346371075|8193|8193
1785971354739|1007|switch_00_f2r_00006_1048576_terminal|rotating|1350565379|8193|8193
1785971355188|1008|switch_00_f2r_00007_1048576_active|fixed|1346371075|8193|8193
1785971355188|1008|switch_00_f2r_00007_1048576_active|rotating|1350557187|8193|8193
1785971356596|1008|switch_00_f2r_00007_1048576_terminal|fixed|1346371075|8193|8193
1785971356596|1008|switch_00_f2r_00007_1048576_terminal|rotating|1346371075|8193|8193
1785971356899|1009|switch_00_f2r_00008_1048576_active|fixed|1346371075|8193|8193
1785971356899|1009|switch_00_f2r_00008_1048576_active|rotating|1350557187|8193|8193
1785971358383|1009|switch_00_f2r_00008_1048576_terminal|fixed|1346371075|8193|8193
1785971358383|1009|switch_00_f2r_00008_1048576_terminal|rotating|1350565379|8193|8193
1785971364487|1010|switch_00_r2f_00000_4194304_active|fixed|1350557187|8193|8193
1785971364487|1010|switch_00_r2f_00000_4194304_active|rotating|1350565379|8193|8193
1785971368631|1010|switch_00_r2f_00000_4194304_terminal|fixed|1346371075|8193|8193
1785971368631|1010|switch_00_r2f_00000_4194304_terminal|rotating|1346371075|8193|8193
1785971368956|1011|switch_00_r2f_00001_4194304_active|fixed|1346362883|8193|8193
1785971368956|1011|switch_00_r2f_00001_4194304_active|rotating|1346371075|8193|8193
1785971373017|1011|switch_00_r2f_00001_4194304_terminal|fixed|1350565379|8193|8193
1785971373017|1011|switch_00_r2f_00001_4194304_terminal|rotating|1346371075|8193|8193
1785971373329|1012|switch_00_r2f_00002_4194304_active|fixed|1346362883|8193|8193
1785971373329|1012|switch_00_r2f_00002_4194304_active|rotating|1346371075|8193|8193
1785971377399|1012|switch_00_r2f_00002_4194304_terminal|fixed|1350565379|8193|8193
1785971377399|1012|switch_00_r2f_00002_4194304_terminal|rotating|1350565379|8193|8193
1785971377719|1013|switch_00_r2f_00003_1048576_active|fixed|1350557187|8193|8193
1785971377719|1013|switch_00_r2f_00003_1048576_active|rotating|1350565379|8193|8193
1785971379109|1013|switch_00_r2f_00003_1048576_terminal|fixed|1346371075|8193|8193
1785971379109|1013|switch_00_r2f_00003_1048576_terminal|rotating|1346371075|8193|8193
1785971379433|1014|switch_00_r2f_00004_1048576_active|fixed|1350557187|8193|8193
1785971379433|1014|switch_00_r2f_00004_1048576_active|rotating|1350565379|8193|8193
1785971380833|1014|switch_00_r2f_00004_1048576_terminal|fixed|1346371075|8193|8193
1785971380833|1014|switch_00_r2f_00004_1048576_terminal|rotating|1346371075|8193|8193
1785971381202|1015|switch_00_r2f_00005_1048576_active|fixed|1350557187|8193|8193
1785971381202|1015|switch_00_r2f_00005_1048576_active|rotating|1350565379|8193|8193
1785971382626|1015|switch_00_r2f_00005_1048576_terminal|fixed|1350565379|8193|8193
1785971382626|1015|switch_00_r2f_00005_1048576_terminal|rotating|1350565379|8193|8193
1785971382926|1016|switch_00_r2f_00006_1048576_active|fixed|1346362883|8193|8193
