captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785972340297|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785972340297|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785972342596|1002|ps_reset_rotating_1_clean64_active|fixed|1346362883|8193|8193
1785972342596|1002|ps_reset_rotating_1_clean64_active|rotating|1346371075|8193|8193
1785972347764|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785972347764|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785972352698|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785972352698|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785972357723|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785972357723|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972362748|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785972362748|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972367726|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785972367726|1002|ps_reset_rotating_1_clean64|rotating|1350565378|8193|8193
1785972372728|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785972372728|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972377722|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785972377722|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972382766|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785972382766|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972387753|1002|ps_reset_rotating_1_clean64|fixed|1346362883|8193|8193
1785972387753|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972392785|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785972392785|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972397790|1002|ps_reset_rotating_1_clean64|fixed|1350557187|8193|8193
1785972397790|1002|ps_reset_rotating_1_clean64|rotating|1346371074|8193|8193
1785972400781|1002|ps_reset_rotating_1_clean64_terminal|fixed|1350565379|8193|8193
1785972400781|1002|ps_reset_rotating_1_clean64_terminal|rotating|1346371075|8193|8193
1785972402882|1004|ps_reset_rotating_2_clean64_active|fixed|1350557187|8193|8193
1785972402882|1004|ps_reset_rotating_2_clean64_active|rotating|1350565379|8193|8193
1785972408022|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785972408022|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785972412995|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785972412995|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785972418034|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785972418034|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785972422994|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785972422994|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785972428046|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785972428046|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785972433029|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785972433029|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785972438005|1004|ps_reset_rotating_2_clean64|fixed|1350557187|8193|8193
1785972438005|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785972443019|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785972443019|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785972448056|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785972448056|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785972453061|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785972453061|1004|ps_reset_rotating_2_clean64|rotating|1346371074|8193|8193
1785972458071|1004|ps_reset_rotating_2_clean64|fixed|1346362883|8193|8193
1785972458071|1004|ps_reset_rotating_2_clean64|rotating|1350565378|8193|8193
1785972461014|1004|ps_reset_rotating_2_clean64_terminal|fixed|1350565379|8193|8193
1785972461014|1004|ps_reset_rotating_2_clean64_terminal|rotating|1350565379|8193|8193
1785972462989|1006|ps_reset_rotating_3_clean64_active|fixed|1346362883|8193|8193
1785972462989|1006|ps_reset_rotating_3_clean64_active|rotating|1346371075|8193|8193
1785972468140|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785972468140|1006|ps_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785972473145|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785972473145|1006|ps_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785972478151|1006|ps_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785972478151|1006|ps_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785972483279|1006|ps_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785972483279|1006|ps_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785972488192|1006|ps_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785972488192|1006|ps_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785972493169|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785972493169|1006|ps_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785972498184|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785972498184|1006|ps_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785972503177|1006|ps_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785972503177|1006|ps_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785972508195|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785972508195|1006|ps_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785972513201|1006|ps_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1785972513201|1006|ps_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1785972518230|1006|ps_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1785972518230|1006|ps_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1785972521161|1006|ps_reset_rotating_3_clean64_terminal|fixed|1346371075|8193|8193
1785972521161|1006|ps_reset_rotating_3_clean64_terminal|rotating|1350565379|8193|8193
1785972523190|1008|ps_reset_rotating_4_clean64_active|fixed|1350557187|8193|8193
1785972523190|1008|ps_reset_rotating_4_clean64_active|rotating|1346371075|8193|8193
