captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785975595456|1001|stale_segment_clean64|fixed|2,1378943233,16781056,6131340,6046620,69549,0,69549,0,1476,0,738,0,0,0,5782,5782,4715016,4715016,4096,4096,0,0,738,738,359444971,359444971,359444987,359444987,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1069915088,0,0,0,5505024,0,5505024,0,17528,0,0,21,0,0,0,0,0,0,0,6890050,0,0,0,0,0
1785975595456|1001|stale_segment_clean64|rotating|2,1378943233,33558272,6207615,6121280,6137127,6121280,6137127,6121280,5877,5854,5854,5854,0,0,748,0,180701560,180341976,4096,4096,0,0,5854,5854,346719831,346720148,346719839,346720156,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,392495278,0,5822496,0,0,0,0,0,6170715,0,22,0,323466523,0,323466523,0,2080,316570686,0,9777297,0,0,0,0,0
1785975600463|1001|stale_segment_clean64|fixed|4,1378943233,16781056,12410447,12238946,140882,0,140882,0,2990,0,1495,0,0,0,11702,11702,9551456,9551456,4096,4096,0,0,1495,1495,680434325,680434325,680434333,680434333,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1390505690,0,0,0,11534336,0,11534336,0,35362,0,0,44,0,0,0,0,0,0,0,6944215,0,0,0,0,0
1785975600463|1001|stale_segment_clean64|rotating|4,1378943233,33554687,12474088,12301177,12332452,12301177,12332452,12301177,11807,11763,11762,11762,0,0,1503,0,363069816,362350611,4096,4096,0,0,11762,11762,666849635,666849952,666849643,666849960,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,711975197,0,11629184,0,0,0,0,0,12337390,0,44,0,641494770,0,641494770,0,2080,632892864,0,12629339,0,0,0,0,0
1785975605463|1001|stale_segment_clean64|fixed|6,1378943233,16781056,18669657,18410720,211937,0,211937,0,4498,0,2249,0,0,0,17603,17603,14368728,14368728,4096,4096,0,0,2249,2249,999937689,999937689,999937697,999937697,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1710369078,0,0,0,17301504,0,17301504,0,53125,0,0,66,0,0,0,0,0,0,0,6985508,0,0,0,0,0
1785975605463|1001|stale_segment_clean64|rotating|6,1378943233,33554687,18741070,18481257,18528285,18481257,18528285,18481257,17738,17672,17670,17670,0,0,2258,0,545447154,544368029,4096,4096,0,0,17671,17671,987008234,987008239,987008242,987008247,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1032306237,0,17459584,0,0,0,0,0,18521098,0,66,0,960368210,0,960368210,0,2080,950064175,0,15482532,0,0,0,0,0
1785975610477|1001|stale_segment_clean64|fixed|8,1378943233,16781056,24950119,24604429,283273,0,283273,0,6012,0,3006,0,0,0,23526,23526,19205160,19205160,4096,4096,0,0,3006,3006,1320929045,1320929045,1320929053,1320929053,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2031671970,0,0,0,23068672,0,23068672,0,70983,0,0,88,0,0,0,0,0,0,0,7036299,0,0,0,0,0
1785975610477|1001|stale_segment_clean64|rotating|8,1378943233,33558272,25040317,24693624,24756006,24693624,24756006,24693624,23701,23612,23611,23611,0,0,3017,0,728827648,727389072,4096,4096,0,0,23611,23611,1308885337,1308885670,1308885345,1308885678,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1354112806,0,23305792,0,0,0,0,0,24731644,0,88,0,1280713227,0,1280713227,0,2080,1268709477,0,18336705,0,0,0,0,0
1785975615491|1001|stale_segment_clean64|fixed|10,1378943233,16781056,31228109,30794651,354612,0,354612,0,7526,0,3763,0,0,0,29444,29444,24041576,24041576,4096,4096,0,0,3763,3763,1641924563,1641924563,1641924571,1641924571,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2352273618,0,0,0,28835840,0,28835840,0,88793,0,0,110,0,0,0,0,0,0,0,7080544,0,0,0,0,0
1785975615491|1001|stale_segment_clean64|rotating|10,1378943233,33554687,31303958,30869812,30948597,30869812,30948597,30869812,29628,29517,29515,29515,0,0,3771,0,911098519,909299434,4096,4096,0,0,29516,29516,1628857784,1628857773,1628857792,1628857781,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1676522564,0,29169120,0,0,0,0,0,30952861,0,111,0,1601657153,0,1601657153,0,2080,1587819142,0,21324521,0,0,0,0,0
