captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785969771531|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785969771531|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785969771692|1001|stream128_f2r_01_active|fixed|1350565379|8193|8193
1785969771692|1001|stream128_f2r_01_active|rotating|1350557187|8193|8193
1785969776797|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969776797|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969781820|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969781820|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969786827|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969786827|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969791842|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969791842|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969796863|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969796863|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969801845|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969801845|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969806848|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969806848|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969811898|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969811898|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969816924|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969816924|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969821977|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969821977|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969826948|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969826948|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969831903|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969831903|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969836897|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969836897|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969841917|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969841917|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969846924|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969846924|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969851946|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969851946|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969856939|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969856939|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969861980|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969861980|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969866983|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969866983|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969872001|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969872001|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969876991|1001|stream128_f2r_01|fixed|1346371074|8193|8193
1785969876991|1001|stream128_f2r_01|rotating|1350557187|8193|8193
1785969882080|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969882080|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969887081|1001|stream128_f2r_01|fixed|1350565378|8193|8193
1785969887081|1001|stream128_f2r_01|rotating|1346362883|8193|8193
1785969887564|1001|stream128_f2r_01_terminal|fixed|1350565379|8193|8193
1785969887564|1001|stream128_f2r_01_terminal|rotating|1350565379|8193|8193
1785969887947|1002|stream128_f2r_02_active|fixed|1346371075|8193|8193
1785969887947|1002|stream128_f2r_02_active|rotating|1350557187|8193|8193
1785969893127|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785969893127|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785969898131|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785969898131|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785969903146|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785969903146|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785969908124|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785969908124|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785969913137|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785969913137|1002|stream128_f2r_02|rotating|1350557187|8193|8193
1785969918138|1002|stream128_f2r_02|fixed|1346371074|8193|8193
1785969918138|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785969923153|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785969923153|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785969928179|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785969928179|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785969933201|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785969933201|1002|stream128_f2r_02|rotating|1346362883|8193|8193
1785969938215|1002|stream128_f2r_02|fixed|1350565378|8193|8193
1785969938215|1002|stream128_f2r_02|rotating|1350557187|8193|8193
