captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785982243686|1001|dma_reset_fixed_1_clean64|fixed|2,1378943233,16777471,6148611,6064602,6078765,6064602,6078765,6064602,5820,5798,5797,5797,0,0,740,0,178951385,178608284,4096,4096,0,0,5798,5798,364446407,364446404,364446415,364446412,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1103228677,0,5765856,0,0,0,0,0,6116246,0,21,0,320484895,0,320484895,0,2080,313702826,0,9654569,0,0,0,0,0
1785982243686|1001|dma_reset_fixed_1_clean64|rotating|2,1378943233,33558272,6226699,6141136,70787,0,70787,0,1500,0,750,0,0,0,5871,5871,4791688,4791688,4096,4096,0,0,750,750,349819639,349819639,349819647,349819647,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,397951639,0,0,0,5767168,0,5767168,0,17862,0,0,22,0,0,0,0,0,0,0,6900218,0,0,0,0,0
1785982248693|1001|dma_reset_fixed_1_clean64|fixed|4,1378943233,16781056,12417068,12245222,12275872,12245222,12275872,12245222,11757,11711,11711,11711,0,0,1496,0,361496032,360776992,4096,4096,0,0,11711,11711,684996637,684996986,684996645,684996994,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1423813686,0,11597568,0,0,0,0,0,12297280,0,44,0,639611976,0,639611976,0,2080,630991129,0,12640114,0,0,0,0,0
1785982248693|1001|dma_reset_fixed_1_clean64|rotating|4,1378943233,33558272,12503417,12330447,142238,0,142238,0,3014,0,1507,0,0,0,11792,11792,9628168,9628168,4096,4096,0,0,1507,1507,670811455,670811455,670811463,670811463,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,718250814,0,0,0,11534336,0,11534336,0,35677,0,0,44,0,0,0,0,0,0,0,6936123,0,0,0,0,0
1785982253707|1001|dma_reset_fixed_1_clean64|fixed|6,1378943233,16777471,18694796,18435945,18482150,18435945,18482150,18435945,17699,17631,17630,17630,0,0,2253,0,544206982,543127633,4096,4096,0,0,17631,17631,1005753392,1005753389,1005753400,1005753397,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1744732017,0,17427968,0,0,0,0,0,18491590,0,66,0,959072707,0,959072707,0,2080,948736206,0,15506832,0,0,0,0,0
1785982253707|1001|dma_reset_fixed_1_clean64|rotating|6,1378943233,33558272,18773775,18513968,213498,0,213498,0,4524,0,2262,0,0,0,17704,17704,14451808,14451808,4096,4096,0,0,2262,2262,990956030,990956030,990956038,990956038,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1038217953,0,0,0,17301504,0,17301504,0,53492,0,0,66,0,0,0,0,0,0,0,6981061,0,0,0,0,0
1785982258722|1001|dma_reset_fixed_1_clean64|fixed|8,1378943233,16777471,24981393,24635011,24697297,24635011,24697297,24635011,23648,23558,23557,23557,0,0,3010,0,727165881,725727404,4096,4096,0,0,23558,23558,1326918422,1326918411,1326918430,1326918419,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2065506571,0,23266272,0,0,0,0,0,24682897,0,88,0,1278387685,0,1278387685,0,2080,1266342280,0,18368497,0,0,0,0,0
1785982258722|1001|dma_reset_fixed_1_clean64|rotating|8,1378943233,33558272,25063608,24716344,285035,0,285035,0,6040,0,3020,0,0,0,23634,23634,19294568,19294568,4096,4096,0,0,3020,3020,1312384876,1312384876,1312384884,1312384884,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|10,1359961298,0,0,0,23330816,0,23330816,0,71400,0,0,89,0,0,0,0,0,0,0,7027477,0,0,0,0,0
1785982263725|1001|dma_reset_fixed_1_clean64|fixed|10,1378943233,16777471,31246707,30813967,30891354,30813967,30891354,30813967,29576,29464,29463,29463,0,0,3765,0,909473092,907677415,4096,4096,0,0,29464,29464,1646950797,1646950818,1646950805,1646950826,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2385788953,0,29088768,0,0,0,0,0,30865616,0,110,0,1597214443,0,1597214443,0,2080,1583459153,0,21227749,0,0,0,0,0
1785982263725|1001|dma_reset_fixed_1_clean64|rotating|10,1378943233,33558272,31338661,30904162,356483,0,356483,0,7554,0,3777,0,0,0,29550,29550,24131008,24131008,4096,4096,0,0,3777,3777,1633183001,1633183001,1633183009,1633183009,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1680834930,0,0,0,29097984,0,29097984,0,89262,0,0,111,0,0,0,0,0,0,0,7065939,0,0,0,0,0
