captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785982414677|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785982414677|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785982414833|1001|dma_reset_fixed_2_clean64_active|fixed|1350565379|8193|8193
1785982414833|1001|dma_reset_fixed_2_clean64_active|rotating|1350557187|8193|8193
1785982419948|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982419948|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982424971|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982424971|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982429971|1001|dma_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1785982429971|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982435016|1001|dma_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1785982435016|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982439985|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982439985|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982445002|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982445002|1001|dma_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1785982450025|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982450025|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982455012|1001|dma_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1785982455012|1001|dma_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1785982460001|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982460001|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982465036|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982465036|1001|dma_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1785982470042|1001|dma_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1785982470042|1001|dma_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1785982472980|1001|dma_reset_fixed_2_clean64_terminal|fixed|1346371075|8193|8193
1785982472980|1001|dma_reset_fixed_2_clean64_terminal|rotating|1346371075|8193|8193
1785982473522|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785982473522|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
