captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785983585376|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785983585376|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785983585550|1001|dma_reset_rotating_4_clean64_active|fixed|1346362883|8193|8193
1785983585550|1001|dma_reset_rotating_4_clean64_active|rotating|1346371075|8193|8193
1785983590663|1001|dma_reset_rotating_4_clean64|fixed|1350557187|8193|8193
1785983590663|1001|dma_reset_rotating_4_clean64|rotating|1350565378|8193|8193
1785983595660|1001|dma_reset_rotating_4_clean64|fixed|1350557187|8193|8193
1785983595660|1001|dma_reset_rotating_4_clean64|rotating|1346371074|8193|8193
1785983600671|1001|dma_reset_rotating_4_clean64|fixed|1346362883|8193|8193
1785983600671|1001|dma_reset_rotating_4_clean64|rotating|1350565378|8193|8193
1785983605687|1001|dma_reset_rotating_4_clean64|fixed|1350557187|8193|8193
1785983605687|1001|dma_reset_rotating_4_clean64|rotating|1346371074|8193|8193
1785983610733|1001|dma_reset_rotating_4_clean64|fixed|1346362883|8193|8193
1785983610733|1001|dma_reset_rotating_4_clean64|rotating|1350565378|8193|8193
1785983615705|1001|dma_reset_rotating_4_clean64|fixed|1346362883|8193|8193
1785983615705|1001|dma_reset_rotating_4_clean64|rotating|1346371074|8193|8193
1785983620692|1001|dma_reset_rotating_4_clean64|fixed|1346362883|8193|8193
1785983620692|1001|dma_reset_rotating_4_clean64|rotating|1350565378|8193|8193
1785983625711|1001|dma_reset_rotating_4_clean64|fixed|1346362883|8193|8193
1785983625711|1001|dma_reset_rotating_4_clean64|rotating|1346371074|8193|8193
1785983630711|1001|dma_reset_rotating_4_clean64|fixed|1350557187|8193|8193
1785983630711|1001|dma_reset_rotating_4_clean64|rotating|1346371074|8193|8193
1785983635707|1001|dma_reset_rotating_4_clean64|fixed|1350557187|8193|8193
1785983635707|1001|dma_reset_rotating_4_clean64|rotating|1350565378|8193|8193
1785983640732|1001|dma_reset_rotating_4_clean64|fixed|1350557187|8193|8193
1785983640732|1001|dma_reset_rotating_4_clean64|rotating|1346371074|8193|8193
1785983643702|1001|dma_reset_rotating_4_clean64_terminal|fixed|1346371075|8193|8193
1785983643702|1001|dma_reset_rotating_4_clean64_terminal|rotating|1346371075|8193|8193
1785983644237|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785983644237|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
