captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785984924769|1001|duplicate_segment_clean64|fixed|2,1378943233,16777471,6142363,6057164,6072611,6057164,6072611,6057164,5809,5787,5786,5786,0,0,739,0,178619182,178277361,4096,4096,0,0,5787,5787,364329287,364329260,364329295,364329268,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1137992169,0,5757952,0,0,0,0,0,6109143,0,21,0,319927764,0,319927764,0,2080,313124347,0,9674274,0,0,0,0,0
1785984924769|1001|duplicate_segment_clean64|rotating|2,1378943233,33558272,6211659,6124941,70598,0,70598,0,1496,0,748,0,0,0,5852,5852,4778928,4778928,4096,4096,0,0,748,748,349952298,349952298,349952306,349952306,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,396121536,0,0,0,5767168,0,5767168,0,17744,0,0,22,0,0,0,0,0,0,0,6900533,0,0,0,0,0
1785984929772|1001|duplicate_segment_clean64|fixed|4,1378943233,16777471,12412627,12240795,12271715,12240795,12271715,12240795,11737,11693,11692,11692,0,0,1493,0,360932560,360231724,4096,4096,0,0,11693,11693,684397010,684396999,684396994,684397007,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1457923972,0,11573856,0,0,0,0,0,12286776,0,44,0,638405591,0,638405591,0,2080,629730060,0,12689761,0,0,0,0,0
1785984929772|1001|duplicate_segment_clean64|rotating|4,1378943233,33558272,12500738,12327322,141953,0,141953,0,3008,0,1504,0,0,0,11776,11776,9608984,9608984,4096,4096,0,0,1504,1504,670672097,670672097,670672105,670672105,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,717281018,0,0,0,11534336,0,11534336,0,35606,0,0,44,0,0,0,0,0,0,0,6946156,0,0,0,0,0
1785984934777|1001|duplicate_segment_clean64|fixed|6,1378943233,16781056,18690159,18429837,18477797,18429837,18477797,18429837,17672,17605,17605,17605,0,0,2250,0,543429712,542355104,4096,4096,0,0,17605,17605,1004892838,1004893179,1004892846,1004893187,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1779458543,0,17420064,0,0,0,0,0,18499464,0,66,0,958478610,0,958478610,0,2080,948079749,0,15567549,0,0,0,0,0
1785984934777|1001|duplicate_segment_clean64|rotating|6,1378943233,33558272,18808289,18546521,213686,0,213686,0,4528,0,2264,0,0,0,17716,17716,14464576,14464576,4096,4096,0,0,2264,2264,992976548,992976548,992976556,992976556,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1039640359,0,0,0,17301504,0,17301504,0,53539,0,0,66,0,0,0,0,0,0,0,6983343,0,0,0,0,0
1785984939782|1001|duplicate_segment_clean64|fixed|8,1378943233,16781056,24963945,24617090,24680322,24617090,24680322,24617090,23606,23517,23516,23516,0,0,3005,0,725891064,724456096,4096,4096,0,0,23516,23516,1325218946,1325219279,1325218954,1325219287,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2098861085,0,23226752,0,0,0,0,0,24668252,0,88,0,1276429480,0,1276429480,0,2080,1264289401,0,18454740,0,0,0,0,0
1785984939782|1001|duplicate_segment_clean64|rotating|8,1378943233,33558272,25034244,24686661,284379,0,284379,0,6026,0,3013,0,0,0,23582,23582,19249880,19249880,4096,4096,0,0,3013,3013,1310562987,1310562987,1310562995,1310562995,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1357155975,0,0,0,23068672,0,23068672,0,71212,0,0,88,0,0,0,0,0,0,0,7029053,0,0,0,0,0
1785984944783|1001|duplicate_segment_clean64|fixed|10,1378943233,16779383,31234752,30800896,30879870,30800896,30879870,30800896,29535,29424,29422,29422,0,0,3760,0,908198196,906404863,4096,4096,0,0,29423,29423,1645295180,1645295185,1645295188,1645295193,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2419028478,0,29049248,0,0,0,0,0,30854093,0,110,0,1595141249,0,1595141249,0,2080,1581263320,0,21341957,0,0,0,0,0
1785984944783|1001|duplicate_segment_clean64|rotating|10,1378943233,33558272,31304010,30869437,355633,0,355633,0,7536,0,3768,0,0,0,29487,29487,24073496,24073496,4096,4096,0,0,3768,3768,1630728085,1630728085,1630728093,1630728093,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,1677046237,0,0,0,28835840,0,28835840,0,89002,0,0,110,0,0,0,0,0,0,0,7076024,0,0,0,0,0
1785984949783|1001|duplicate_segment_clean64|fixed|12,1378943233,16777471,37506985,36985741,37080847,36985741,37080847,36985741,35465,35332,35329,35329,0,0,4515,0,1090542177,1088388696,4096,4096,0,0,35330,35330,1965405420,1965405433,1965405428,1965405409,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,540,0,528,0,135,132,0,1,540,0|14,2738824900,0,34863840,0,0,0,0,0,37032914,0,132,0,1913484023,0,1913484023,0,2080,1897876054,0,24219667,0,0,0,0,0
1785984949783|1001|duplicate_segment_clean64|rotating|12,1378943233,33558272,37570471,37047855,426891,0,426891,0,9046,0,4523,0,0,0,35389,35389,28897168,28897168,4096,4096,0,0,4523,4523,1950687884,1950687884,1950687900,1950687900,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,544,0,532,0,136,133,0,1,544,0|14,1997015487,0,0,0,34865152,0,34865152,0,106817,0,0,133,0,0,0,0,0,0,0,7119725,0,0,0,0,0
1785984954791|1001|duplicate_segment_clean64|fixed|14,1378943233,16777471,43777058,43169207,43279663,43169207,43279663,43169207,41396,41240,41237,41237,0,0,5270,0,1272913867,1270383526,4096,4096,0,0,41238,41238,2285700761,2285700750,2285700769,2285700758,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,632,0,620,0,158,155,0,1,632,0|16,3059305846,0,40689800,0,0,0,0,0,43219861,0,155,0,2232508479,0,2232508479,0,2080,2215027951,0,27237555,0,0,0,0,0
1785984954791|1001|duplicate_segment_clean64|rotating|14,1378943233,33558272,43867834,43258911,498437,0,498437,0,10562,0,5281,0,0,0,41322,41322,33740032,33740032,4096,4096,0,0,5281,5281,2272141566,2272141566,2272141574,2272141574,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,632,0,620,0,158,155,0,1,632,0|16,2318812283,0,0,0,40632320,0,40632320,0,124727,0,0,155,0,0,0,0,0,0,0,7160942,0,0,0,0,0
1785984959800|1001|duplicate_segment_clean64|fixed|16,1378943233,16777471,50057817,49362190,49489067,49362190,49489067,49362190,47333,47156,47152,47152,0,0,6026,0,1455493458,1452604181,4096,4096,0,0,47153,47153,2606229153,2606229150,2606229169,2606229158,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,720,0,708,0,180,177,0,1,720,0|18,3379751405,0,46518048,0,0,0,0,0,49411142,0,177,0,2551496976,0,2551496976,0,2080,2532286024,0,30118784,0,0,0,0,0
1785984959800|1001|duplicate_segment_clean64|rotating|16,1378943233,33558272,50131351,49434962,569602,0,569602,0,12070,0,6035,0,0,0,47221,47221,38557280,38557280,4096,4096,0,0,6035,6035,2591870903,2591870903,2591870911,2591870911,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,720,0,708,0,180,177,0,1,720,0|18,2638229169,0,0,0,46399488,0,46399488,0,142495,0,0,177,0,0,0,0,0,0,0,7202127,0,0,0,0,0
