captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785980017554|1001|lane0_unavailable|fixed|2,1378943233,16779622,0,5996181,0,5944932,0,5944932,0,5680,0,5663,0,0,0,543,0,174829072,0,4096,0,0,0,5664,0,362654966,0,362654926,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,76,0,64,0,19,16,0,1,76,0|4,1081259275,0,4241728,0,0,0,0,0,4504373,0,16,0,321876798,0,321876798,0,2080,315435913,0,9009086,0,0,0,0,0
1785980017554|1001|lane0_unavailable|rotating|2,1378943233,33558272,0,6102316,0,52196,0,52196,0,1106,0,553,0,0,0,5763,3533088,3533088,4096,4096,0,0,553,553,351035077,351035077,351035085,351035085,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,76,0,64,0,19,16,0,1,76,0|4,398757436,0,0,0,4194304,0,4194304,0,13262,0,0,16,0,0,0,0,0,0,0,6885440,0,0,0,0,0
1785980022559|1001|lane0_unavailable|fixed|4,1378943233,16777710,0,12097181,0,11993641,0,11993641,0,11461,0,11427,0,0,0,1097,0,352752568,0,4096,0,0,0,11428,0,682670952,0,682670944,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,140,0,128,0,35,32,0,1,140,0|6,1402270899,0,8530880,0,0,0,0,0,9054354,0,32,0,641816134,0,641816134,0,2077,634131237,0,11100726,0,0,0,0,0
1785980022559|1001|lane0_unavailable|rotating|4,1378943233,33558272,0,12201096,0,104395,0,104395,0,2212,0,1106,0,0,0,11526,7066176,7066176,4096,4096,0,0,1106,1106,670710064,670710064,670710072,670710072,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,140,0,128,0,35,32,0,1,140,0|6,715298969,0,0,0,8388608,0,8388608,0,26169,0,0,32,0,0,0,0,0,0,0,6914893,0,0,0,0,0
1785980027595|1001|lane0_unavailable|fixed|6,1378943233,16778666,0,18241418,0,18085302,0,18085302,0,17287,0,17237,0,0,0,1654,0,532089306,0,4096,0,0,0,17238,0,1005068296,0,1005068304,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,204,0,192,0,51,48,0,1,204,0|8,1722589768,0,12804224,0,0,0,0,0,13590596,0,48,0,961066667,0,961066667,0,2080,952133590,0,13193140,0,0,0,0,0
1785980027595|1001|lane0_unavailable|rotating|6,1378943233,33557555,0,18319987,0,156863,0,156863,0,3324,0,1662,0,0,0,17312,10618059,10618059,4096,4096,0,0,1662,1662,992148502,992148502,992148510,992148510,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,67108864,262144,256,0,0,0,0,208,0,196,0,52,49,0,1,208,0|8,1037112608,0,0,0,12845056,0,12845056,0,39334,0,0,49,0,0,0,0,0,0,0,6947629,0,0,0,0,0
1785980032596|1001|lane0_unavailable|fixed|8,1378943233,16777710,0,24357685,0,24149100,0,24149100,0,23082,0,23015,0,0,0,2210,0,710445104,0,4096,0,0,0,23016,0,1325887845,0,1325887821,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,272,0,260,0,68,65,0,1,272,0|10,2043445960,0,17078880,0,0,0,0,0,18136529,0,65,0,1280854195,0,1280854195,0,2080,1270537413,0,15416782,0,0,0,0,0
1785980032596|1001|lane0_unavailable|rotating|8,1378943233,33558272,0,24446166,0,209342,0,209342,0,4436,0,2218,0,0,0,23099,14170672,14170672,4096,4096,0,0,2218,2218,1313235198,1313235198,1313235206,1313235206,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,272,0,260,0,68,65,0,1,272,0|10,1357754020,0,0,0,17039360,0,17039360,0,52406,0,0,65,0,0,0,0,0,0,0,6977418,0,0,0,0,0
1785980037606|1001|lane0_unavailable|fixed|10,1378943233,16779622,0,30460382,0,30199601,0,30199601,0,28863,0,28780,0,0,0,2763,0,888401710,0,4096,0,0,0,28781,0,1645830233,0,1645830241,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,336,0,324,0,84,81,0,1,336,0|12,2363414396,0,21352224,0,0,0,0,0,22671568,0,81,0,1599754295,0,1599754295,0,2080,1588190406,0,17508123,0,0,0,0,0
1785980037606|1001|lane0_unavailable|rotating|10,1378943233,33558272,0,30523016,0,261351,0,261351,0,5538,0,2769,0,0,0,28839,17690968,17690968,4096,4096,0,0,2769,2769,1631729141,1631729141,1631729149,1631729149,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,336,0,324,0,84,81,0,1,336,0|12,1676436741,0,0,0,21233664,0,21233664,0,65409,0,0,81,0,0,0,0,0,0,0,7006364,0,0,0,0,0
1785980042622|1001|lane0_unavailable|fixed|12,1378943233,16777710,0,36583774,0,36270510,0,36270510,0,34664,0,34566,0,0,0,3319,0,1066978245,0,4096,0,0,0,34566,0,1966899996,0,1966900004,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,400,0,388,0,100,97,0,1,400,0|14,2684823499,0,25641376,0,0,0,0,0,27227396,0,97,0,1920091110,0,1920091110,0,2054,1907283180,0,19599792,0,0,0,0,0
1785980042622|1001|lane0_unavailable|rotating|12,1378943233,33558272,0,36656879,0,313823,0,313823,0,6650,0,3325,0,0,0,34635,21243176,21243176,4096,4096,0,0,3325,3325,1953166848,1953166848,1953166856,1953166856,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,400,0,388,0,100,97,0,1,400,0|14,1998443684,0,0,0,25427968,0,25427968,0,78549,0,0,97,0,0,0,0,0,0,0,7038046,0,0,0,0,0
1785980047630|1001|lane0_unavailable|fixed|14,1378943233,16777710,0,42698122,0,42332580,0,42332580,0,40456,0,40341,0,0,0,3873,0,1245270824,0,4096,0,0,0,40342,0,2287433426,0,2287433386,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,468,0,456,0,117,114,0,1,468,0|16,3005623053,0,29916032,0,0,0,0,0,31773552,0,114,0,2239822000,0,2239822000,0,2080,2225631390,0,21822409,0,0,0,0,0
1785980047630|1001|lane0_unavailable|rotating|14,1378943233,33558272,0,42776699,0,366300,0,366300,0,7762,0,3881,0,0,0,40416,24795456,24795456,4096,4096,0,0,3881,3881,2274252546,2274252546,2274252554,2274252554,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,468,0,456,0,117,114,0,1,468,0|16,2318917103,0,0,0,29884416,0,29884416,0,91645,0,0,114,0,0,0,0,0,0,0,7074302,0,0,0,0,0
1785980052634|1001|lane0_unavailable|fixed|16,1378943233,16777710,0,48803182,0,48385255,0,48385255,0,46242,0,46110,0,0,0,4428,0,1423342564,0,4096,0,0,0,46111,0,2607710725,0,2607710733,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,532,0,520,0,133,130,0,1,532,0|18,3324260418,0,34165664,0,0,0,0,0,36289032,0,130,0,2557396957,0,2557396957,0,2080,2541953303,0,23914596,0,0,0,0,0
1785980052634|1001|lane0_unavailable|rotating|16,1378943233,33558272,0,48869112,0,418497,0,418497,0,8868,0,4434,0,0,0,46173,28328568,28328568,4096,4096,0,0,4434,4434,2593928089,2593928089,2593928097,2593928097,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,532,0,520,0,133,130,0,1,532,0|18,2638344838,0,0,0,34078720,0,34078720,0,104695,0,0,130,0,0,0,0,0,0,0,7103219,0,0,0,0,0
1785980057641|1001|lane0_unavailable|fixed|18,1378943233,16777710,0,54915340,0,54445119,0,54445119,0,52032,0,51884,0,0,0,4982,0,1601577963,0,4096,0,0,0,51885,0,2928185989,0,2928185997,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,596,0,584,0,149,146,0,1,596,0|20,3645755468,0,38462720,0,0,0,0,0,40846057,0,146,0,2877817743,0,2877817743,0,2080,2861131517,0,26006493,0,0,0,0,0
1785980057641|1001|lane0_unavailable|rotating|18,1378943233,33558272,0,54981075,0,470785,0,470785,0,9976,0,4988,0,0,0,51947,31868016,31868016,4096,4096,0,0,4988,4988,2914189514,2914189514,2914189522,2914189522,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,596,0,584,0,149,146,0,1,596,0|20,2959664546,0,0,0,38273024,0,38273024,0,117812,0,0,146,0,0,0,0,0,0,0,7129272,0,0,0,0,0
1785980062644|1001|lane0_unavailable|fixed|20,1378943233,16779144,0,61022598,0,60500097,0,60500097,0,57817,0,57654,0,0,0,5536,0,1779662672,0,4096,0,0,0,57654,0,3248345774,0,3248345782,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,660,0,648,0,165,162,0,1,660,0|22,3966218993,0,42729472,0,0,0,0,0,45387032,0,163,0,3197214580,0,3197214580,0,2080,3179167006,0,28206112,0,0,0,0,0
1785980062644|1001|lane0_unavailable|rotating|20,1378943233,33558272,0,61087591,0,523162,0,523162,0,11086,0,5543,0,0,0,57715,35413896,35413896,4096,4096,0,0,5543,5543,3234685531,3234685531,3234685539,3234685539,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,664,0,652,0,166,163,0,1,664,0|22,3279076787,0,0,0,42729472,0,42729472,0,130861,0,0,163,0,0,0,0,0,0,0,7170364,0,0,0,0,0
1785980067655|1001|lane0_unavailable|fixed|22,1378943233,16779144,0,67137826,0,66562847,0,66562847,0,63611,0,63431,0,0,0,6092,0,1957987440,0,4096,0,0,0,63431,0,3569109266,0,3569109282,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,728,0,716,0,182,179,0,1,728,0|24,4286500463,0,47002816,0,0,0,0,0,49925966,0,179,0,3516427714,0,3516427714,0,2080,3497108236,0,30322219,0,0,0,0,0
1785980067655|1001|lane0_unavailable|rotating|22,1378943233,33558272,0,67196885,0,575453,0,575453,0,12194,0,6097,0,0,0,63487,38953400,38953400,4096,4096,0,0,6097,6097,3554947508,3554947508,3554947516,3554947516,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,728,0,716,0,182,179,0,1,728,0|24,3599734661,0,0,0,46923776,0,46923776,0,143958,0,0,179,0,0,0,0,0,0,0,7198167,0,0,0,0,0
1785980072657|1001|lane0_unavailable|fixed|24,1378943233,16777710,0,73236005,0,72608828,0,72608828,0,69395,0,69198,0,0,0,6645,0,2136029327,0,4096,0,0,0,69199,0,3889210154,0,3889210162,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,792,0,780,0,198,195,0,1,792,0|26,311860025,1,51284064,0,0,0,0,0,54461342,0,195,0,3835684260,0,3835684260,0,2080,3815118141,0,32414791,0,0,0,0,0
1785980072657|1001|lane0_unavailable|rotating|24,1378943233,33558272,0,73336631,0,628026,0,628026,0,13308,0,6654,0,0,0,69294,42511992,42511992,4096,4096,0,0,6654,6654,3876976499,3876976499,3876976507,3876976507,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,792,0,780,0,198,195,0,1,792,0|26,3921945144,0,0,0,51118080,0,51118080,0,157099,0,0,195,0,0,0,0,0,0,0,7226201,0,0,0,0,0
1785980077666|1001|lane0_unavailable|fixed|26,1378943233,16777710,0,79347633,0,78668077,0,78668077,0,75190,0,74977,0,0,0,7200,0,2314406304,0,4096,0,0,0,74978,0,4209894186,0,4209894170,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,856,0,844,0,214,211,0,1,856,0|28,633098810,1,55565312,0,0,0,0,0,59011045,0,211,0,4155852733,0,4155852733,0,2048,4134040238,0,34507098,0,0,0,0,0
1785980077666|1001|lane0_unavailable|rotating|26,1378943233,33558272,0,79431353,0,680308,0,680308,0,14416,0,7208,0,0,0,75056,46051488,46051488,4096,4096,0,0,7208,7208,4196755025,4196755025,4196755033,4196755033,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,860,0,848,0,215,212,0,1,860,0|28,4242074928,0,0,0,55574528,0,55574528,0,170171,0,0,212,0,0,0,0,0,0,0,7264399,0,0,0,0,0
1785980082677|1001|lane0_unavailable|fixed|28,1378943233,16780578,0,85450665,0,84718728,0,84718728,0,80980,0,80749,0,0,0,7755,0,2492560043,0,4096,0,0,0,80750,0,235396048,0,235396056,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,924,0,912,0,231,228,0,1,924,0|30,952996525,1,59832064,0,0,0,0,0,63539206,0,228,0,179716464,1,179716464,1,2080,156518752,1,36730555,0,0,0,0,0
1785980082677|1001|lane0_unavailable|rotating|28,1378943233,33558272,0,85525805,0,732599,0,732599,0,15524,0,7762,0,0,0,80820,49590976,49590976,4096,4096,0,0,7762,7762,222181078,222181078,222181086,222181086,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,924,0,912,0,231,228,0,1,924,0|30,270431292,1,0,0,59768832,0,59768832,0,183381,0,0,228,0,0,0,0,0,0,0,7296613,0,0,0,0,0
1785980087717|1001|lane0_unavailable|fixed|30,1378943233,16777710,0,91602491,0,90817883,0,90817883,0,86811,0,86564,0,0,0,8313,0,2672065247,0,4096,0,0,0,86565,0,558079758,0,558079766,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,988,0,976,0,247,244,0,1,988,0|32,1277227179,1,64160736,0,0,0,0,0,68132528,0,244,0,502864950,1,502864950,1,2080,478430817,1,38823089,0,0,0,0,0
