captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785985859076|1002|mixed_30min_warmup_f2r_00001_16777216|fixed|4,1378943233,16777471,6557695,6471648,6487475,6471648,6487475,6471648,11690,11668,5833,5833,0,0,744,0,180090480,179747339,4096,4096,0,0,5834,5834,649825150,649825163,649825158,649825171,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|10,1362960787,0,5806688,0,0,0,0,0,6529897,0,22,0,321313116,0,321313116,0,2080,315813850,0,7904163,0,0,0,0,0
1785985859076|1002|mixed_30min_warmup_f2r_00001_16777216|rotating|4,1378943233,33558272,6693211,6604962,71735,0,71735,0,1520,0,760,0,0,0,5954,5954,4855616,4855616,4096,4096,0,0,760,760,637200850,637200850,637200858,637200858,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|10,684243958,0,0,0,5767168,0,5767168,0,18051,0,0,22,0,0,0,0,0,0,0,5017196,0,0,0,0,0
1785985864078|1002|mixed_30min_warmup_f2r_00001_16777216|fixed|6,1378943233,16777471,13193030,13018505,13051455,13018505,13051455,13018505,23523,23478,11738,11738,0,0,1500,0,362386792,361668111,4096,4096,0,0,11739,11739,969935189,969935170,969935165,969935178,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|12,1681638527,0,11597568,0,0,0,0,0,13049905,0,44,0,638543136,0,638543136,0,2080,631314981,0,10775631,0,0,0,0,0
1785985864078|1002|mixed_30min_warmup_f2r_00001_16777216|rotating|6,1378943233,33558272,13246598,13071499,142143,0,142143,0,3012,0,1506,0,0,0,11786,11786,9621776,9621776,4096,4096,0,0,1506,1506,953482281,953482281,953482289,953482289,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|12,1000321242,0,0,0,11534336,0,11534336,0,35630,0,0,44,0,0,0,0,0,0,0,5055808,0,0,0,0,0
1785985919024|1015|mixed_30min_warmup_r2f_00001_16777216|fixed|34,1378943233,16781056,6551966,6466002,70112,0,70112,0,1488,0,744,0,0,0,5833,5833,4753352,4753352,4096,4096,0,0,744,744,191539390,191539390,191539398,191539398,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|92,905381662,1,0,0,5767168,0,5767168,0,17740,0,0,22,0,0,0,0,0,0,0,5024938,0,0,0,0,0
1785985919024|1015|mixed_30min_warmup_r2f_00001_16777216|rotating|34,1378943233,33554687,6643432,6555736,6572284,6555736,6572284,6555736,11853,11830,5914,5914,0,0,755,0,182599618,182240157,4096,4096,0,0,5915,5915,177528872,177528853,177528880,177528861,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|92,224462051,1,5869920,0,0,0,0,0,6599445,0,22,0,324903634,0,324903634,0,2080,319453953,0,7869459,0,0,0,0,0
1785985924033|1015|mixed_30min_warmup_r2f_00001_16777216|fixed|36,1378943233,16781056,13186183,13011844,141354,0,141354,0,3000,0,1500,0,0,0,11739,11739,9583400,9583400,4096,4096,0,0,1500,1500,511880260,511880260,511880268,511880268,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|94,1227853109,1,0,0,11534336,0,11534336,0,35645,0,0,44,0,0,0,0,0,0,0,5071350,0,0,0,0,0
1785985924033|1015|mixed_30min_warmup_r2f_00001_16777216|rotating|36,1378943233,33554687,13334085,13158198,13191221,13158198,13191221,13158198,23789,23744,11871,11871,0,0,1516,0,366493239,365774554,4096,4096,0,0,11872,11872,500256375,500256388,500256383,500256396,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|94,547984507,1,11755648,0,0,0,0,0,13218365,0,44,0,646954658,0,646954658,0,2080,639835985,0,10701394,0,0,0,0,0
1785985979128|1028|mixed_30min_half_f2r_00001_16777216|fixed|64,1378943233,16781056,6519271,6433593,6449425,6433593,6449425,6433593,11620,11598,5799,5799,0,0,740,0,179026728,178683840,4096,4096,0,0,5799,5799,4038502736,4038503069,4038502744,4038503077,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,96,0,84,0,24,21,0,1,96,0|174,456229122,2,5765856,0,0,0,0,0,6485610,0,21,0,319016576,0,319016576,0,2080,313645148,0,7772102,0,0,0,0,0
1785985979128|1028|mixed_30min_half_f2r_00001_16777216|rotating|64,1378943233,33558272,6596401,6509167,70692,0,70692,0,1498,0,749,0,0,0,5867,5867,4785304,4785304,4096,4096,0,0,749,749,4023016656,4023016656,4023016672,4023016672,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|174,4069907908,1,0,0,5767168,0,5767168,0,17768,0,0,22,0,0,0,0,0,0,0,5032880,0,0,0,0,0
