captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785983925908|1001|pl_reset_fixed_1_clean64|fixed|2,1378943233,16777471,6139142,6056286,6069390,6056286,6069390,6056286,5815,5793,5792,5792,0,0,739,0,178803984,178459632,4096,4096,0,0,5793,5793,361582248,361582253,361582200,361582213,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|4,1078272191,0,5757952,0,0,0,0,0,6103074,0,21,0,320032029,0,320032029,0,2080,313234259,0,9668592,0,0,0,0,0
1785983925908|1001|pl_reset_fixed_1_clean64|rotating|2,1378943233,33558272,6202122,6117857,70598,0,70598,0,1496,0,748,0,0,0,5852,5852,4778928,4778928,4096,4096,0,0,748,748,346742435,346742435,346742443,346742443,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,394018137,0,0,0,5767168,0,5767168,0,17744,0,0,22,0,0,0,0,0,0,0,6900733,0,0,0,0,0
1785983930909|1001|pl_reset_fixed_1_clean64|fixed|4,1378943233,16781056,12392887,12223623,12251975,12223623,12251975,12223623,11735,11690,11690,11690,0,0,1493,0,360847984,360144520,4096,4096,0,0,11690,11690,681164978,681165311,681164986,681165319,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1397930896,0,11565952,0,0,0,0,0,12268571,0,44,0,638238734,0,638238734,0,2080,629570011,0,12681221,0,0,0,0,0
1785983930909|1001|pl_reset_fixed_1_clean64|rotating|4,1378943233,33558272,12465509,12294655,141764,0,141764,0,3004,0,1502,0,0,0,11758,11758,9596192,9596192,4096,4096,0,0,1502,1502,666599847,666599847,666599855,666599855,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,714152471,0,0,0,11534336,0,11534336,0,35559,0,0,44,0,0,0,0,0,0,0,6943233,0,0,0,0,0
1785983935912|1001|pl_reset_fixed_1_clean64|fixed|6,1378943233,16781056,18662109,18405597,18449841,18405597,18449841,18405597,17668,17600,17600,17600,0,0,2249,0,543277488,542199080,4096,4096,0,0,17600,17600,1001559160,1001559501,1001559168,1001559509,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1717269996,0,17372640,0,0,0,0,0,18432201,0,66,0,956126162,0,956126162,0,2080,945720617,0,15564016,0,0,0,0,0
1785983935912|1001|pl_reset_fixed_1_clean64|rotating|6,1378943233,33558272,18713680,18456587,212836,0,212836,0,4510,0,2255,0,0,0,17648,17648,14407096,14407096,4096,4096,0,0,2255,2255,985900968,985900968,985900976,985900976,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1033505858,0,0,0,17301504,0,17301504,0,53327,0,0,66,0,0,0,0,0,0,0,6989133,0,0,0,0,0
1785983940915|1001|pl_reset_fixed_1_clean64|fixed|8,1378943233,16777471,24925641,24581727,24642112,24581727,24642112,24581727,23596,23507,23505,23505,0,0,3004,0,725565168,724127423,4096,4096,0,0,23506,23506,1321593242,1321593199,1321593218,1321593207,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2038311268,0,23210944,0,0,0,0,0,24628550,0,88,0,1275707858,0,1275707858,0,2080,1263572879,0,18446211,0,0,0,0,0
1785983940915|1001|pl_reset_fixed_1_clean64|rotating|8,1378943233,33558272,25000453,24655732,284379,0,284379,0,6026,0,3013,0,0,0,23576,23576,19249880,19249880,4096,4096,0,0,3013,3013,1307350318,1307350318,1307350326,1307350326,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1354524066,0,0,0,23068672,0,23068672,0,71188,0,0,88,0,0,0,0,0,0,0,7041127,0,0,0,0,0
1785983945919|1001|pl_reset_fixed_1_clean64|fixed|10,1378943233,16781056,31193691,30763059,30838903,30763059,30838903,30763059,29528,29417,29416,29416,0,0,3759,0,908013832,906215680,4096,4096,0,0,29416,29416,1641878960,1641879301,1641878968,1641879309,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2358707577,0,29041344,0,0,0,0,0,30811697,0,110,0,1594646567,0,1594646567,0,2080,1580780594,0,21328269,0,0,0,0,0
1785983945919|1001|pl_reset_fixed_1_clean64|rotating|10,1378943233,33558272,31264106,30832651,355540,0,355540,0,7534,0,3767,0,0,0,29482,29482,24067096,24067096,4096,4096,0,0,3767,3767,1627080479,1627080479,1627080487,1627080487,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,1674574062,0,0,0,28835840,0,28835840,0,89002,0,0,110,0,0,0,0,0,0,0,7080697,0,0,0,0,0
