captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785976980178|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785976980178|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785976980331|1001|tune_p10_3_baseline_f2r_00000_4194304_active|fixed|1346371075|8193|8193
1785976980331|1001|tune_p10_3_baseline_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1785976984424|1001|tune_p10_3_baseline_f2r_00000_4194304_terminal|fixed|1346371075|8193|8193
1785976984424|1001|tune_p10_3_baseline_f2r_00000_4194304_terminal|rotating|1346371075|8193|8193
1785976984712|1002|tune_p10_3_baseline_f2r_00001_4194304_active|fixed|1350565379|8193|8193
1785976984712|1002|tune_p10_3_baseline_f2r_00001_4194304_active|rotating|1346362883|8193|8193
1785976988784|1002|tune_p10_3_baseline_f2r_00001_4194304_terminal|fixed|1350565379|8193|8193
1785976988784|1002|tune_p10_3_baseline_f2r_00001_4194304_terminal|rotating|1346371075|8193|8193
1785976989125|1003|tune_p10_3_baseline_f2r_00002_4194304_active|fixed|1346371075|8193|8193
1785976989125|1003|tune_p10_3_baseline_f2r_00002_4194304_active|rotating|1346362883|8193|8193
1785976993205|1003|tune_p10_3_baseline_f2r_00002_4194304_terminal|fixed|1350565379|8193|8193
1785976993205|1003|tune_p10_3_baseline_f2r_00002_4194304_terminal|rotating|1346371075|8193|8193
1785976993512|1004|tune_p10_3_baseline_f2r_00003_1048576_active|fixed|1350565379|8193|8193
1785976993512|1004|tune_p10_3_baseline_f2r_00003_1048576_active|rotating|1346362883|8193|8193
1785976994885|1004|tune_p10_3_baseline_f2r_00003_1048576_terminal|fixed|1346371075|8193|8193
1785976994885|1004|tune_p10_3_baseline_f2r_00003_1048576_terminal|rotating|1346371075|8193|8193
1785976995184|1005|tune_p10_3_baseline_f2r_00004_1048576_active|fixed|1350565379|8193|8193
1785976995184|1005|tune_p10_3_baseline_f2r_00004_1048576_active|rotating|1350557187|8193|8193
1785976996539|1005|tune_p10_3_baseline_f2r_00004_1048576_terminal|fixed|1346371075|8193|8193
1785976996539|1005|tune_p10_3_baseline_f2r_00004_1048576_terminal|rotating|1346371075|8193|8193
1785976996918|1006|tune_p10_3_baseline_f2r_00005_1048576_active|fixed|1346371075|8193|8193
1785976996918|1006|tune_p10_3_baseline_f2r_00005_1048576_active|rotating|1350557187|8193|8193
1785976998327|1006|tune_p10_3_baseline_f2r_00005_1048576_terminal|fixed|1346371075|8193|8193
1785976998327|1006|tune_p10_3_baseline_f2r_00005_1048576_terminal|rotating|1350565379|8193|8193
1785976998664|1007|tune_p10_3_baseline_f2r_00006_1048576_active|fixed|1350565379|8193|8193
1785976998664|1007|tune_p10_3_baseline_f2r_00006_1048576_active|rotating|1350557187|8193|8193
1785977000021|1007|tune_p10_3_baseline_f2r_00006_1048576_terminal|fixed|1350565379|8193|8193
1785977000021|1007|tune_p10_3_baseline_f2r_00006_1048576_terminal|rotating|1346371075|8193|8193
1785977000350|1008|tune_p10_3_baseline_f2r_00007_1048576_active|fixed|1346371074|8193|8193
1785977000350|1008|tune_p10_3_baseline_f2r_00007_1048576_active|rotating|1346362883|8193|8193
1785977001725|1008|tune_p10_3_baseline_f2r_00007_1048576_terminal|fixed|1346371075|8193|8193
1785977001725|1008|tune_p10_3_baseline_f2r_00007_1048576_terminal|rotating|1350565379|8193|8193
1785977002031|1009|tune_p10_3_baseline_f2r_00008_1048576_active|fixed|1346371075|8193|8193
1785977002031|1009|tune_p10_3_baseline_f2r_00008_1048576_active|rotating|1346362883|8193|8193
1785977003512|1009|tune_p10_3_baseline_f2r_00008_1048576_terminal|fixed|1346371075|8193|8193
